,neighbor_num,isite,atom,x,y,z,front_index
0,0,0,Si1,0.0,4.0202856,5.706639,
1,1,16,O1,0.0,2.46825,5.282171,1.0
2,1,10,O1,-1.3135,4.34412,6.5775,1.0
3,1,14,O1,0.0,4.9365,4.385,1.0
4,1,12,O1,1.3135,4.34412,6.5775,1.0
5,2,1,Si1,0.0,0.9162144,5.706639,2.0
6,2,3,Si1,-2.627,4.0202856,7.448361,3.0
7,2,6,Si1,0.0,5.8527144,3.063361,4.0
8,2,3,Si1,2.627,4.0202856,7.448361,5.0
9,3,23,O1,0.0,0.0,4.385,6.0
10,3,11,O1,-1.3135,0.59238,6.5775,6.0
11,3,13,O1,1.3135,0.59238,6.5775,6.0
12,3,12,O1,1.3135,4.34412,6.5775,7.0
13,3,17,O1,2.627,2.46825,7.872829,7.0
14,3,15,O1,2.627,4.9365,8.77,7.0
15,3,21,O1,-1.3135,5.52888,2.1925,8.0
16,3,19,O1,1.3135,5.52888,2.1925,8.0
17,3,9,O1,0.0,7.40475,3.487829,8.0
18,3,10,O1,3.9405,4.34412,6.5775,9.0
19,3,17,O1,2.627,2.46825,7.872829,9.0
20,3,15,O1,2.627,4.9365,8.77,9.0
