,isite_i,isite_j,distance,pattern_i,pattern_j
0,0,15,8.971862896870194,3,0
1,0,8,3.908683096760547,3,1
2,0,9,3.5001511178220728,3,2
3,0,7,3.373604672678526,3,4
4,0,5,3.9384073943041193,3,2
5,0,10,8.946967052136761,3,3
6,0,12,8.726629449516059,3,3
7,0,13,6.217975374640013,3,3
8,0,0,6.206919475219651,3,4
9,0,14,8.552489086868757,3,1
10,0,3,3.8579483877710383,3,1
11,0,11,3.3899673413171825,3,4
12,0,2,6.022150863121501,3,1
13,0,1,3.94747783068343,3,2
14,0,6,3.241131829311633,3,4
15,0,4,3.217936179448481,3,5
16,7,15,9.278788456082298,4,0
17,7,8,4.190074629675018,4,1
18,7,9,3.3951872366039813,4,2
19,7,7,3.6895560186948155,4,4
20,7,5,4.06478084166606,4,2
21,7,10,9.103630015370465,4,3
22,7,12,9.175449731133474,4,3
23,7,13,6.800678989586506,4,3
24,7,0,6.352956923126426,4,4
25,7,14,9.012998175753127,4,1
26,7,3,4.038587041944967,4,1
27,7,11,2.870612697655724,4,4
28,7,2,6.2934239689219424,4,1
29,7,1,3.9002875170291977,4,2
30,7,6,3.55856542777311,4,4
31,7,4,3.672067787742465,4,5
32,4,15,8.96910560291945,0,0
33,4,8,2.3469742737570565,0,1
34,4,9,4.036329077969854,0,2
35,4,7,3.958228888631679,0,4
36,4,5,2.509852535873511,0,2
37,4,10,9.363927129159688,0,3
38,4,12,9.366778504064595,0,3
39,4,13,5.643684981657103,0,3
40,4,0,6.03415909896726,0,4
41,4,14,9.264393405039845,0,1
42,4,3,2.5376919199090167,0,1
43,4,11,3.277594300438048,0,4
44,4,2,6.636076913743904,0,1
45,4,1,2.8618763205052313,0,2
46,4,6,3.9635962312730078,0,4
47,4,4,4.0881532241035625,0,5
48,3,15,6.083135566634489,1,0
49,3,8,6.24280448092966,1,1
50,3,9,5.722945443505319,1,2
51,3,7,5.971771470278689,1,4
52,3,5,6.353585960605308,1,2
53,3,10,5.842413552044547,1,3
54,3,12,6.506184730248788,1,3
55,3,13,3.515914866025575,1,3
56,3,0,3.4077533754558744,1,4
57,3,14,5.90351187295294,1,1
58,3,3,6.22370579859094,1,1
59,3,11,6.208955506114815,1,4
60,3,2,2.584326049150664,1,1
61,3,1,6.407885098725735,1,2
62,3,6,6.330675643600235,1,4
63,3,4,6.529621365185948,1,5
64,1,15,9.565221891975806,2,0
65,1,8,2.861876320737919,2,1
66,1,9,3.6015815875435866,2,2
67,1,7,3.6735423484138323,2,4
68,1,5,2.73943747191623,2,2
69,1,10,8.866276526376916,2,3
70,1,12,9.015376500672652,2,3
71,1,13,6.511937202616297,2,3
72,1,0,6.144322976903389,2,4
73,1,14,9.280292331787736,2,1
74,1,3,2.725002310470994,2,1
75,1,11,3.6622328857686663,2,4
76,1,2,6.502358880668127,2,1
77,1,1,2.5595396619975133,2,2
78,1,6,3.352005416340867,2,4
79,1,4,3.3626987525485763,2,5
80,2,15,6.465124695567277,4,0
81,2,8,5.805961693005688,4,1
82,2,9,6.539181111661899,4,2
83,2,7,6.5351071133793255,4,4
84,2,5,6.301605525374455,4,2
85,2,10,6.203477761427697,4,3
86,2,12,6.490609299937571,4,3
87,2,13,2.5486767325568973,4,3
88,2,0,2.7498095392791893,4,4
89,2,14,6.191719839119063,4,1
90,2,3,6.190975818969113,4,1
91,2,11,6.101735483765397,4,4
92,2,2,3.928042378145662,4,1
93,2,1,5.735155443952002,4,2
94,2,6,6.352416753630102,4,4
95,2,4,6.41951265568545,4,5
96,6,15,8.706752398463413,1,0
97,6,8,6.241047008656043,1,1
98,6,9,6.902087028794357,1,2
99,6,7,6.182999640979287,1,4
100,6,5,5.950357269095093,1,2
101,6,10,9.095820530597214,1,3
102,6,12,9.084568324050803,1,3
103,6,13,3.512432164683223,1,3
104,6,0,3.246212466891983,1,4
105,6,14,9.450492657192022,1,1
106,6,3,5.86028366236526,1,1
107,6,11,5.954313341268667,1,4
108,6,2,4.191961538437225,1,1
109,6,1,6.085362342037993,1,2
110,6,6,6.55188022398829,1,4
111,6,4,6.394434743886732,1,5
112,5,15,2.900270917483255,0,0
113,5,8,6.690893695721807,0,1
114,5,9,5.746472790442557,0,2
115,5,7,6.511991003428104,0,4
116,5,5,6.7515701839912845,0,2
117,5,10,2.5888317066338282,0,3
118,5,12,2.5633250801623784,0,3
119,5,13,6.742846131042062,0,3
120,5,0,6.910042087321586,0,4
121,5,14,2.5519006856785476,0,1
122,5,3,6.822626183030563,0,1
123,5,11,6.558563043075123,0,4
124,5,2,6.001731965874034,0,1
125,5,1,6.339443348023358,0,2
126,5,6,5.746709602413539,0,4
127,5,4,5.7592851477406715,0,5
