,neighbor_num,isite,atom,x,y,z,front_index
0,0,6,Si1,0.0,0.0,0.0,
1,1,21,O1,-1.3135,-0.32383439999999997,-0.8708610000000001,0.0
2,1,14,O1,0.0,-0.9162144000000003,1.3216389999999998,0.0
3,1,19,O1,1.3135,-0.32383439999999997,-0.8708610000000001,0.0
4,1,9,O1,0.0,1.5520356,0.42446800000000007,0.0
5,2,5,Si1,-2.627,0.0,-1.741722,1.0
6,2,0,Si1,0.0,-1.8324287999999997,2.643278,2.0
7,2,5,Si1,2.627,0.0,-1.741722,3.0
8,2,7,Si1,0.0,3.1040712,0.0,4.0
9,3,8,O1,-2.627,1.5520356,-2.16619,5.0
10,3,19,O1,-3.9404999999999997,-0.32383439999999997,-0.8708610000000001,5.0
11,3,15,O1,-2.627,-0.9162144000000003,-3.063361,5.0
12,3,16,O1,0.0,-3.3844644,2.21881,6.0
13,3,10,O1,-1.3135,-1.5085943999999998,3.5141389999999997,6.0
14,3,12,O1,1.3135,-1.5085943999999998,3.5141389999999997,6.0
15,3,8,O1,2.627,1.5520356,-2.16619,7.0
16,3,21,O1,3.9405,-0.32383439999999997,-0.8708610000000001,7.0
17,3,15,O1,2.627,-0.9162144000000003,-3.063361,7.0
18,3,23,O1,0.0,4.020285599999999,1.3216389999999998,8.0
19,3,20,O1,-1.3135,3.4279056000000008,-0.8708610000000001,8.0
20,3,18,O1,1.3135,3.4279056000000008,-0.8708610000000001,8.0
21,4,4,Si1,-2.627,3.1040712,-1.741722,9.0
22,4,6,Si1,-5.254,0.0,0.0,10.0
23,4,3,Si1,-2.627,-1.8324287999999997,-4.385,11.0
24,4,1,Si1,0.0,-4.9365,2.643278,12.0
25,4,3,Si1,-2.627,-1.8324287999999997,4.385,13.0
26,4,3,Si1,2.627,-1.8324287999999997,4.385,14.0
27,4,4,Si1,2.627,3.1040712,-1.741722,15.0
28,4,6,Si1,5.254,0.0,0.0,16.0
29,4,3,Si1,2.627,-1.8324287999999997,-4.385,17.0
30,4,1,Si1,0.0,4.936499999999999,2.643278,18.0
31,4,4,Si1,-2.627,3.1040712,-1.741722,19.0
32,4,4,Si1,2.627,3.1040712,-1.741722,20.0
