,neighbor_num,isite,atom,x,y,z,front_index
0,0,0,Si1,0.0,0.0,0.0,
1,1,16,O1,0.9271079999999998,0.9271079999999998,0.9271079999999998,0.0
2,1,38,O1,0.3100265,-1.549142,0.3100265,0.0
3,1,37,O1,-1.549142,0.3100265,0.3100265,0.0
4,1,20,O1,0.3100265,0.3100265,-1.549142,0.0
5,2,6,Si1,1.8542159999999999,1.8542159999999999,1.8542159999999999,1.0
6,2,12,Si1,0.0,-3.098284,0.0,2.0
7,2,10,Si1,-3.098284,0.0,0.0,3.0
8,2,1,Si1,0.0,0.0,-3.098284,4.0
9,3,30,O1,3.403358,1.5441895,1.5441895,5.0
10,3,31,O1,1.5441895,1.5441895,3.403358,5.0
11,3,27,O1,1.5441895,3.403358,1.5441895,5.0
12,3,44,O1,0.3100265,-3.408310499999999,-1.549142,6.0
13,3,45,O1,-1.549142,-3.408310499999999,0.3100265,6.0
14,3,35,O1,0.9271079999999998,-4.025391999999999,0.9271079999999998,6.0
15,3,42,O1,-3.408310499999999,-1.549142,0.3100265,7.0
16,3,41,O1,-3.408310499999999,0.3100265,-1.549142,7.0
17,3,34,O1,-4.025391999999999,0.9271079999999998,0.9271079999999998,7.0
18,3,17,O1,0.9271079999999998,0.9271079999999998,-4.025391999999999,8.0
19,3,23,O1,-1.549142,0.3100265,-3.408310499999999,8.0
20,3,24,O1,0.3100265,-1.549142,-3.408310499999999,8.0
21,4,13,Si1,4.952500000000001,1.8542159999999999,1.8542159999999999,9.0
22,4,7,Si1,1.8542159999999999,1.8542159999999999,4.952500000000001,10.0
23,4,11,Si1,1.8542159999999999,4.952500000000001,1.8542159999999999,11.0
24,4,5,Si1,0.0,-3.0982839999999996,-3.098284,12.0
25,4,15,Si1,-3.098284,-3.0982839999999996,0.0,13.0
26,4,11,Si1,1.8542159999999999,-4.952499999999999,1.8542159999999999,14.0
27,4,15,Si1,-3.0982839999999996,-3.098284,0.0,15.0
28,4,3,Si1,-3.0982839999999996,0.0,-3.098284,16.0
29,4,13,Si1,-4.952499999999999,1.8542159999999999,1.8542159999999999,17.0
30,4,7,Si1,1.8542159999999999,1.8542159999999999,-4.952499999999999,18.0
31,4,3,Si1,-3.098284,0.0,-3.0982839999999996,19.0
32,4,5,Si1,0.0,-3.098284,-3.0982839999999996,20.0
