,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.8604270147739705
1,0,2,0,0,3.860426998357481
2,0,3,0,0,7.804822714975268
3,0,4,0,0,3.8604269983574797
4,0,5,0,0,9.011712773937982e-31
5,0,6,0,0,5.095304542515413
6,0,7,0,0,4.794388656730451
7,0,8,0,0,8.9729654878992
8,0,9,0,0,4.847303338375207
9,0,10,0,0,4.208833399530097
10,0,11,0,0,5.0953045425154135
11,0,12,0,0,2.4976815958232117
12,0,13,0,0,7.9204050250723945
13,0,14,0,0,4.882600901597909
14,0,15,0,0,4.882600901597909
15,1,2,0,0,1.687129286983917e-16
16,1,3,0,0,4.7134756284481645
17,1,4,0,0,1.6871293035164897e-16
18,1,5,0,0,3.8604270147739697
19,1,6,0,0,4.8621426298466215
20,1,7,0,0,7.840144895173006
21,1,8,0,0,7.810820467063727
22,1,9,0,0,0.9854981064377218
23,1,10,0,0,5.035534238077684
24,1,11,0,0,4.862142629846624
25,1,12,0,0,6.269245199327046
26,1,13,0,0,7.9659761762887635
27,1,14,0,0,6.0744933734363515
28,1,15,0,0,6.074493373436352
29,2,3,0,0,4.713475643416963
30,2,4,0,0,2.059933815457161e-30
31,2,5,0,0,3.860426998357481
32,2,6,0,0,4.862142642698505
33,2,7,0,0,7.840144889628549
34,2,8,0,0,7.810820464959484
35,2,9,0,0,0.9854981255331096
36,2,10,0,0,5.035534237977664
37,2,11,0,0,4.862142642698506
38,2,12,0,0,6.269245190372644
39,2,13,0,0,7.965976174741084
40,2,14,0,0,6.074493375469431
41,2,15,0,0,6.074493375469431
42,3,4,0,0,4.713475643416964
43,3,5,0,0,7.804822714975268
44,3,6,0,0,4.179417756966792
45,3,7,0,0,9.002195788351887
46,3,8,0,0,4.847303329711613
47,3,9,0,0,4.897609111309701
48,3,10,0,0,7.61466499437261
49,3,11,0,0,4.179417756966794
50,3,12,0,0,7.932201825551445
51,3,13,0,0,5.3787789557084
52,3,14,0,0,4.899505313377606
53,3,15,0,0,4.899505313377606
54,4,5,0,0,3.86042699835748
55,4,6,0,0,4.862142642698505
56,4,7,0,0,7.840144889628549
57,4,8,0,0,7.8108204649594875
58,4,9,0,0,0.98549812553311
59,4,10,0,0,5.035534237977662
60,4,11,0,0,4.862142642698506
61,4,12,0,0,6.269245190372644
62,4,13,0,0,7.965976174741082
63,4,14,0,0,6.074493375469431
64,4,15,0,0,6.074493375469432
65,5,6,0,0,5.095304542515413
66,5,7,0,0,4.794388656730451
67,5,8,0,0,8.972965487899202
68,5,9,0,0,4.847303338375205
69,5,10,0,0,4.208833399530097
70,5,11,0,0,5.095304542515412
71,5,12,0,0,2.497681595823212
72,5,13,0,0,7.9204050250723945
73,5,14,0,0,4.882600901597908
74,5,15,0,0,4.882600901597908
75,6,7,0,0,7.746082978671488
76,6,8,0,0,5.205121969910377
77,6,9,0,0,4.649551370015709
78,6,10,0,0,3.928075122979935
79,6,11,0,0,1.2086902884920427e-30
80,6,12,0,0,4.896395346562784
81,6,13,0,0,6.087140219511175
82,6,14,0,0,7.9289287429917
83,6,15,0,0,7.928928742991702
84,7,8,0,0,7.7364919054873065
85,7,9,0,0,7.74093552068479
86,7,10,0,0,4.648398322004795
87,7,11,0,0,7.7460829786714855
88,7,12,0,0,3.345339826177506
89,7,13,0,0,6.087698290493962
90,7,14,0,0,6.306935750511137
91,7,15,0,0,6.306935750511136
92,8,9,0,0,7.804822708276247
93,8,10,0,0,7.745305303804335
94,8,11,0,0,5.205121969910375
95,8,12,0,0,7.984083935091414
96,8,13,0,0,3.3441752566159924
97,8,14,0,0,6.346295549768654
98,8,15,0,0,6.346295549768654
99,9,10,0,0,5.238586309549064
100,9,11,0,0,4.64955137001571
101,9,12,0,0,6.107570432047431
102,9,13,0,0,7.997014301471054
103,9,14,0,0,6.277408001538433
104,9,15,0,0,6.277408001538433
105,10,11,0,0,3.928075122979934
106,10,12,0,0,3.338646794655748
107,10,13,0,0,4.891670251061396
108,10,14,0,0,7.926010086397186
109,10,15,0,0,7.926010086397186
110,11,12,0,0,4.896395346562784
111,11,13,0,0,6.087140219511173
112,11,14,0,0,7.9289287429917
113,11,15,0,0,7.928928742991702
114,12,13,0,0,6.532003975923926
115,12,14,0,0,5.766482007692855
116,12,15,0,0,5.766482007692856
117,13,14,0,0,5.767171852362537
118,13,15,0,0,5.767171852362537
119,14,15,0,0,4.657715666716864e-31
120,0,1,0,1,7.950105122446487
121,0,2,0,1,7.950105124336165
122,0,3,0,1,3.852888588338172
123,0,4,0,1,7.9501051243361704
124,0,5,0,1,9.050531076021407
125,0,6,0,1,5.101437463112939
126,0,7,0,1,7.633358496869121
127,0,8,0,1,0.9934980813442482
128,0,9,0,1,8.005227559708734
129,0,10,0,1,7.8913805963822155
130,0,11,0,1,5.101437463112938
131,0,12,0,1,7.9204050273230395
132,0,13,0,1,2.4976815988170804
133,0,14,0,1,6.069999082051178
134,0,15,0,1,6.069999082051178
135,1,2,0,1,5.388552642907975
136,1,3,0,1,3.8417912120861613
137,1,4,0,1,5.388552642907976
138,1,5,0,1,7.950205979135959
139,1,6,0,1,7.612275309711857
140,1,7,0,1,7.860652650235643
141,1,8,0,1,3.1975291550062845
142,1,9,0,1,5.1501436533848315
143,1,10,0,1,9.031050816057352
144,1,11,0,1,7.612275309711858
145,1,12,0,1,7.965976176266985
146,1,13,0,1,6.269245202222089
147,1,14,0,1,3.3892937062267876
148,1,15,0,1,3.389293706226787
149,2,3,0,1,3.841791210534237
150,2,4,0,1,5.388552650181768
151,2,5,0,1,7.950205976312005
152,2,6,0,1,7.612275300561462
153,2,7,0,1,7.8606526508927335
154,2,8,0,1,3.197529147246049
155,2,9,0,1,5.150143649396169
156,2,10,0,1,9.031050817956043
157,2,11,0,1,7.612275300561464
158,2,12,0,1,7.9659761747193025
159,2,13,0,1,6.269245193267686
160,2,14,0,1,3.3892937224821815
161,2,15,0,1,3.389293722482181
162,3,4,0,1,3.8527470290291825
163,3,5,0,1,3.885065958735858
164,3,6,0,1,7.917815070838034
165,3,7,0,1,5.081110532464562
166,3,8,0,1,8.007969094244606
167,3,9,0,1,3.19732597062921
168,3,10,0,1,7.62865498787297
169,3,11,0,1,7.917815070838036
170,3,12,0,1,5.378778951088885
171,3,13,0,1,7.932201827735541
172,3,14,0,1,3.34831581358973
173,3,15,0,1,3.34831581358973
174,4,5,0,1,7.950205976312009
175,4,6,0,1,7.612275300561462
176,4,7,0,1,7.8606526508927335
177,4,8,0,1,3.197529147246048
178,4,9,0,1,5.15014364939617
179,4,10,0,1,9.031050817956043
180,4,11,0,1,7.612275300561465
181,4,12,0,1,7.965976174719304
182,4,13,0,1,6.269245193267687
183,4,14,0,1,3.3892937224821824
184,4,15,0,1,3.389293722482183
185,5,6,0,1,5.101437463112937
186,5,7,0,1,7.633358496869121
187,5,8,0,1,0.993498081344248
188,5,9,0,1,8.005227559708732
189,5,10,0,1,7.8913805963822155
190,5,11,0,1,5.101437463112936
191,5,12,0,1,7.9204050273230395
192,5,13,0,1,2.497681598817081
193,5,14,0,1,6.0699990820511776
194,5,15,0,1,6.0699990820511776
195,6,7,0,1,3.886214795915618
196,6,8,0,1,5.791054656323384
197,6,9,0,1,7.653186170527299
198,6,10,0,1,7.775498659931006
199,6,11,0,1,9.076073169394311
200,6,12,0,1,6.087140220235084
201,6,13,0,1,4.896395346141543
202,6,14,0,1,2.515943460754464
203,6,15,0,1,2.515943460754463
204,7,8,0,1,4.614660541731917
205,7,9,0,1,7.80284556871571
206,7,10,0,1,3.906413943561819
207,7,11,0,1,3.8166737209983435
208,7,12,0,1,6.087698291479667
209,7,13,0,1,3.34533982766141
210,7,14,0,1,7.926145659995825
211,7,15,0,1,7.926145659995827
212,8,9,0,1,3.8528885747878987
213,8,10,0,1,4.5979049264870895
214,8,11,0,1,5.7523986558297215
215,8,12,0,1,3.344175252155697
216,8,13,0,1,7.984083933922062
217,8,14,0,1,5.399654796596462
218,8,15,0,1,5.399654796596462
219,9,10,0,1,9.047498856546497
220,9,11,0,1,7.762110340509509
221,9,12,0,1,7.9970143002800675
222,9,13,0,1,6.107570433207194
223,9,14,0,1,2.5511962929710683
224,9,15,0,1,2.5511962929710688
225,10,11,0,1,7.774604156798348
226,10,12,0,1,4.89167025292701
227,10,13,0,1,3.3386467969653397
228,10,14,0,1,5.3914887907581495
229,10,15,0,1,5.391488790758151
230,11,12,0,1,6.087140220235084
231,11,13,0,1,4.896395346141544
232,11,14,0,1,2.5159434607544626
233,11,15,0,1,2.515943460754463
234,12,13,0,1,1.3183360428130865e-17
235,12,14,0,1,5.767821641984462
236,12,15,0,1,5.767821641984462
237,13,14,0,1,5.765754327196257
238,13,15,0,1,5.765754327196258
239,14,15,0,1,6.540627012143619
240,0,1,0,2,7.804822714975272
241,0,2,0,2,1.1072823959085037e-16
242,0,3,0,2,3.8604270147739728
243,0,4,0,2,7.804822712455515
244,0,5,0,2,7.8048227099919725
245,0,6,0,2,7.810820491533186
246,0,7,0,2,5.095304547367406
247,0,8,0,2,4.847303338769352
248,0,9,0,2,8.972965490463556
249,0,10,0,2,8.972965487899202
250,0,11,0,2,4.847303340659691
251,0,12,0,2,6.3462955598313675
252,0,13,0,2,6.346295563665504
253,0,14,0,2,4.882600900591449
254,0,15,0,2,4.8826009005914495
255,1,2,0,2,3.8604270000781105
256,1,3,0,2,4.341909407735409e-30
257,1,4,0,2,4.7134756251228085
258,1,5,0,2,4.7134756275064875
259,1,6,0,2,4.305286924449323
260,1,7,0,2,4.862142630007423
261,1,8,0,2,0.9854981092411966
262,1,9,0,2,7.810820489278454
263,1,10,0,2,7.810820467063725
264,1,11,0,2,0.9854981127124927
265,1,12,0,2,5.413270095720966
266,1,13,0,2,5.413270095633017
267,1,14,0,2,6.07449337389728
268,1,15,0,2,6.074493373897281
269,2,3,0,2,1.687129448226815e-16
270,2,4,0,2,4.713475640091607
271,2,5,0,2,4.713475642475285
272,2,6,0,2,4.305286927254475
273,2,7,0,2,4.862142642859305
274,2,8,0,2,0.9854981283365841
275,2,9,0,2,7.810820487174207
276,2,10,0,2,7.810820464959482
277,2,11,0,2,0.9854981318078802
278,2,12,0,2,5.41327010732498
279,2,13,0,2,5.413270107237029
280,2,14,0,2,6.074493375930359
281,2,15,0,2,6.074493375930358
282,3,4,0,2,2.5496433862282806e-17
283,3,5,0,2,2.457534647540815e-17
