,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.0
4,0,5,0.0
5,0,6,0.9934980799669212
6,0,7,0.9934980647360984
7,0,8,0.9934980813442482
8,0,9,0.9934980647360988
9,0,10,0.9934980813442492
10,0,11,0.993498079966922
11,0,12,2.497681595823212
12,0,13,2.4976815958232117
13,0,14,3.3441752532319398
14,0,15,3.344175253231941
15,1,2,0.0
16,1,3,0.0
17,1,4,0.0
18,1,5,0.0
19,1,6,0.985498112712492
20,1,7,0.9854981064377224
21,1,8,0.9854981092411966
22,1,9,0.9854981064377218
23,1,10,0.9854981092411956
24,1,11,0.9854981127124928
25,1,12,2.4669689955444216
26,1,13,2.466968995544421
27,1,14,3.389293702263992
28,1,15,3.389293702263992
29,2,3,0.0
30,2,4,0.0
31,2,5,0.0
32,2,6,0.9854981318078802
33,2,7,0.9854981255331102
34,2,8,0.985498128336584
35,2,9,0.9854981255331096
36,2,10,0.9854981283365832
37,2,11,0.9854981318078802
38,2,12,2.4669690013429144
39,2,13,2.4669690013429144
40,2,14,3.389293718519387
41,2,15,3.3892937185193865
42,3,4,0.0
43,3,5,0.0
44,3,6,0.9854981207384708
45,3,7,0.9854981064380622
46,3,8,0.9854981253332094
47,3,9,0.9854981064380628
48,3,10,0.9854981253332098
49,3,11,0.9854981207384712
50,3,12,2.5511962919880853
51,3,13,2.551196291988085
52,3,14,3.3483158106541278
53,3,15,3.348315810654128
54,4,5,0.0
55,4,6,0.9854981318078802
56,4,7,0.9854981255331104
57,4,8,0.9854981283365846
58,4,9,0.98549812553311
59,4,10,0.985498128336584
60,4,11,0.9854981318078808
61,4,12,2.4669690013429144
62,4,13,2.4669690013429144
63,4,14,3.389293718519389
64,4,15,3.3892937185193888
65,5,6,0.9934980799669209
66,5,7,0.993498064736098
67,5,8,0.993498081344248
68,5,9,0.9934980647360986
69,5,10,0.9934980813442492
70,5,11,0.9934980799669216
71,5,12,2.497681595823212
72,5,13,2.497681595823212
73,5,14,3.34417525323194
74,5,15,3.3441752532319424
75,6,7,0.0
76,6,8,0.0
77,6,9,0.0
78,6,10,0.0
79,6,11,0.0
80,6,12,3.2979006805254283
81,6,13,3.297900680525427
82,6,14,2.515943458757989
83,6,15,2.515943458757989
84,7,8,0.0
85,7,9,0.0
86,7,10,0.0
87,7,11,0.0
88,7,12,3.345339821540576
89,7,13,3.3453398215405747
90,7,14,2.5288173297031005
91,7,15,2.5288173297031014
92,8,9,0.0
93,8,10,0.0
94,8,11,0.0
95,8,12,3.344175252155697
96,8,13,3.3441752521556958
97,8,14,2.49768160105771
98,8,15,2.497681601057709
99,9,10,0.0
100,9,11,0.0
101,9,12,3.3483158098931867
102,9,13,3.3483158098931853
103,9,14,2.551196291859469
104,9,15,2.551196291859469
105,10,11,0.0
106,10,12,3.338646794655748
107,10,13,3.338646794655748
108,10,14,2.5242351794052
109,10,15,2.524235179405201
110,11,12,3.2979006805254305
111,11,13,3.2979006805254274
112,11,14,2.515943458757988
113,11,15,2.515943458757989
114,12,13,0.0
115,12,14,1.963569319722795
116,12,15,1.9635693197227964
117,13,14,1.963569320488547
118,13,15,1.9635693204885465
119,14,15,0.0
