,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,3.881566702159061
1,0,2,0,0,4.669980974962324
2,0,3,0,0,3.881566702159059
3,0,4,0,0,2.891229377119505e-31
4,0,5,0,0,2.4165268926248222
5,0,6,0,0,2.416526892624822
6,0,7,0,0,3.881566702159059
7,0,8,0,0,4.6634525629493755
8,0,9,0,0,3.8815667021590583
9,0,10,0,0,2.622473605326694e-30
10,0,11,0,0,2.4165268926248222
11,0,12,0,0,4.663452562949375
12,0,13,0,0,2.4165268926248222
13,0,14,0,0,4.669980974962324
14,0,15,0,0,4.674115281681024
15,1,2,0,0,4.700959861397089
16,1,3,0,0,1.8238504520077835e-30
17,1,4,0,0,3.881566702159061
18,1,5,0,0,4.674563777566892
19,1,6,0,0,4.674563777566892
20,1,7,0,0,2.0130457506986716e-30
21,1,8,0,0,2.4153295895443767
22,1,9,0,0,5.7216177745782765e-30
23,1,10,0,0,3.8815667021590583
24,1,11,0,0,4.674563777566893
25,1,12,0,0,2.415329589544377
26,1,13,0,0,4.674563777566893
27,1,14,0,0,4.700959861397089
28,1,15,0,0,4.6529781298193456
29,2,3,0,0,4.700959861397089
30,2,4,0,0,4.669980974962325
31,2,5,0,0,4.674563777566888
32,2,6,0,0,4.67456377756689
33,2,7,0,0,4.700959861397088
34,2,8,0,0,4.652978129819342
35,2,9,0,0,4.700959861397088
36,2,10,0,0,4.669980974962323
37,2,11,0,0,4.67456377756689
38,2,12,0,0,4.652978129819345
39,2,13,0,0,4.674563777566888
40,2,14,0,0,2.9447715085830778e-30
41,2,15,0,0,2.4153295895443767
42,3,4,0,0,3.881566702159059
43,3,5,0,0,4.674563777566889
44,3,6,0,0,4.67456377756689
45,3,7,0,0,9.088206979484459e-31
46,3,8,0,0,2.4153295895443767
47,3,9,0,0,3.1808203087538624e-30
48,3,10,0,0,3.8815667021590565
49,3,11,0,0,4.674563777566889
50,3,12,0,0,2.4153295895443763
51,3,13,0,0,4.67456377756689
52,3,14,0,0,4.700959861397087
53,3,15,0,0,4.652978129819343
54,4,5,0,0,2.4165268926248222
55,4,6,0,0,2.416526892624822
56,4,7,0,0,3.8815667021590583
57,4,8,0,0,4.663452562949375
58,4,9,0,0,3.8815667021590574
59,4,10,0,0,2.0491067524285738e-30
60,4,11,0,0,2.4165268926248222
61,4,12,0,0,4.663452562949374
62,4,13,0,0,2.4165268926248222
63,4,14,0,0,4.669980974962325
64,4,15,0,0,4.674115281681026
65,5,6,0,0,2.531302251270264e-30
66,5,7,0,0,4.67456377756689
67,5,8,0,0,3.8779400754412174
68,5,9,0,0,4.674563777566889
69,5,10,0,0,2.416526892624822
70,5,11,0,0,5.339378144003013e-31
71,5,12,0,0,3.8779400754412165
72,5,13,0,0,1.7964140737028676e-30
73,5,14,0,0,4.67456377756689
74,5,15,0,0,3.877940075441218
75,6,7,0,0,4.67456377756689
76,6,8,0,0,3.8779400754412165
77,6,9,0,0,4.674563777566889
78,6,10,0,0,2.4165268926248222
79,6,11,0,0,2.0440536476429864e-30
80,6,12,0,0,3.877940075441215
81,6,13,0,0,8.450747149917326e-31
82,6,14,0,0,4.67456377756689
83,6,15,0,0,3.877940075441217
84,7,8,0,0,2.4153295895443767
85,7,9,0,0,3.208382701440662e-30
86,7,10,0,0,3.8815667021590565
87,7,11,0,0,4.67456377756689
88,7,12,0,0,2.4153295895443763
89,7,13,0,0,4.67456377756689
90,7,14,0,0,4.700959861397086
91,7,15,0,0,4.652978129819342
92,8,9,0,0,2.415329589544376
93,8,10,0,0,4.663452562949376
94,8,11,0,0,3.877940075441218
95,8,12,0,0,1.8306139205941077e-30
96,8,13,0,0,3.8779400754412165
97,8,14,0,0,4.652978129819344
98,8,15,0,0,3.87023943306043
99,9,10,0,0,3.881566702159055
100,9,11,0,0,4.674563777566888
101,9,12,0,0,2.4153295895443754
102,9,13,0,0,4.674563777566889
103,9,14,0,0,4.700959861397087
104,9,15,0,0,4.652978129819341
105,10,11,0,0,2.4165268926248227
106,10,12,0,0,4.663452562949375
107,10,13,0,0,2.4165268926248222
108,10,14,0,0,4.669980974962324
109,10,15,0,0,4.674115281681024
110,11,12,0,0,3.877940075441216
111,11,13,0,0,1.0241745275170523e-30
112,11,14,0,0,4.67456377756689
113,11,15,0,0,3.8779400754412183
114,12,13,0,0,3.8779400754412157
115,12,14,0,0,4.652978129819344
116,12,15,0,0,3.8702394330604304
117,13,14,0,0,4.674563777566891
118,13,15,0,0,3.8779400754412165
119,14,15,0,0,2.4153295895443767
120,0,1,0,1,4.67210081534566
121,0,2,0,1,3.8798619303936266
122,0,3,0,1,4.672100815345659
123,0,4,0,1,7.655545596686255e-31
124,0,5,0,1,2.4175057099441872
125,0,6,0,1,2.4175057099441872
126,0,7,0,1,4.672100815345659
127,0,8,0,1,4.670438619099379
