,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.924795680906055
1,0,2,0,0,6.294344217937705
2,0,3,0,0,6.221056861888845
3,0,4,0,0,6.294344217937704
4,0,5,0,0,6.164177995150243
5,0,6,0,0,6.164177995150241
6,0,7,0,0,2.924055787134955
7,0,8,0,0,4.595274142156907
8,0,9,0,0,4.069704340449596
9,0,10,0,0,5.81287213973245
10,0,11,0,0,5.534766577199229
11,1,2,0,0,5.817493313940804
12,1,3,0,0,4.616414198917522
13,1,4,0,0,5.817493313940803
14,1,5,0,0,4.567484976826779
15,1,6,0,0,4.56748497682678
16,1,7,0,0,3.1565622188569207
17,1,8,0,0,5.809314290669711
18,1,9,0,0,3.923050342309797
19,1,10,0,0,2.890907571646051
20,1,11,0,0,6.144452551775386
21,2,3,0,0,2.055378872167597
22,2,4,0,0,2.487012884168946e-30
23,2,5,0,0,2.9206410685519177
24,2,6,0,0,2.9206410685519177
25,2,7,0,0,6.150083170165391
26,2,8,0,0,6.145804960820581
27,2,9,0,0,4.0751906891949385
28,2,10,0,0,5.263168107559684
29,2,11,0,0,6.005916828893076
30,3,4,0,0,2.0553788721675965
31,3,5,0,0,0.9567316677029516
32,3,6,0,0,0.9567316677029509
33,3,7,0,0,4.5669325226227855
34,3,8,0,0,6.005916828893076
35,3,9,0,0,5.263168107559685
36,3,10,0,0,4.075190689194939
37,3,11,0,0,6.145804960820582
38,4,5,0,0,2.9206410685519164
39,4,6,0,0,2.920641068551917
40,4,7,0,0,6.15008317016539
41,4,8,0,0,6.145804960820581
42,4,9,0,0,4.07519068919494
43,4,10,0,0,5.263168107559683
44,4,11,0,0,6.005916828893073
45,5,6,0,0,2.796736250666251e-30
46,5,7,0,0,4.616575270791009
47,5,8,0,0,5.536529228105874
48,5,9,0,0,6.142988116583574
49,5,10,0,0,4.257417609282949
50,5,11,0,0,5.265489713700271
51,6,7,0,0,4.61657527079101
52,6,8,0,0,5.536529228105871
53,6,9,0,0,6.142988116583574
54,6,10,0,0,4.257417609282949
55,6,11,0,0,5.265489713700272
56,7,8,0,0,3.0654924127393794
57,7,9,0,0,6.147060622364798
58,7,10,0,0,4.595139201694794
59,7,11,0,0,3.919478757865244
60,8,9,0,0,5.446673618614431
61,8,10,0,0,4.657020486913372
62,8,11,0,0,1.4983714181149588
63,9,10,0,0,4.908903051566003
64,9,11,0,0,4.657020486913369
65,10,11,0,0,5.446673618614434
66,0,1,0,1,3.2415653292964963
67,0,2,0,1,7.312363723516931
68,0,3,0,1,6.007524139886357
69,0,4,0,1,7.312363723516929
70,0,5,0,1,5.821148486620232
71,0,6,0,1,5.821148486620231
72,0,7,0,1,2.055293489913076
73,0,8,0,1,3.063074733981323
74,0,9,0,1,6.007903319940246
75,0,10,0,1,2.8931671047895673
76,0,11,0,1,4.257431101764055
77,1,2,0,1,6.01208918999353
78,1,3,0,1,4.567469050079995
79,1,4,0,1,6.012089189993532
80,1,5,0,1,4.4545850331318695
81,1,6,0,1,4.454585033131868
82,1,7,0,1,2.986014445171249
83,1,8,0,1,4.597307994813228
84,1,9,0,1,3.846836199739025
85,1,10,0,1,3.062575346641893
86,1,11,0,1,5.263749637999863
87,2,3,0,1,3.245537173810842
88,2,4,0,1,3.1564317918392044
89,2,5,0,1,2.9212574446462396
90,2,6,0,1,2.92125744464624
91,2,7,0,1,6.222680990314302
92,2,8,0,1,3.92195640010242
93,2,9,0,1,5.534835444528799
94,2,10,0,1,3.8511132274527524
95,2,11,0,1,4.255686804059056
96,3,4,0,1,3.2455371738108414
97,3,5,0,1,2.9817302177444733
98,3,6,0,1,2.981730217744474
99,3,7,0,1,4.454971347513042
100,3,8,0,1,4.2556868040590565
101,3,9,0,1,3.85111322745275
102,3,10,0,1,5.534835444528801
103,3,11,0,1,3.9219564001024207
104,4,5,0,1,2.9212574446462387
105,4,6,0,1,2.92125744464624
106,4,7,0,1,6.222680990314299
107,4,8,0,1,3.921956400102417
108,4,9,0,1,5.534835444528798
109,4,10,0,1,3.8511132274527524
110,4,11,0,1,4.255686804059054
111,5,6,0,1,3.1468611428090414
112,5,7,0,1,4.569394145070732
113,5,8,0,1,4.073996267795876
114,5,9,0,1,3.925433310903294
115,5,10,0,1,6.001493347923726
116,5,11,0,1,3.846756440613788
117,6,7,0,1,4.56939414507073
118,6,8,0,1,4.073996267795874
119,6,9,0,1,3.9254333109032946
120,6,10,0,1,6.001493347923727
121,6,11,0,1,3.8467564406137873
122,7,8,0,1,2.8978857050585236
123,7,9,0,1,5.261786624002915
124,7,10,0,1,5.80951499980679
125,7,11,0,1,3.851484109144809
126,8,9,0,1,5.4453859041609025
127,8,10,0,1,5.933429625736149
128,8,11,0,1,4.907084092691257
129,9,10,0,1,1.497786095514967
130,9,11,0,1,5.933977793812397
131,10,11,0,1,5.445003384353283
132,0,1,0,2,5.362263970790853
133,0,2,0,2,4.5660430344899545
134,0,3,0,2,3.62287467879381e-30
135,0,4,0,2,2.924055787134954
136,0,5,0,2,0.9660519578423592
137,0,6,0,2,6.011538245822196
138,0,7,0,2,4.466298345987903
139,0,8,0,2,5.534766577199224
140,0,9,0,2,5.812872139732451
141,0,10,0,2,4.069704340449595
142,0,11,0,2,4.595274142156907
143,1,2,0,2,5.82322456654623
144,1,3,0,2,2.9247956809060556
145,1,4,0,2,3.1565622188569207
146,1,5,0,2,2.055238255596195
147,1,6,0,2,5.364368243374249
148,1,7,0,2,6.011538245822193
149,1,8,0,2,6.144452551775385
150,1,9,0,2,2.890907571646052
151,1,10,0,2,3.923050342309796
