,isite_i,isite_j,distance
0,0,1,2.0552934899130766
1,0,2,2.0552934899130766
2,0,3,0.0
3,0,4,2.0552934899130757
4,0,5,0.0
5,0,6,0.0
6,0,7,2.055293489913076
7,0,8,2.893167104789568
8,0,9,2.8931671047895686
9,0,10,2.8931671047895677
10,0,11,2.893167104789567
11,1,2,0.0
12,1,3,2.0552382555961937
13,1,4,0.0
14,1,5,2.055238255596195
15,1,6,2.055238255596194
16,1,7,0.0
17,1,8,2.890907571646052
18,1,9,2.890907571646052
19,1,10,2.890907571646051
20,1,11,2.890907571646051
21,2,3,2.055378872167597
22,2,4,0.0
23,2,5,2.0553788721675983
24,2,6,2.055378872167597
25,2,7,0.0
26,2,8,2.8971140852105304
27,2,9,2.89711408521053
28,2,10,2.897114085210529
29,2,11,2.897114085210532
30,3,4,2.0553788721675965
31,3,5,0.0
32,3,6,0.0
33,3,7,2.055378872167598
34,3,8,2.8971140852105286
35,3,9,2.897114085210529
36,3,10,2.897114085210531
37,3,11,2.897114085210529
38,4,5,2.0553788721675974
39,4,6,2.055378872167596
40,4,7,0.0
41,4,8,2.8971140852105317
42,4,9,2.897114085210529
43,4,10,2.8971140852105304
44,4,11,2.897114085210532
45,5,6,0.0
46,5,7,2.055262433436002
47,5,8,2.8911717046967604
48,5,9,2.891171704696761
49,5,10,2.89117170469676
50,5,11,2.89117170469676
51,6,7,2.055262433436001
52,6,8,2.8911717046967578
53,6,9,2.8911717046967595
54,6,10,2.891171704696759
55,6,11,2.891171704696758
56,7,8,2.897885705058524
57,7,9,2.897885705058524
58,7,10,2.897885705058526
59,7,11,2.897885705058525
60,8,9,0.0
61,8,10,0.0
62,8,11,0.0
63,9,10,0.0
64,9,11,0.0
65,10,11,0.0
