,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.874569162778568
1,0,2,0,0,1.7662896985611386e-30
2,0,3,0,0,2.874569162778567
3,0,4,0,0,2.8745691627785677
4,0,5,0,0,2.874569162778568
5,0,6,0,0,7.638167537285492e-30
6,0,7,0,0,2.8745691627785677
7,1,2,0,0,2.874569162778569
8,1,3,0,0,2.878204727748373
9,1,4,0,0,1.043223725512446e-30
10,1,5,0,0,2.8782047277483733
11,1,6,0,0,2.874569162778569
12,1,7,0,0,2.878204727748372
13,2,3,0,0,2.874569162778569
14,2,4,0,0,2.8745691627785686
15,2,5,0,0,2.874569162778569
16,2,6,0,0,6.866963306440156e-30
17,2,7,0,0,2.874569162778568
18,3,4,0,0,2.8782047277483724
19,3,5,0,0,1.0762329975289739e-30
20,3,6,0,0,2.8745691627785686
21,3,7,0,0,5.610595769383509e-30
22,4,5,0,0,2.878204727748373
23,4,6,0,0,2.8745691627785686
24,4,7,0,0,2.878204727748372
25,5,6,0,0,2.8745691627785686
26,5,7,0,0,6.678284641341019e-30
27,6,7,0,0,2.874569162778568
28,0,1,0,1,2.872017709591242
29,0,2,0,1,1.505446233838706e-30
30,0,3,0,1,2.8720177095912414
31,0,4,0,1,2.8720177095912405
32,0,5,0,1,2.872017709591242
33,0,6,0,1,6.920657548218198e-30
34,0,7,0,1,2.8720177095912423
35,1,2,0,1,2.8745691627785686
36,1,3,0,1,2.8713105898162103
37,1,4,0,1,4.8468476091112365
38,1,5,0,1,2.87131058981621
39,1,6,0,1,2.874569162778569
40,1,7,0,1,2.87131058981621
41,2,3,0,1,2.8720177095912423
42,2,4,0,1,2.8720177095912427
43,2,5,0,1,2.8720177095912423
44,2,6,0,1,5.955871696804432e-30
45,2,7,0,1,2.872017709591243
46,3,4,0,1,2.871310589816211
47,3,5,0,1,4.8468476091112365
48,3,6,0,1,2.8745691627785686
49,3,7,0,1,4.8468476091112365
50,4,5,0,1,2.871310589816211
51,4,6,0,1,2.874569162778568
52,4,7,0,1,2.8713105898162103
53,5,6,0,1,2.874569162778569
54,5,7,0,1,4.8468476091112365
55,6,7,0,1,2.8720177095912427
56,0,1,0,2,4.851087398656392
57,0,2,0,2,2.874569162778567
58,0,3,0,2,9.024461880683554e-30
59,0,4,0,2,1.7012146364162148e-30
60,0,5,0,2,4.851087398656389
61,0,6,0,2,2.874569162778568
62,0,7,0,2,1.505584453852413e-30
63,1,2,0,2,2.0258915446522802e-30
64,1,3,0,2,2.8745691627785677
65,1,4,0,2,2.874569162778568
66,1,5,0,2,2.872536105448613
67,1,6,0,2,2.878204727748373
68,1,7,0,2,2.874569162778568
69,2,3,0,2,1.0969830939393447e-29
70,2,4,0,2,1.6329670672874062e-30
71,2,5,0,2,4.85108739865639
72,2,6,0,2,2.87456916277857
73,2,7,0,2,1.188254742216816e-30
74,3,4,0,2,2.8745691627785677
75,3,5,0,2,2.8725361054486136
76,3,6,0,2,5.8971899074142455e-30
77,3,7,0,2,2.874569162778568
78,4,5,0,2,2.872536105448613
79,4,6,0,2,2.8782047277483724
80,4,7,0,2,2.874569162778567
81,5,6,0,2,5.518847179113163e-30
82,5,7,0,2,2.8745691627785677
83,6,7,0,2,7.893897372035263e-30
84,0,1,0,3,4.851087398656391
85,0,2,0,3,2.8720177095912414
86,0,3,0,3,7.764683325822563e-30
87,0,4,0,3,1.8529806231698555e-30
88,0,5,0,3,4.85108739865639
89,0,6,0,3,2.872017709591243
90,0,7,0,3,1.616728120097596e-30
91,1,2,0,3,4.846847609111234
92,1,3,0,3,2.874569162778567
93,1,4,0,3,2.874569162778568
94,1,5,0,3,2.8725361054486127
95,1,6,0,3,2.8713105898162112
96,1,7,0,3,2.874569162778568
97,2,3,0,3,6.699440460355653e-30
98,2,4,0,3,2.4370583718106826e-30
99,2,5,0,3,4.851087398656391
100,2,6,0,3,2.8720177095912445
101,2,7,0,3,2.721365011765215e-30
102,3,4,0,3,2.8745691627785677
103,3,5,0,3,2.8725361054486127
104,3,6,0,3,4.846847609111238
105,3,7,0,3,2.8745691627785677
106,4,5,0,3,2.8725361054486127
107,4,6,0,3,2.8713105898162112
108,4,7,0,3,2.874569162778567
109,5,6,0,3,4.846847609111237
110,5,7,0,3,2.874569162778568
111,6,7,0,3,4.563392555357763e-30
112,0,1,0,4,2.8745691627785668
