,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.1686052067285875
1,0,2,0,0,1.1368460030409826e-29
2,0,3,0,0,2.280177864572836e-30
3,0,4,0,0,3.4802643255163597
4,0,5,0,0,2.0047977876418783
5,0,6,0,0,3.418277354553576
6,0,7,0,0,2.0689882439511527
7,0,8,0,0,3.820686730741089e-30
8,0,9,0,0,3.544825911082695
9,0,10,0,0,1.7720931614626168
10,0,11,0,0,2.00262939743741
11,1,2,0,0,2.1686052067285866
12,1,3,0,0,2.168605206728587
13,1,4,0,0,3.4819907588091237
14,1,5,0,0,1.77246316310905
15,1,6,0,0,2.0713535737273276
16,1,7,0,0,3.4278298871521944
17,1,8,0,0,2.1686052067285875
18,1,9,0,0,3.418813680825953
19,1,10,0,0,2.0066169308095962
20,1,11,0,0,1.78245672414982
21,2,3,0,0,8.701416573459316e-30
22,2,4,0,0,3.48026432551636
23,2,5,0,0,2.004797787641878
24,2,6,0,0,3.4182773545535783
25,2,7,0,0,2.068988243951153
26,2,8,0,0,1.2039293021272473e-29
27,2,9,0,0,3.544825911082696
28,2,10,0,0,1.7720931614626163
29,2,11,0,0,2.0026293974374103
30,3,4,0,0,3.4802643255163606
31,3,5,0,0,2.0047977876418783
32,3,6,0,0,3.418277354553577
33,3,7,0,0,2.0689882439511527
34,3,8,0,0,2.0549020934545775e-30
35,3,9,0,0,3.5448259110826963
36,3,10,0,0,1.772093161462616
37,3,11,0,0,2.0026293974374103
38,4,5,0,0,1.5813667216693152
39,4,6,0,0,1.7779713356456657
40,4,7,0,0,1.7722039110079457
41,4,8,0,0,3.48026432551636
42,4,9,0,0,2.0047977876418788
43,4,10,0,0,1.5816684913361094
44,4,11,0,0,1.5811252114234575
45,5,6,0,0,1.7779713356456655
46,5,7,0,0,2.0050413330260373
47,5,8,0,0,2.004797787641878
48,5,9,0,0,3.48026432551636
49,5,10,0,0,1.5816684913361096
50,5,11,0,0,1.5811252114234575
51,6,7,0,0,3.0700963651796918
52,6,8,0,0,3.4182773545535765
53,6,9,0,0,3.4182773545535756
54,6,10,0,0,2.3940400215413242
55,6,11,0,0,3.4808894734787463
56,7,8,0,0,2.068988243951152
57,7,9,0,0,3.4257526700135763
58,7,10,0,0,3.4819520330457494
59,7,11,0,0,2.3951773877883973
60,8,9,0,0,3.5448259110826954
61,8,10,0,0,1.7720931614626163
62,8,11,0,0,2.0026293974374103
63,9,10,0,0,1.7720931614626163
64,9,11,0,0,2.0026293974374108
65,10,11,0,0,1.2572197453370122
66,0,1,0,1,3.072149081602429
67,0,2,0,1,3.067941561679636
68,0,3,0,1,3.067941561679636
69,0,4,0,1,2.3938042305020946
70,0,5,0,1,1.7805417846193299
71,0,6,0,1,3.5446537497379196
72,0,7,0,1,3.4257526700135763
73,0,8,0,1,3.067941561679634
74,0,9,0,1,2.0698039168612246
75,0,10,0,1,1.7720931614626168
76,0,11,0,1,2.00262939743741
77,1,2,0,1,3.0728186534445316
78,1,3,0,1,3.072818653444531
79,1,4,0,1,2.3965725191527314
80,1,5,0,1,2.005230883807331
81,1,6,0,1,3.425430171824438
82,1,7,0,1,3.550003062238444
83,1,8,0,1,3.0728186534445294
84,1,9,0,1,3.42464626276128
85,1,10,0,1,2.0066169308095962
