,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.924845053918826
1,0,2,0,0,2.3263050490096577
2,0,3,0,0,1.8026316331348113
3,0,4,0,0,4.8004539338557795
4,0,5,0,0,5.388193476578643
5,0,6,0,0,6.623986384378146
6,0,7,0,0,3.327385956873142
7,0,8,0,0,4.181595980076495
8,0,9,0,0,7.541457567086515
9,0,10,0,0,5.523066440209604
10,0,11,0,0,4.542530064529788
11,0,12,0,0,4.467764186946995
12,0,13,0,0,4.361440929127219
13,0,14,0,0,5.83272977346202
14,0,15,0,0,4.8150864181000905
15,1,2,0,0,6.058521990698006
16,1,3,0,0,6.143633139374094
17,1,4,0,0,3.459687726033611
18,1,5,0,0,5.615793397208291
19,1,6,0,0,5.9236608990670785
20,1,7,0,0,6.212601614621489
21,1,8,0,0,5.215808252329994
22,1,9,0,0,4.080677994113192
23,1,10,0,0,4.542619076320954
24,1,11,0,0,4.685889428911163
25,1,12,0,0,3.8118739676999134
26,1,13,0,0,4.290872321616239
27,1,14,0,0,4.81472077806584
28,1,15,0,0,3.496717322811925
29,2,3,0,0,2.891189292490173
30,2,4,0,0,3.854187109369401
31,2,5,0,0,5.9236608990670785
32,2,6,0,0,5.615793397208291
33,2,7,0,0,4.178672138647168
34,2,8,0,0,4.542619076658544
35,2,9,0,0,6.722040187532075
36,2,10,0,0,5.21580825294201
37,2,11,0,0,4.181496091611785
38,2,12,0,0,4.261085384633864
39,2,13,0,0,3.579776259206003
40,2,14,0,0,4.791412138832702
41,2,15,0,0,5.4478519568816886
42,3,4,0,0,3.3214684697613412
43,3,5,0,0,5.9056981351134805
44,3,6,0,0,6.454142876156664
45,3,7,0,0,4.796970783621978
46,3,8,0,0,3.3928465888915977
47,3,9,0,0,7.259778833869539
48,3,10,0,0,4.707876424568657
49,3,11,0,0,4.750140302364273
50,3,12,0,0,4.934271187676524
51,3,13,0,0,3.4945450848869144
52,3,14,0,0,5.275733244665783
53,3,15,0,0,5.922088491463788
54,4,5,0,0,5.293157413843193
55,4,6,0,0,4.637022322555598
56,4,7,0,0,4.8943353789645405
57,4,8,0,0,4.092623953671388
58,4,9,0,0,4.793893284260377
59,4,10,0,0,2.7384042670234767
60,4,11,0,0,3.6559628689514043
61,4,12,0,0,3.652093096799046
62,4,13,0,0,3.503272868324599
63,4,14,0,0,4.709403725649398
64,4,15,0,0,4.840717955863994
65,5,6,0,0,3.4960317082806363
66,5,7,0,0,3.73831865671534
67,5,8,0,0,4.851306968809588
68,5,9,0,0,4.270461163199271
69,5,10,0,0,5.707863555668112
70,5,11,0,0,5.765625326281586
71,5,12,0,0,3.912371950404673
72,5,13,0,0,5.454155255542653
73,5,14,0,0,2.61563510116143
74,5,15,0,0,3.322773869422262
75,6,7,0,0,4.91002555103966
76,6,8,0,0,5.707863555673569
77,6,9,0,0,2.130620560163927
78,6,10,0,0,4.85130696784128
79,6,11,0,0,5.068991099527557
80,6,12,0,0,5.8117683974400665
81,6,13,0,0,4.714052927123853
82,6,14,0,0,4.126951513378232
83,6,15,0,0,3.650456821682505
84,7,8,0,0,5.737438372068629
85,7,9,0,0,5.769616733918653
86,7,10,0,0,5.7492068458638865
87,7,11,0,0,4.437405070567913
88,7,12,0,0,2.6231565975250035
89,7,13,0,0,5.283856002802309
90,7,14,0,0,4.233904719449053
91,7,15,0,0,4.890866413371336
92,8,9,0,0,5.271738778864925
93,8,10,0,0,2.9580011687618915
94,8,11,0,0,3.035819215167039
95,8,12,0,0,5.4525316936096315
96,8,13,0,0,4.509348151588722
97,8,14,0,0,5.817038213579548
98,8,15,0,0,4.763484177992304
99,9,10,0,0,4.0026539605607345
100,9,11,0,0,4.114217177057082
101,9,12,0,0,5.107299996911255
102,9,13,0,0,5.463030944032073
103,9,14,0,0,3.8560765973596607
104,9,15,0,0,3.977869248917478
105,10,11,0,0,3.151971885415093
106,10,12,0,0,5.862767293285777
107,10,13,0,0,4.610619717935972
108,10,14,0,0,5.020348083136374
109,10,15,0,0,5.697531183635101
110,11,12,0,0,4.529809194589077
111,11,13,0,0,4.080664953660441
112,11,14,0,0,5.111837940999015
113,11,15,0,0,5.021496691543274
114,12,13,0,0,5.1220895100779025
115,12,14,0,0,3.0024762898171606
116,12,15,0,0,5.271784922990504
117,13,14,0,0,5.563757137081611
118,13,15,0,0,3.002295540905207
119,14,15,0,0,4.625563289410952
120,0,1,0,1,2.8912245603019984
121,0,2,0,1,6.816979379277033
122,0,3,0,1,5.8363993313556035
123,0,4,0,1,3.9960978826430242
124,0,5,0,1,6.310029111993336
125,0,6,0,1,6.197255011420805
126,0,7,0,1,5.9074833717953235
127,0,8,0,1,4.195068968281074
128,0,9,0,1,4.7434006478617485
129,0,10,0,1,4.9561335639237045
130,0,11,0,1,4.070010869983269
131,0,12,0,1,5.272249289933284
132,0,13,0,1,3.9670407620255004
133,0,14,0,1,7.077342264749622
134,0,15,0,1,3.5728340235360556
135,1,2,0,1,1.802895170945085
136,1,3,0,1,2.609907709525272
137,1,4,0,1,3.9309534992372224
138,1,5,0,1,6.35673439729346
139,1,6,0,1,6.084855901633438
140,1,7,0,1,3.0881537518947075
141,1,8,0,1,4.74380795327826
142,1,9,0,1,6.638716829851719
143,1,10,0,1,5.146590230904421
144,1,11,0,1,3.3936380042282686
145,1,12,0,1,3.96605763979628
146,1,13,0,1,4.020015351372678
147,1,14,0,1,4.5597866737748305
148,1,15,0,1,6.111763622579107
149,2,3,0,1,6.548955147087843
150,2,4,0,1,3.7192697033888282
151,2,5,0,1,6.084855901633437
152,2,6,0,1,6.35673439729346
153,2,7,0,1,6.092383982132393
154,2,8,0,1,5.146590230636182
155,2,9,0,1,4.9562855590994905
156,2,10,0,1,4.743807953382403
157,2,11,0,1,4.660915013942519
158,2,12,0,1,4.2455462424439565
159,2,13,0,1,3.9834293108567413
160,2,14,0,1,5.922010940783634
161,2,15,0,1,4.363927767447803
162,3,4,0,1,4.829804409389977
163,3,5,0,1,6.892613980023739
164,3,6,0,1,6.091153120455777
165,3,7,0,1,5.385838710598833
166,3,8,0,1,5.135091312707053
167,3,9,0,1,4.540047204377446
168,3,10,0,1,4.083487825637415
169,3,11,0,1,3.6540212252367095
170,3,12,0,1,5.832395369749914
171,3,13,0,1,4.259815805505185
172,3,14,0,1,6.868250319154526
173,3,15,0,1,4.018110847100147
174,4,5,0,1,6.401857941698714
175,4,6,0,1,4.637609721054855
176,4,7,0,1,3.73421798076231
177,4,8,0,1,4.878570971479554
178,4,9,0,1,4.4355170874539676
179,4,10,0,1,3.7684512353346724
180,4,11,0,1,3.019286726566307
181,4,12,0,1,4.228952978925527
182,4,13,0,1,4.119503813239395
183,4,14,0,1,4.965545713602096
184,4,15,0,1,5.796817496032928
185,5,6,0,1,2.354574376086218
186,5,7,0,1,3.5422898016569526
187,5,8,0,1,4.644403854607841
188,5,9,0,1,3.362859126788987
189,5,10,0,1,5.852777504273294
190,5,11,0,1,4.596494837766164
191,5,12,0,1,5.138879300045639
192,5,13,0,1,5.907157224731886
193,5,14,0,1,4.722202974558667
194,5,15,0,1,4.117443368371887
195,6,7,0,1,4.5796413669185805
196,6,8,0,1,5.852777503798805
197,6,9,0,1,3.7903749620053726
198,6,10,0,1,4.644403854233058
199,6,11,0,1,5.744517717410581
200,6,12,0,1,4.834780766230336
201,6,13,0,1,4.971089305620488
202,6,14,0,1,3.498517396189028
203,6,15,0,1,4.233020517498844
204,7,8,0,1,2.136502773733009
205,7,9,0,1,3.651592082714029
206,7,10,0,1,4.08900173530082
207,7,11,0,1,3.3837734303228926
208,7,12,0,1,4.713204970278222
209,7,13,0,1,4.753277340408892
210,7,14,0,1,5.133672442564313
211,7,15,0,1,4.113432952215827
212,8,9,0,1,5.536954999684193
213,8,10,0,1,4.794888399617899
214,8,11,0,1,4.989959670849725
215,8,12,0,1,3.826047505554617
216,8,13,0,1,4.851135814026071
217,8,14,0,1,5.189983587470005
218,8,15,0,1,4.079413758472096
219,9,10,0,1,5.3406044066142115
220,9,11,0,1,4.796941663228254
221,9,12,0,1,3.9442269496704263
222,9,13,0,1,5.697554129027447
223,9,14,0,1,2.605677010576443
224,9,15,0,1,5.181296607662504
225,10,11,0,1,5.5470677247786355
226,10,12,0,1,4.712913035253129
227,10,13,0,1,4.000892806423105
228,10,14,0,1,4.518209429161407
229,10,15,0,1,5.4605121052838355
230,11,12,0,1,2.615722050343794
231,11,13,0,1,4.714843566139839
232,11,14,0,1,3.7887457761369676
233,11,15,0,1,4.5172484566890585
234,12,13,0,1,4.62014882048575
235,12,14,0,1,3.8007540709453096
236,12,15,0,1,5.264800489605687
237,13,14,0,1,5.561378473539733
238,13,15,0,1,3.787290788568772
239,14,15,0,1,5.117146492452667
240,0,1,0,2,3.0303028480640254e-18
241,0,2,0,2,6.144834282741462
242,0,3,0,2,6.144834282673401
243,0,4,0,2,6.4510246713032995
244,0,5,0,2,6.4510246707448
245,0,6,0,2,3.327385957845806
246,0,7,0,2,3.630644110091709
247,0,8,0,2,4.74234932936749
248,0,9,0,2,4.72046607365741
249,0,10,0,2,3.3948277168142553
250,0,11,0,2,5.523066440358477
251,0,12,0,2,4.280532970342377
252,0,13,0,2,4.28053297033952
253,0,14,0,2,6.1138155154314235
254,0,15,0,2,4.94507455193033
255,1,2,0,2,6.1198070511394445
256,1,3,0,2,6.1198070509227955
257,1,4,0,2,4.797993442204574
258,1,5,0,2,4.797993443177299
259,1,6,0,2,6.212601614120117
260,1,7,0,2,3.8541871093693993
261,1,8,0,2,4.181496091611785
262,1,9,0,2,7.197618008770229
263,1,10,0,2,6.722040187532071
264,1,11,0,2,4.542619076658543
265,1,12,0,2,6.866866255664745
266,1,13,0,2,6.866866255664769
267,1,14,0,2,4.943041358016681
268,1,15,0,2,3.579776259622046
269,2,3,0,2,6.555895418573901
270,2,4,0,2,6.8936309076702935
271,2,5,0,2,6.893630908643016
272,2,6,0,2,4.178672139699862
273,2,7,0,2,3.459687726033612
274,2,8,0,2,4.685889428911163
275,2,9,0,2,5.134273776916994
276,2,10,0,2,4.080677994113192
277,2,11,0,2,5.215808252329997
278,2,12,0,2,4.943041358019683
279,2,13,0,2,4.94304135801668
280,2,14,0,2,6.8668662556647675
281,2,15,0,2,4.290872321616412
282,3,4,0,2,6.628906333648737
283,3,5,0,2,6.62890633311203
284,3,6,0,2,4.7969707845944125
285,3,7,0,2,3.375699161628374
286,3,8,0,2,3.204287972878463
287,3,9,0,2,5.513421396967378
288,3,10,0,2,4.17695526393534
289,3,11,0,2,4.707876424289994
290,3,12,0,2,3.969200790753269
291,3,13,0,2,3.969200791336932
292,3,14,0,2,5.449132664832135
293,3,15,0,2,4.477704778614442
294,4,5,0,2,4.9179051129025035
295,4,6,0,2,4.894335379691684
296,4,7,0,2,2.353734104795629
297,4,8,0,2,2.583657065926536
298,4,9,0,2,5.742661311620082
299,4,10,0,2,5.74931885018419
300,4,11,0,2,2.7384042675700124
301,4,12,0,2,5.59734751421822
302,4,13,0,2,5.5973475142185425
303,4,14,0,2,5.190394633429994
304,4,15,0,2,2.6169202520255888
305,5,6,0,2,3.7383186562778725
306,5,7,0,2,4.637022322555601
307,5,8,0,2,5.068991099527558
308,5,9,0,2,4.092569806930028
309,5,10,0,2,2.1306205601639268
310,5,11,0,2,5.70786355567357
311,5,12,0,2,4.90463491524429
312,5,13,0,2,4.904634915244252
313,5,14,0,2,4.532942156730624
314,5,15,0,2,4.71405292753989
315,6,7,0,2,5.293157413843196
316,6,8,0,2,5.765625326281586
317,6,9,0,2,3.6542873675519085
318,6,10,0,2,4.270461163199271
319,6,11,0,2,4.851306968809586
320,6,12,0,2,4.532942157146665
321,6,13,0,2,4.5329421567306225
322,6,14,0,2,4.9046349152442525
323,6,15,0,2,5.454155255540825
324,7,8,0,2,5.873272335064294
325,7,9,0,2,2.747867839071402
326,7,10,0,2,4.096785232926766
327,7,11,0,2,5.749206845369024
328,7,12,0,2,3.3182280102467265
329,7,13,0,2,3.318228010241966
330,7,14,0,2,5.908821403499722
331,7,15,0,2,3.6541803575941065
332,8,9,0,2,5.291101334329775
333,8,10,0,2,4.002653960592776
334,8,11,0,2,2.958001168321651
335,8,12,0,2,3.929015618958934
336,8,13,0,2,3.9290156205499045
337,8,14,0,2,3.8593082132271945
338,8,15,0,2,4.610619717538606
339,9,10,0,2,5.121422085081536
340,9,11,0,2,4.002653960592779
341,9,12,0,2,5.016265956880083
342,9,13,0,2,5.01626595646404
343,9,14,0,2,4.6872637218673985
344,9,15,0,2,4.9205397581848525
345,10,11,0,2,3.0303034216430104e-18
346,10,12,0,2,3.859308213636641
347,10,13,0,2,3.859308213636324
348,10,14,0,2,3.9290156206783613
349,10,15,0,2,4.509348151999954
350,11,12,0,2,4.609389077686579
351,11,13,0,2,4.609389077683726
352,11,14,0,2,5.46049906211929
353,11,15,0,2,3.93771781013796
354,12,13,0,2,4.6204063979610135
355,12,14,0,2,5.561048064974362
356,12,15,0,2,1.3557189461169612
357,13,14,0,2,4.955226018000292
358,13,15,0,2,4.189069650833562
359,14,15,0,2,3.4845836470500506
360,0,1,0,3,5.443266263347136
361,0,2,0,3,6.14534489679414
362,0,3,0,3,6.145344896779662
363,0,4,0,3,4.176674488909727
364,0,5,0,3,4.176674489961813
365,0,6,0,3,5.907483371616141
366,0,7,0,3,3.089673838050371
367,0,8,0,3,4.0830827839963435
368,0,9,0,3,6.632635712431221
369,0,10,0,3,6.938638089259028
370,0,11,0,3,4.95613356452551
371,0,12,0,3,5.922678108867898
372,0,13,0,3,5.922678108868464
373,0,14,0,3,4.246246834518637
374,0,15,0,3,4.582890319670681
375,1,2,0,3,6.811302665419879
376,1,3,0,3,6.811302665855357
377,1,4,0,3,6.30999579814725
378,1,5,0,3,6.309995799119912
379,1,6,0,3,3.0881537527684966
380,1,7,0,3,3.719269703388828
381,1,8,0,3,4.660915013942518
382,1,9,0,3,4.202706025579086
383,1,10,0,3,4.956285559099488
384,1,11,0,3,5.146590230636183
385,1,12,0,3,4.466318749877766
386,1,13,0,3,4.466318749874763
387,1,14,0,3,7.078262424454819
388,1,15,0,3,3.9834293102675824
389,2,3,0,3,6.3814105563024
390,2,4,0,3,3.328822063813642
391,2,5,0,3,3.3288220647863054
392,2,6,0,3,6.0923839819335734
393,2,7,0,3,3.9309534992372224
394,2,8,0,3,3.393638004228269
395,2,9,0,3,6.941215631959093
396,2,10,0,3,6.638716829851716
397,2,11,0,3,4.743807953278261
