,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,1.8026316325410336
2,0,3,1.8026316331348116
3,0,4,3.3744621854509287
4,0,5,3.3744621853433103
5,0,6,3.089673838924771
6,0,7,3.089673838050371
7,0,8,3.647301160086572
8,0,9,3.647301160606885
9,0,10,3.201402746840267
10,0,11,3.2014027467289985
11,0,12,3.803948599653943
12,0,13,3.8039486188044287
13,0,14,3.4895231963331854
14,0,15,3.489523208214317
15,1,2,1.802895170945085
16,1,3,1.8028951715388148
17,1,4,3.374785589955967
18,1,5,3.374785589848107
19,1,6,3.088153752768497
20,1,7,3.0881537518947075
21,1,8,3.644529951579106
22,1,9,3.644529952102011
23,1,10,3.211347698897779
24,1,11,3.211347698790318
25,1,12,3.8118739676999134
26,1,13,3.811873967698727
27,1,14,3.496717306944195
28,1,15,3.496717322811925
29,2,3,0.0
30,2,4,3.0881537518947084
31,2,5,3.0881537527684952
32,2,6,3.374785589848106
33,2,7,3.3747855899559625
34,2,8,3.211347698790319
35,2,9,3.2113476988977787
36,2,10,3.644529952102011
37,2,11,3.644529951579106
38,2,12,3.4967173228119237
39,2,13,3.496717306944192
40,2,14,3.811873967698724
41,2,15,3.811873967699906
42,3,4,3.092501970005234
43,3,5,3.092501970874082
44,3,6,3.375699161519466
45,3,7,3.375699161628374
46,3,8,3.204287972878463
47,3,9,3.20428797298802
48,3,10,3.6540212257593976
49,3,11,3.6540212252367095
50,3,12,3.4945450848877706
51,3,13,3.4945450848869144
52,3,14,3.807019701638212
53,3,15,3.8070197016612393
54,4,5,0.0
55,4,6,2.3537341051849405
56,4,7,2.353734104795629
57,4,8,2.583657065926536
58,4,9,2.5836570653779054
59,4,10,2.1360903510073346
60,4,11,2.1360903505332525
61,4,12,3.5032728683243053
62,4,13,3.503272868324599
63,4,14,2.616920252025571
64,4,15,2.6169202520255888
65,5,6,2.354574376086218
66,5,7,2.3545743756940403
67,5,8,2.590144686797063
68,5,9,2.5901446862467443
69,5,10,2.1306205601639268
70,5,11,2.130620559688653
71,5,12,3.4985173882602614
72,5,13,3.4985173961890275
73,5,14,2.61563510116143
74,5,15,2.615635113216425
75,6,7,0.0
76,6,8,2.1306205596886536
77,6,9,2.130620560163927
78,6,10,2.590144686246745
79,6,11,2.590144686797064
80,6,12,2.615635113216423
81,6,13,2.615635101161426
82,6,14,3.498517396189028
83,6,15,3.498517388260264
84,7,8,2.136502773733009
85,7,9,2.136502774210719
86,7,10,2.5842159378810603
87,7,11,2.5842159384288865
88,7,12,2.6231565975250035
89,7,13,2.623156597526149
90,7,14,3.507104295201343
91,7,15,3.507104283956656
92,8,9,0.0
93,8,10,2.9580011687618915
94,8,11,2.958001168321651
95,8,12,3.1454678349497764
96,8,13,3.14546783497355
97,8,14,2.611705689014342
98,8,15,2.611705689064625
99,9,10,2.9712985676086285
100,9,11,2.9712985671711287
101,9,12,3.1372492168886774
102,9,13,3.137249229867595
103,9,14,2.605677010576443
104,9,15,2.6056769977369414
105,10,11,0.0
106,10,12,2.611705688531712
107,10,13,2.611705688481432
108,10,14,3.1454678345102063
109,10,15,3.145467834486425
110,11,12,2.615722050343794
111,11,13,2.615722050341343
112,11,14,3.149263269596601
113,11,15,3.1492632695990546
114,12,13,0.0
115,12,14,1.3557189461167176
116,12,15,1.3557189461169612
117,13,14,1.35571894611696
118,13,15,1.3557189461167196
119,14,15,0.0
