,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.328633065900813
1,0,2,0,0,3.3523414066300194
2,0,3,0,0,3.0303025735532e-17
3,0,4,0,0,4.328633067190935
4,0,5,0,0,2.9543983082100307
5,0,6,0,0,3.3532311614928108
6,0,7,0,0,3.2199950301280764
7,0,8,0,0,3.2199950388483
8,0,9,0,0,3.3532311620682633
9,0,10,0,0,3.2285007087234097
10,0,11,0,0,3.228500693675511
11,1,2,0,0,2.951653040865476
12,1,3,0,0,4.3286330692357335
13,1,4,0,0,4.741608284620337e-16
14,1,5,0,0,4.292736421859784
15,1,6,0,0,2.951904387729255
16,1,7,0,0,3.352476377444654
17,1,8,0,0,3.3524763792472596
18,1,9,0,0,2.951904388484341
19,1,10,0,0,2.9545233677768272
20,1,11,0,0,2.954523366484003
21,2,3,0,0,3.3523414071789186
22,2,4,0,0,2.9516530379830144
23,2,5,0,0,3.1780639829381823
24,2,6,0,0,7.235958806555165e-07
25,2,7,0,0,4.3288497848398375
26,2,8,0,0,4.328849791570327
27,2,9,0,0,7.235958279590346e-07
28,2,10,0,0,2.954523367977859
29,2,11,0,0,2.9545233666850352
30,3,4,0,0,4.328633070525855
31,3,5,0,0,2.954398308969441
32,3,6,0,0,3.3532311620412263
33,3,7,0,0,3.2199950299684024
34,3,8,0,0,3.2199950386886256
35,3,9,0,0,3.353231162616679
36,3,10,0,0,3.228500708571043
37,3,11,0,0,3.2285006935231424
38,4,5,0,0,4.292736404351341
39,4,6,0,0,2.9519043848560313
40,4,7,0,0,3.3524763577264753
41,4,8,0,0,3.352476359529081
42,4,9,0,0,2.9519043856111185
43,4,10,0,0,2.9545233652602505
44,4,11,0,0,2.954523363967427
45,5,6,0,0,3.1790183885317194
46,5,7,0,0,4.315014249493267
47,5,8,0,0,4.315014247788596
48,5,9,0,0,3.1790183884172603
49,5,10,0,0,3.3518881304212713
50,5,11,0,0,3.351888119340974
51,6,7,0,0,4.329265960368218
52,6,8,0,0,4.3292659671053535
53,6,9,0,0,3.030302667737944e-17
54,6,10,0,0,2.9546712048653765
55,6,11,0,0,2.9546712035746903
56,7,8,0,0,1.0253865065565114e-16
57,7,9,0,0,4.329265963425442
58,7,10,0,0,3.2286377619238
59,7,11,0,0,3.2286377468764167
60,8,9,0,0,4.329265970162577
61,8,10,0,0,3.2286377750017388
62,8,11,0,0,3.2286377599543554
63,9,10,0,0,2.95467120562414
64,9,11,0,0,2.9546712043334544
65,10,11,0,0,2.162171016526473e-16
66,0,1,0,1,4.297300181079555
67,0,2,0,1,5.279982830561207
68,0,3,0,1,3.382769906824276
