,neighbor_num,isite,atom,x,y,z,front_index
0,0,26,Si1,0.0,0.0,0.0,
1,1,80,O1,-0.7717684363145227,1.3064028224671302,-0.5346555457856326,0.0
2,1,42,O1,1.5301321287343075,-2.643244232525226e-17,-0.5091593239620467,0.0
3,1,84,O1,-0.7392973039891868,-1.3236360364527182,-0.542875095359382,0.0
4,1,52,O1,0.0,8.328281985542129e-18,1.6092711509205457,0.0
5,2,20,Si1,-2.1384313599610456,2.134060550746322,-0.3334817364605809,1.0
6,2,17,Si1,2.7933700901720138,-0.841783727083777,0.03143199656305451,2.0
7,2,30,Si1,-1.0288597925816096,-2.825627162610727,-0.03849102365173568,3.0
8,2,14,Si1,-0.6232528771939395,0.05432538990154237,3.0923921912047714,4.0
9,3,102,O1,-1.7958872255315703,3.604518313817186,0.22711918537037,5.0
10,3,96,O1,-3.089784930558042,1.3662078808282225,0.7158525676648875,5.0
11,3,106,O1,-2.898742213859533,2.2627127661305253,-1.74632087831608,5.0
12,3,38,O1,2.2696008309366635,-2.1036935051670476,0.8835203600675198,6.0
13,3,43,O1,3.6701897273827395,-1.3535618836373358,-1.2199190514607854,6.0
14,3,39,O1,3.7049603018719695,0.0889226205936951,0.9777903218937984,6.0
15,3,90,O1,-1.6521126704420044,-2.7713017629230134,1.4446300185784353,7.0
16,3,102,O1,-2.0644843266620763,-3.553417994837545,-1.0331713897700363,7.0
17,3,58,O1,0.35076806350658896,-3.655666914784933,-0.003968206672939872,7.0
18,3,92,O1,-2.0028807430418434,0.884365141030868,3.0578693761381555,8.0
19,3,68,O1,0.41237165622007355,0.7821162319145325,4.087072559269018,8.0
20,3,50,O1,-0.9128153762125192,-1.4476657275151763,3.5967762667705396,8.0
21,4,30,Si1,-0.7602626914511033,4.332309146044006,1.2217995514886708,9.0
22,4,22,Si1,-3.3738507916734966,0.845877702468194,2.2132546286439094,10.0
23,4,19,Si1,-2.7773190239701355,2.679677760757836,-3.2962031416027573,11.0
24,4,6,Si1,1.7217381121382436,-3.617179476222258,0.8406465408213044,12.0
25,4,27,Si1,5.271854832101447,-1.4146518358941655,-1.397357645349007,13.0
26,4,7,Si1,4.2998103583186005,1.5622808704385227,1.2385591311361925,14.0
27,4,10,Si1,-1.6521126704420048,-2.7713017629230134,3.0539011694989804,15.0
28,4,20,Si1,-2.4070284604250984,-5.023875767694581,-1.5937723135469337,16.0
29,4,6,Si1,1.7217381121382436,-3.617179476222258,0.8406465408213044,17.0
30,4,22,Si1,-3.3738507916734966,0.845877702468194,2.2132546286439094,18.0
31,4,0,Si1,0.7549157906495484,2.252573994985397,4.647673481099969,19.0
32,4,10,Si1,-1.6521126704420048,-2.7713017629230134,3.0539011694989804,20.0
