,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.183025688858349
1,0,2,0,0,5.183025688858352
2,0,3,0,0,5.171310504223814
3,0,4,0,0,1.7495123079227037
4,0,5,0,0,5.171310504223816
5,0,6,0,0,5.171310504223814
6,0,7,0,0,1.7495123079227053
7,1,2,0,0,7.07796763016349e-30
8,1,3,0,0,3.294275828605394
9,1,4,0,0,3.2914236681014133
10,1,5,0,0,3.2942758286053944
11,1,6,0,0,3.2942758286053953
12,1,7,0,0,3.2914236681014106
13,2,3,0,0,3.2942758286053957
14,2,4,0,0,3.291423668101416
15,2,5,0,0,3.294275828605398
16,2,6,0,0,3.2942758286053984
17,2,7,0,0,3.291423668101413
18,3,4,0,0,3.2942758286053953
19,3,5,0,0,2.15010818991391e-30
20,3,6,0,0,6.0305885648922454e-30
21,3,7,0,0,3.294275828605394
22,4,5,0,0,3.294275828605398
23,4,6,0,0,3.294275828605398
24,4,7,0,0,1.7512656068853536e-30
25,5,6,0,0,3.2414918363387305e-30
26,5,7,0,0,3.2942758286053953
27,6,7,0,0,3.294275828605396
28,0,1,0,1,5.1123475313572175
29,0,2,0,1,5.11234753135722
30,0,3,0,1,4.816271214768353
31,0,4,0,1,4.0150382035369825
32,0,5,0,1,4.816271214768354
33,0,6,0,1,4.816271214768352
34,0,7,0,1,4.015038203536981
35,1,2,0,1,3.9845536408822415
36,1,3,0,1,5.171977228301215
37,1,4,0,1,4.829960217965717
38,1,5,0,1,5.171977228301213
39,1,6,0,1,5.171977228301213
40,1,7,0,1,4.8299602179657155
41,2,3,0,1,5.171977228301215
42,2,4,0,1,4.829960217965716
43,2,5,0,1,5.171977228301214
44,2,6,0,1,5.171977228301215
45,2,7,0,1,4.829960217965715
46,3,4,0,1,5.123850451754975
47,3,5,0,1,1.7495090858990796
48,3,6,0,1,1.749509085899081
49,3,7,0,1,5.123850451754975
50,4,5,0,1,5.171977228301215
51,4,6,0,1,5.171977228301214
52,4,7,0,1,3.984553640882239
53,5,6,0,1,1.7495090858990794
54,5,7,0,1,5.123850451754975
55,6,7,0,1,5.1238504517549694
56,0,1,0,2,5.171310504223813
57,0,2,0,2,1.749512307922704
58,0,3,0,2,4.86744711739834
59,0,4,0,2,5.1830256888583515
60,0,5,0,2,2.7370096756202952e-30
61,0,6,0,2,1.749512307922703
62,0,7,0,2,5.18302568885835
63,1,2,0,2,3.2914236681014124
64,1,3,0,2,1.7495123079227046
65,1,4,0,2,9.906475888760785e-30
66,1,5,0,2,5.183025688858346
67,1,6,0,2,3.291423668101411
68,1,7,0,2,6.615026596894918e-30
69,2,3,0,2,1.7495123079227024
70,2,4,0,2,1.3969937116909948e-30
71,2,5,0,2,5.1830256888583515
72,2,6,0,2,3.291423668101414
73,2,7,0,2,1.9864449977004216e-30
74,3,4,0,2,3.2942758286053953
75,3,5,0,2,5.171310504223811
76,3,6,0,2,3.294275828605394
77,3,7,0,2,3.294275828605394
78,4,5,0,2,1.7495123079227022
79,4,6,0,2,2.3473934500353225e-30
80,4,7,0,2,3.2914236681014137
81,5,6,0,2,3.294275828605396
82,5,7,0,2,3.294275828605396
83,6,7,0,2,3.2942758286053957
84,0,1,0,3,4.816271214768352
85,0,2,0,3,4.015038203536983
