,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.58639789726107e-30
1,0,2,0,0,3.404717317201222e-30
2,0,3,0,0,1.9596005940136318
3,0,4,0,0,4.362764630581119
4,1,2,0,0,2.1873661801107833e-30
5,1,3,0,0,1.959600594013633
6,1,4,0,0,4.36276463058112
7,2,3,0,0,1.9596005940136327
8,2,4,0,0,4.362764630581119
9,3,4,0,0,5.748343607639732
10,0,1,0,1,7.24976829668302
11,0,2,0,1,7.249768296683018
12,0,3,0,1,5.879952628862055
13,0,4,0,1,4.362764630581118
14,1,2,0,1,7.2497682966830235
15,1,3,0,1,5.879952628862056
16,1,4,0,1,4.36276463058112
17,2,3,0,1,5.879952628862054
18,2,4,0,1,4.362764630581119
19,3,4,0,1,5.748343607639733
20,0,1,0,2,6.898006431247396
21,0,2,0,2,6.898006431247393
22,0,3,0,2,3.1424173310783735e-30
23,0,4,0,2,5.762279572607782
24,1,2,0,2,6.8980064312473965
25,1,3,0,2,2.3864489748469572e-30
26,1,4,0,2,5.762279572607785
27,2,3,0,2,3.3954728534681634e-30
28,2,4,0,2,5.762279572607783
29,3,4,0,2,5.7480732123988645
30,0,1,0,3,1.9597068497734718
31,0,2,0,3,1.9597068497734704
32,0,3,0,3,7.249768296683023
33,0,4,0,3,5.762279572607782
34,1,2,0,3,1.9597068497734713
35,1,3,0,3,7.249768296683027
36,1,4,0,3,5.762279572607784
37,2,3,0,3,7.249768296683024
38,2,4,0,3,5.762279572607783
39,3,4,0,3,5.7480732123988645
40,0,1,0,4,5.884599357807898
41,0,2,0,4,5.8845993578078915
42,0,3,0,4,5.910015644956909
43,0,4,0,4,5.735966736229776
44,1,2,0,4,5.884599357807891
45,1,3,0,4,5.910015644956911
46,1,4,0,4,5.735966736229777
47,2,3,0,4,5.9100156449569115
48,2,4,0,4,5.735966736229774
49,3,4,0,4,4.349071289240246
50,0,1,0,5,6.865167395460348
51,0,2,0,5,6.865167395460347
52,0,3,0,5,5.870631137717642
53,0,4,0,5,5.735966736229775
54,1,2,0,5,6.865167395460347
55,1,3,0,5,5.870631137717644
56,1,4,0,5,5.735966736229774
57,2,3,0,5,5.8706311377176394
58,2,4,0,5,5.735966736229773
59,3,4,0,5,4.349071289240248
60,0,1,0,6,1.9596005940136323
61,0,2,0,6,1.9596005940136314
62,0,3,0,6,6.8980064312473965
63,0,4,0,6,5.735966736229777
64,1,2,0,6,1.9596005940136323
65,1,3,0,6,6.898006431247401
66,1,4,0,6,5.735966736229777
67,2,3,0,6,6.898006431247398
68,2,4,0,6,5.735966736229777
69,3,4,0,6,4.349071289240247
70,0,1,0,7,5.879952628862054
71,0,2,0,7,5.879952628862052
72,0,3,0,7,1.9597068497734713
73,0,4,0,7,5.7359667362297735
74,1,2,0,7,5.8799526288620525
75,1,3,0,7,1.959706849773472
76,1,4,0,7,5.7359667362297735
77,2,3,0,7,1.9597068497734718
78,2,4,0,7,5.735966736229773
79,3,4,0,7,4.349071289240248
80,0,1,0,8,5.910015644956912
81,0,2,0,8,5.9100156449569035
82,0,3,0,8,4.57923472041711
83,0,4,0,8,5.762279572607785
84,1,2,0,8,5.910015644956905
85,1,3,0,8,4.579234720417112
86,1,4,0,8,5.762279572607787
87,2,3,0,8,4.579234720417111
88,2,4,0,8,5.762279572607785
89,3,4,0,8,5.7480732123988645
90,0,1,0,9,5.870631137717638
91,0,2,0,9,5.8706311377176394
92,0,3,0,9,7.240019306320036
93,0,4,0,9,5.762279572607785
94,1,2,0,9,5.87063113771764
95,1,3,0,9,7.240019306320041
96,1,4,0,9,5.762279572607787
97,2,3,0,9,7.240019306320036
98,2,4,0,9,5.762279572607785
99,3,4,0,9,5.7480732123988645
100,0,1,0,10,4.57923472041711
101,0,2,0,10,4.579234720417112
102,0,3,0,10,5.884599357807895
103,0,4,0,10,4.362764630581117
104,1,2,0,10,4.579234720417111
105,1,3,0,10,5.884599357807897
106,1,4,0,10,4.362764630581118
107,2,3,0,10,5.884599357807896
108,2,4,0,10,4.362764630581118
109,3,4,0,10,5.7483436076397325
110,0,1,0,11,7.240019306320037
111,0,2,0,11,7.240019306320036
112,0,3,0,11,6.86516739546035
113,0,4,0,11,4.362764630581117
114,1,2,0,11,7.24001930632004
115,1,3,0,11,6.86516739546035
116,1,4,0,11,4.362764630581119
117,2,3,0,11,6.865167395460348
118,2,4,0,11,4.362764630581117
119,3,4,0,11,5.7483436076397325
