,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.5588955748371208e-30
1,0,2,0,0,1.4217843147634985e-30
2,0,3,0,0,5.887232448118478
3,0,4,0,0,5.035628920291997
4,0,5,0,0,3.101979268473701
5,0,6,0,0,3.1019792684737006
6,0,7,0,0,4.348982824006543
7,0,8,0,0,6.2251016531240094e-30
8,0,9,0,0,5.887232448118479
9,0,10,0,0,1.1796945377565909e-29
10,0,11,0,0,5.885975905886836
11,0,12,0,0,4.348982824006543
12,0,13,0,0,5.035628920291998
13,0,14,0,0,3.101979268473702
14,0,15,0,0,5.035628920291999
15,1,2,0,0,1.81485494411024e-30
16,1,3,0,0,5.887232448118481
17,1,4,0,0,5.035628920291998
18,1,5,0,0,3.101979268473702
19,1,6,0,0,3.1019792684737015
20,1,7,0,0,4.348982824006544
21,1,8,0,0,7.135634641619522e-30
22,1,9,0,0,5.887232448118481
23,1,10,0,0,1.3445588099172156e-29
24,1,11,0,0,5.885975905886834
25,1,12,0,0,4.348982824006546
26,1,13,0,0,5.035628920291998
27,1,14,0,0,3.1019792684737024
28,1,15,0,0,5.035628920291999
29,2,3,0,0,5.887232448118478
30,2,4,0,0,5.035628920291996
31,2,5,0,0,3.101979268473702
32,2,6,0,0,3.1019792684737024
33,2,7,0,0,4.348982824006543
34,2,8,0,0,5.2461267499386196e-30
35,2,9,0,0,5.887232448118479
36,2,10,0,0,8.909982318270654e-30
37,2,11,0,0,5.885975905886832
38,2,12,0,0,4.348982824006545
39,2,13,0,0,5.035628920291997
40,2,14,0,0,3.1019792684737024
41,2,15,0,0,5.035628920291998
42,3,4,0,0,3.108271542313421
43,3,5,0,0,4.348982824006543
44,3,6,0,0,4.348982824006544
45,3,7,0,0,5.0448610437106876
46,3,8,0,0,5.887232448118482
47,3,9,0,0,6.0994106504620655e-30
48,3,10,0,0,5.88723244811848
49,3,11,0,0,5.8803566393031685
50,3,12,0,0,5.044861043710689
51,3,13,0,0,3.1082715423134184
52,3,14,0,0,4.3489828240065425
53,3,15,0,0,3.1082715423134193
54,4,5,0,0,5.885975905886832
55,4,6,0,0,5.885975905886835
56,4,7,0,0,5.880356639303171
57,4,8,0,0,5.035628920291998
58,4,9,0,0,3.108271542313419
59,4,10,0,0,5.035628920291996
60,4,11,0,0,4.342749173239101
61,4,12,0,0,5.88035663930317
62,4,13,0,0,1.8604308178240298e-30
63,4,14,0,0,5.885975905886835
64,4,15,0,0,2.8384297158865614e-30
65,5,6,0,0,1.0758464436921246e-30
66,5,7,0,0,5.887232448118478
67,5,8,0,0,3.1019792684737015
68,5,9,0,0,4.348982824006544
69,5,10,0,0,3.101979268473704
70,5,11,0,0,5.0356289202919955
71,5,12,0,0,5.887232448118483
72,5,13,0,0,5.885975905886833
73,5,14,0,0,2.797590608509479e-30
74,5,15,0,0,5.885975905886834
75,6,7,0,0,5.887232448118479
76,6,8,0,0,3.101979268473703
77,6,9,0,0,4.348982824006545
78,6,10,0,0,3.101979268473705
79,6,11,0,0,5.035628920291997
80,6,12,0,0,5.887232448118483
81,6,13,0,0,5.885975905886834
82,6,14,0,0,3.637785480266647e-30
83,6,15,0,0,5.885975905886832
84,7,8,0,0,4.348982824006544
85,7,9,0,0,5.044861043710688
86,7,10,0,0,4.348982824006543
87,7,11,0,0,3.108271542313417
88,7,12,0,0,1.5022066809377348e-29
89,7,13,0,0,5.88035663930317
90,7,14,0,0,5.887232448118479
91,7,15,0,0,5.880356639303171
92,8,9,0,0,5.887232448118482
93,8,10,0,0,5.493580934883618e-30
94,8,11,0,0,5.885975905886837
95,8,12,0,0,4.348982824006546
96,8,13,0,0,5.035628920291998
97,8,14,0,0,3.1019792684737033
98,8,15,0,0,5.035628920292
99,9,10,0,0,5.88723244811848
100,9,11,0,0,5.880356639303167
101,9,12,0,0,5.044861043710691
102,9,13,0,0,3.1082715423134175
103,9,14,0,0,4.348982824006542
104,9,15,0,0,3.1082715423134184
105,10,11,0,0,5.885975905886833
106,10,12,0,0,4.348982824006545
107,10,13,0,0,5.035628920291998
108,10,14,0,0,3.1019792684737055
109,10,15,0,0,5.035628920291998
110,11,12,0,0,3.1082715423134215
111,11,13,0,0,4.3427491732391
