,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,3.1019792684737038
4,0,5,3.1019792684737
5,0,6,3.1019792684737006
6,0,7,3.101979268473703
7,0,8,0.0
8,0,9,0.0
9,0,10,0.0
10,0,11,0.0
11,0,12,3.101979268473702
12,0,13,3.101979268473702
13,0,14,3.101979268473702
14,0,15,3.101979268473701
15,1,2,0.0
16,1,3,0.0
17,1,4,3.1019792684737046
18,1,5,3.101979268473701
19,1,6,3.101979268473701
20,1,7,3.101979268473704
21,1,8,0.0
22,1,9,0.0
23,1,10,0.0
24,1,11,0.0
25,1,12,3.1019792684737024
26,1,13,3.101979268473703
27,1,14,3.1019792684737024
28,1,15,3.1019792684737024
29,2,3,0.0
30,2,4,3.101979268473704
31,2,5,3.1019792684737006
32,2,6,3.1019792684737024
33,2,7,3.101979268473704
34,2,8,0.0
35,2,9,0.0
36,2,10,0.0
37,2,11,0.0
38,2,12,3.101979268473702
39,2,13,3.1019792684737024
40,2,14,3.1019792684737024
41,2,15,3.101979268473701
42,3,4,3.099554762315755
43,3,5,3.099554762315752
44,3,6,3.099554762315754
45,3,7,3.099554762315755
46,3,8,0.0
47,3,9,0.0
48,3,10,0.0
49,3,11,0.0
50,3,12,3.099554762315755
51,3,13,3.0995547623157536
52,3,14,3.0995547623157536
53,3,15,3.099554762315753
54,4,5,0.0
55,4,6,0.0
56,4,7,0.0
57,4,8,3.10827154231342
58,4,9,3.108271542313419
59,4,10,3.1082715423134184
60,4,11,3.1082715423134197
61,4,12,0.0
62,4,13,0.0
63,4,14,0.0
64,4,15,0.0
65,5,6,0.0
66,5,7,0.0
67,5,8,3.101979268473701
68,5,9,3.101979268473702
69,5,10,3.1019792684737024
70,5,11,3.101979268473702
71,5,12,0.0
72,5,13,0.0
73,5,14,0.0
74,5,15,0.0
75,6,7,0.0
76,6,8,3.101979268473703
77,6,9,3.101979268473701
78,6,10,3.101979268473703
79,6,11,3.101979268473701
80,6,12,0.0
81,6,13,0.0
82,6,14,0.0
83,6,15,0.0
84,7,8,3.099554762315755
85,7,9,3.099554762315754
86,7,10,3.0995547623157544
87,7,11,3.099554762315752
88,7,12,0.0
89,7,13,0.0
90,7,14,0.0
91,7,15,0.0
92,8,9,0.0
93,8,10,0.0
94,8,11,0.0
95,8,12,3.1019792684737038
96,8,13,3.101979268473704
97,8,14,3.1019792684737038
98,8,15,3.1019792684737038
99,9,10,0.0
100,9,11,0.0
101,9,12,3.099554762315751
102,9,13,3.0995547623157518
103,9,14,3.099554762315751
104,9,15,3.0995547623157504
105,10,11,0.0
106,10,12,3.101979268473705
107,10,13,3.1019792684737046
108,10,14,3.101979268473705
109,10,15,3.101979268473705
110,11,12,3.1082715423134166
111,11,13,3.108271542313416
112,11,14,3.108271542313418
113,11,15,3.108271542313418
114,12,13,0.0
115,12,14,0.0
116,12,15,0.0
117,13,14,0.0
118,13,15,0.0
119,14,15,0.0
