,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.107929249976073
1,0,2,0,0,3.0103410019330212
2,0,3,0,0,4.994230640215312
3,0,4,0,0,2.8347234373427086
4,0,5,0,0,2.8347234373427086
5,1,2,0,0,3.4623182507415065
6,1,3,0,0,3.4514370150440934
7,1,4,0,0,4.67411500318149
8,1,5,0,0,4.674115003181489
9,2,3,0,0,3.4623182507415073
10,2,4,0,0,3.637254878973162
11,2,5,0,0,3.637254878973162
12,3,4,0,0,3.6476116089728254
13,3,5,0,0,3.647611608972825
14,4,5,0,0,1.5953469875088402e-30
15,0,1,0,1,4.991398258280487
16,0,2,0,1,3.0190412011716163
17,0,3,0,1,4.108447955592264
18,0,4,0,1,3.658365575008694
19,0,5,0,1,3.6583655750086925
20,1,2,0,1,4.984088941328602
21,1,3,0,1,4.110779806397481
22,1,4,0,1,3.95390415843989
23,1,5,0,1,3.9539041584398893
24,2,3,0,1,4.982211971052542
25,2,4,0,1,2.798213290470415
26,2,5,0,1,2.798213290470415
27,3,4,0,1,2.8136274354703605
28,3,5,0,1,2.8136274354703588
29,4,5,0,1,1.1561120022443385
30,0,1,0,2,5.001571698838585
31,0,2,0,2,5.001571698838585
32,0,3,0,2,4.809336850463827
33,0,4,0,2,3.659073136112733
34,0,5,0,2,4.688695357678731
35,1,2,0,2,4.983194295137011
36,1,3,0,2,4.994230640215314
37,1,4,0,2,3.6476116089728268
38,1,5,0,2,2.8196301286048855
39,2,3,0,2,3.0103410019330212
40,2,4,0,2,3.6372548789731636
41,2,5,0,2,3.918711304663141
42,3,4,0,2,4.674115003181489
43,3,5,0,2,2.8196301286048833
44,4,5,0,2,1.3598533687310237
45,0,1,0,3,3.45203664911994
46,0,2,0,3,3.4520366491199415
47,0,3,0,3,4.8093368504638265
48,0,4,0,3,2.836470179641587
49,0,5,0,3,4.688695357678733
50,1,2,0,3,4.994716118483785
51,1,3,0,3,4.994230640215314
52,1,4,0,3,2.813627435470363
53,1,5,0,3,2.819630128604886
54,2,3,0,3,3.010341001933022
55,2,4,0,3,2.798213290470416
56,2,5,0,3,3.9187113046631414
57,3,4,0,3,3.9539041584398875
58,3,5,0,3,2.819630128604885
59,4,5,0,3,1.3598533687310235
60,0,1,0,4,4.809336850463826
61,0,2,0,4,3.4608960105955595
62,0,3,0,4,3.46089601059556
63,0,4,0,4,3.9675792440003375
64,0,5,0,4,3.659073136112731
65,1,2,0,4,3.008890528511588
66,1,3,0,4,3.0088905285115897
67,1,4,0,4,3.648878507652729
68,1,5,0,4,3.6476116089728263
69,2,3,0,4,4.139651262296857
70,2,4,0,4,4.647562890960374
71,2,5,0,4,3.637254878973163
72,3,4,0,4,3.6488785076527295
73,3,5,0,4,4.674115003181489
74,4,5,0,4,1.3596291903245532
75,0,1,0,5,3.632892138779127e-30
76,0,2,0,5,5.005161549809578
77,0,3,0,5,5.00516154980958
78,0,4,0,5,3.9675792440003357
79,0,5,0,5,2.8364701796415863
80,1,2,0,5,4.789184227524668
81,1,3,0,5,4.78918422752467
82,1,4,0,5,3.64887850765273
83,1,5,0,5,2.81362743547036
84,2,3,0,5,4.981930420469226
85,2,4,0,5,4.647562890960375
86,2,5,0,5,2.798213290470415
87,3,4,0,5,3.6488785076527273
88,3,5,0,5,3.9539041584398875
89,4,5,0,5,1.3595002528003233
90,0,1,0,6,3.01034100193302
91,0,2,0,6,4.107929249976073
92,0,3,0,6,4.107929249976075
93,0,4,0,6,4.688695357678735
94,0,5,0,6,3.6590731361127316
95,1,2,0,6,3.1517084840222052e-30
96,1,3,0,6,6.571786551567752e-30
97,1,4,0,6,2.819630128604886
98,1,5,0,6,3.6476116089728277
99,2,3,0,6,3.4623182507415082
100,2,4,0,6,3.9187113046631423
101,2,5,0,6,3.6372548789731622
102,3,4,0,6,2.819630128604885
103,3,5,0,6,4.6741150031814875
104,4,5,0,6,1.3596291903245543
105,0,1,0,7,3.0190412011716172
106,0,2,0,7,4.991398258280489
107,0,3,0,7,4.9913982582804906
108,0,4,0,7,4.688695357678734
109,0,5,0,7,2.836470179641587
110,1,2,0,7,3.006160485395521
111,1,3,0,7,3.0061604853955224
112,1,4,0,7,2.8196301286048855
113,1,5,0,7,2.8136274354703614
114,2,3,0,7,4.982211971052544
115,2,4,0,7,3.918711304663144
116,2,5,0,7,2.798213290470415
117,3,4,0,7,2.819630128604884
118,3,5,0,7,3.9539041584398884
119,4,5,0,7,1.3595002528003226
120,0,1,0,8,4.994230640215313
121,0,2,0,8,4.994230640215314
122,0,3,0,8,3.0103410019330212
123,0,4,0,8,3.659073136112731
124,0,5,0,8,3.967579244000334
125,1,2,0,8,3.4514370150440934
126,1,3,0,8,3.4623182507415082
127,1,4,0,8,3.647611608972828
128,1,5,0,8,3.6488785076527264
