,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.515096441363522
1,0,2,0,0,7.501421263420778e-30
2,0,3,0,0,3.096549624874846
3,0,4,0,0,5.149558281203762
4,0,5,0,0,4.211694476157283
5,0,6,0,0,4.2116944761572785
6,0,7,0,0,5.149558281203762
7,0,8,0,0,5.659684102599143
8,0,9,0,0,3.9041881713710525
9,0,10,0,0,3.1795458523231463
10,0,11,0,0,3.9041881713710525
11,1,2,0,0,4.5150964413635215
12,1,3,0,0,5.215769748819381
13,1,4,0,0,5.215746947250359
14,1,5,0,0,5.180178493120817
15,1,6,0,0,5.180178493120816
16,1,7,0,0,5.215746947250356
17,1,8,0,0,5.116609737045649
18,1,9,0,0,4.691450283730628
19,1,10,0,0,4.927486564563891
20,1,11,0,0,4.691450283730627
21,2,3,0,0,3.096549624874847
22,2,4,0,0,5.149558281203762
23,2,5,0,0,4.211694476157282
24,2,6,0,0,4.211694476157278
25,2,7,0,0,5.149558281203762
26,2,8,0,0,5.659684102599143
27,2,9,0,0,3.9041881713710516
28,2,10,0,0,3.179545852323146
29,2,11,0,0,3.9041881713710525
30,3,4,0,0,4.874129136998852
31,3,5,0,0,2.673032721371624
32,3,6,0,0,2.6730327213716247
33,3,7,0,0,4.874129136998853
34,3,8,0,0,4.821406707193168
35,3,9,0,0,3.5459272333196394
36,3,10,0,0,3.980061440005007
37,3,11,0,0,3.5459272333196394
38,4,5,0,0,4.835244439546628
39,4,6,0,0,4.835244439546624
40,4,7,0,0,1.465653338193505e-29
41,4,8,0,0,3.17320636115022
42,4,9,0,0,5.761655462921521
43,4,10,0,0,5.795689336828574
44,4,11,0,0,5.761655462921519
45,5,6,0,0,2.4291001667516654e-29
46,5,7,0,0,4.835244439546624
47,5,8,0,0,4.352315805196609
48,5,9,0,0,3.980061440005009
49,5,10,0,0,3.5459272333196417
50,5,11,0,0,3.980061440005008
51,6,7,0,0,4.83524443954662
52,6,8,0,0,4.3523158051966035
53,6,9,0,0,3.980061440005008
54,6,10,0,0,3.5459272333196408
55,6,11,0,0,3.980061440005008
56,7,8,0,0,3.1732063611502195
57,7,9,0,0,5.761655462921517
58,7,10,0,0,5.795689336828574
59,7,11,0,0,5.761655462921518
60,8,9,0,0,5.476009902497358
61,8,10,0,0,5.157608677610197
62,8,11,0,0,5.476009902497357
63,9,10,0,0,2.735865391245681
64,9,11,0,0,7.238138006309114e-31
65,10,11,0,0,2.7358653912456803
66,0,1,0,1,4.697085345234199
67,0,2,0,1,3.2253304152028406
68,0,3,0,1,3.7928419695106763
69,0,4,0,1,5.192912521670669
70,0,5,0,1,3.953272285559388
71,0,6,0,1,3.9532722855593923
72,0,7,0,1,5.192912521670667
73,0,8,0,1,4.830988741791993
74,0,9,0,1,3.179545852323147
75,0,10,0,1,3.1795458523231463
76,0,11,0,1,3.1795458523231463
77,1,2,0,1,4.771117562576695
78,1,3,0,1,4.984569224041774
79,1,4,0,1,4.9752883467678926
80,1,5,0,1,5.274681465081389
81,1,6,0,1,5.274681465081391
82,1,7,0,1,4.975288346767893
83,1,8,0,1,5.615781833359883
84,1,9,0,1,4.92748656456389
85,1,10,0,1,4.927486564563891
86,1,11,0,1,4.927486564563888
87,2,3,0,1,3.7928419695106776
88,2,4,0,1,5.192912521670669
89,2,5,0,1,3.9532722855593887
90,2,6,0,1,3.953272285559394
91,2,7,0,1,5.192912521670669
92,2,8,0,1,4.830988741791993
93,2,9,0,1,3.1795458523231455
94,2,10,0,1,3.179545852323146
95,2,11,0,1,3.179545852323145
96,3,4,0,1,5.213554294678071
97,3,5,0,1,3.4304247412334474
98,3,6,0,1,3.4304247412334474
99,3,7,0,1,5.2135542946780715
100,3,8,0,1,5.798102844107877
101,3,9,0,1,3.9800614400050063
102,3,10,0,1,3.980061440005007
103,3,11,0,1,3.9800614400050063
104,4,5,0,1,4.535541198550064
105,4,6,0,1,4.535541198550066
106,4,7,0,1,3.8021413110395517
107,4,8,0,1,3.5163273694476587
108,4,9,0,1,5.795689336828574
109,4,10,0,1,5.795689336828574
110,4,11,0,1,5.795689336828573
111,5,6,0,1,3.4048799799892393
112,5,7,0,1,4.558908245767254
113,5,8,0,1,5.833910927711727
114,5,9,0,1,3.5459272333196403
115,5,10,0,1,3.5459272333196417
116,5,11,0,1,3.5459272333196408
117,6,7,0,1,4.558908245767254
118,6,8,0,1,5.833910927711722
119,6,9,0,1,3.54592723331964
120,6,10,0,1,3.5459272333196408
121,6,11,0,1,3.5459272333196403
122,7,8,0,1,3.516327369447658
123,7,9,0,1,5.795689336828573
124,7,10,0,1,5.795689336828574
125,7,11,0,1,5.795689336828573
126,8,9,0,1,5.157608677610197
127,8,10,0,1,5.157608677610197
128,8,11,0,1,5.157608677610195
129,9,10,0,1,2.735865391245681
130,9,11,0,1,2.7358653912456803
131,10,11,0,1,2.115757946601109e-30
132,0,1,0,2,3.0922789548594927e-30
133,0,2,0,2,4.9744137912294715
134,0,3,0,2,5.447273493368106
135,0,4,0,2,4.211694476157284
136,0,5,0,2,4.21137262822394
137,0,6,0,2,5.153990163577543
138,0,7,0,2,4.21169447615728
139,0,8,0,2,4.675510978761289
140,0,9,0,2,5.46371685091679
141,0,10,0,2,4.675510978761286
142,0,11,0,2,5.09655880390027
143,1,2,0,2,4.62112034527553
144,1,3,0,2,3.1362944542388784
145,1,4,0,2,5.180178493120817
146,1,5,0,2,3.9699874464457725
147,1,6,0,2,4.753882551695131
148,1,7,0,2,5.180178493120818
149,1,8,0,2,3.830556338317555
150,1,9,0,2,4.098775331163031
151,1,10,0,2,3.8305563383175536
152,1,11,0,2,4.05421327956441
153,2,3,0,2,5.447273493368103
154,2,4,0,2,4.211694476157283
155,2,5,0,2,4.211372628223935
156,2,6,0,2,5.15399016357754
157,2,7,0,2,4.2116944761572785
158,2,8,0,2,4.675510978761285
159,2,9,0,2,5.463716850916791
160,2,10,0,2,4.675510978761283
161,2,11,0,2,5.09655880390027
162,3,4,0,2,2.673032721371625
163,3,5,0,2,5.145397373141037
164,3,6,0,2,5.180178493120816
165,3,7,0,2,2.6730327213716256
166,3,8,0,2,5.080956968434991
167,3,9,0,2,5.164401309776934
168,3,10,0,2,5.08095696843499
169,3,11,0,2,4.352315805196604
170,4,5,0,2,5.239073317369305
171,4,6,0,2,3.1362944542388775
172,4,7,0,2,4.835244439546625
173,4,8,0,2,5.285097720239475
174,4,9,0,2,4.400171656442454
175,4,10,0,2,5.285097720239473
176,4,11,0,2,4.326233979683094
177,5,6,0,2,5.215769748819382
178,5,7,0,2,2.662182853512869e-29
179,5,8,0,2,5.164401309776931
180,5,9,0,2,5.080956968434991
181,5,10,0,2,5.16440130977693
182,5,11,0,2,4.821406707193168
183,6,7,0,2,2.769438342365751e-30
184,6,8,0,2,5.164401309776934
185,6,9,0,2,5.08095696843499
186,6,10,0,2,5.164401309776931
187,6,11,0,2,4.821406707193167
188,7,8,0,2,5.285097720239469
189,7,9,0,2,4.400171656442453
190,7,10,0,2,5.285097720239468
191,7,11,0,2,4.326233979683089
192,8,9,0,2,2.2389811718827195
193,8,10,0,2,5.641306715200665
194,8,11,0,2,3.8559343573349403
195,9,10,0,2,5.887819143079921
196,9,11,0,2,5.157608677610192
197,10,11,0,2,5.476009902497357
198,0,1,0,3,3.2253304152028397
199,0,2,0,3,4.863677920777572
200,0,3,0,3,5.118060352065608
201,0,4,0,3,3.9532722855593905
202,0,5,0,3,4.980658687349727
203,0,6,0,3,5.274852915358548
204,0,7,0,3,3.953272285559395
205,0,8,0,3,5.554220340369639
206,0,9,0,3,5.094157493543443
207,0,10,0,3,5.554220340369639
208,0,11,0,3,5.702316857299002
209,1,2,0,3,5.119943440944841
210,1,3,0,3,3.2657881363100607
211,1,4,0,3,5.274681465081391
212,1,5,0,3,3.170555674743777
213,1,6,0,3,4.067935910766672
214,1,7,0,3,5.274681465081392
215,1,8,0,3,3.0554164793323255
216,1,9,0,3,5.64779224153078
217,1,10,0,3,3.055416479332325
218,1,11,0,3,3.9853190923861135
219,2,3,0,3,5.11806035206561
220,2,4,0,3,3.9532722855593914
221,2,5,0,3,4.980658687349727
222,2,6,0,3,5.274852915358549
223,2,7,0,3,3.9532722855593967
224,2,8,0,3,5.554220340369639
