,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,3.190632202703544
4,0,5,3.1906322027035445
5,0,6,3.1906322027035454
6,0,7,3.190632202703545
7,0,8,3.179545852323145
8,0,9,3.179545852323147
9,0,10,3.1795458523231463
10,0,11,3.1795458523231463
11,1,2,0.0
12,1,3,0.0
13,1,4,3.1705556747437784
14,1,5,3.170555674743777
15,1,6,3.170555674743778
16,1,7,3.170555674743777
17,1,8,3.055416479332325
18,1,9,3.0554164793323246
19,1,10,3.055416479332325
20,1,11,3.0554164793323237
21,2,3,0.0
22,2,4,3.190632202703545
23,2,5,3.1906322027035454
24,2,6,3.1906322027035463
25,2,7,3.190632202703546
26,2,8,3.179545852323145
27,2,9,3.179545852323145
28,2,10,3.179545852323146
29,2,11,3.179545852323145
30,3,4,2.673032721371625
31,3,5,2.673032721371624
32,3,6,2.6730327213716247
33,3,7,2.6730327213716256
34,3,8,3.3557665201153988
35,3,9,3.3557665201154
36,3,10,3.3557665201153988
37,3,11,3.355766520115398
38,4,5,0.0
39,4,6,0.0
40,4,7,0.0
41,4,8,3.17320636115022
42,4,9,3.1732063611502213
43,4,10,3.1732063611502195
44,4,11,3.1732063611502177
45,5,6,0.0
46,5,7,0.0
47,5,8,3.3557665201154028
48,5,9,3.355766520115403
49,5,10,3.355766520115404
50,5,11,3.3557665201154028
51,6,7,0.0
52,6,8,3.3557665201153988
53,6,9,3.355766520115401
54,6,10,3.355766520115399
55,6,11,3.3557665201153988
56,7,8,3.1732063611502195
57,7,9,3.1732063611502213
58,7,10,3.1732063611502186
59,7,11,3.1732063611502177
60,8,9,0.0
61,8,10,0.0
62,8,11,0.0
63,9,10,2.735865391245681
64,9,11,0.0
65,10,11,0.0
