,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.569472357793613
1,0,2,0,0,5.59130230089231
2,0,3,0,0,1.1285076198108472
3,0,4,0,0,5.569472357793612
4,0,5,0,0,1.252298011354047e-30
5,0,6,0,0,1.1285076198108484
6,0,7,0,0,5.59130230089231
7,0,8,0,0,5.591302300892312
8,0,9,0,0,5.591302300892313
9,1,2,0,0,5.437493655983055
10,1,3,0,0,5.480348283388623
11,1,4,0,0,2.0311090639561654e-30
12,1,5,0,0,5.569472357793613
13,1,6,0,0,5.455949539697338
14,1,7,0,0,5.437493655983056
15,1,8,0,0,5.437493655983055
16,1,9,0,0,5.437493655983055
17,2,3,0,0,4.224423485810701
18,2,4,0,0,5.437493655983054
19,2,5,0,0,5.59130230089231
20,2,6,0,0,5.468833890956247
21,2,7,0,0,4.036482159511538e-30
22,2,8,0,0,3.7742478300913395e-30
23,2,9,0,0,4.2835672990737275e-30
24,3,4,0,0,5.480348283388623
25,3,5,0,0,1.1285076198108475
26,3,6,0,0,1.7332838032178732
27,3,7,0,0,4.2244234858107035
28,3,8,0,0,4.224423485810701
29,3,9,0,0,4.2244234858107035
30,4,5,0,0,5.569472357793613
31,4,6,0,0,5.455949539697337
32,4,7,0,0,5.437493655983055
33,4,8,0,0,5.437493655983055
34,4,9,0,0,5.437493655983055
35,5,6,0,0,1.1285076198108481
36,5,7,0,0,5.591302300892309
37,5,8,0,0,5.591302300892311
38,5,9,0,0,5.591302300892311
39,6,7,0,0,5.4688338909562475
40,6,8,0,0,5.468833890956247
41,6,9,0,0,5.4688338909562475
42,7,8,0,0,1.352524135178877e-29
43,7,9,0,0,1.683233590637711e-30
44,8,9,0,0,1.2946569437316567e-29
45,0,1,0,1,5.52681201296169
46,0,2,0,1,5.588477714487925
47,0,3,0,1,1.1285076198108477
48,0,4,0,1,5.526812012961691
49,0,5,0,1,1.5549491478874812e-30
50,0,6,0,1,1.1285076198108486
51,0,7,0,1,5.588477714487926
52,0,8,0,1,5.588477714487927
