,isite_i,isite_j,distance
0,0,1,1.1067285354322307
1,0,2,1.10672853543223
2,0,3,1.1067285354322298
3,0,4,1.106728535432229
4,0,5,0.0
5,0,6,1.1067285354322294
6,0,7,1.10672853543223
7,0,8,1.1067285354322305
8,0,9,1.106728535432231
9,1,2,0.0
10,1,3,0.0
11,1,4,0.0
12,1,5,1.1412576381761663
13,1,6,0.0
14,1,7,0.0
15,1,8,0.0
16,1,9,0.0
17,2,3,0.0
18,2,4,0.0
19,2,5,1.1118306152997188
20,2,6,0.0
21,2,7,0.0
22,2,8,0.0
23,2,9,0.0
24,3,4,0.0
25,3,5,1.1285076198108472
26,3,6,0.0
27,3,7,0.0
28,3,8,0.0
29,3,9,0.0
30,4,5,1.1412576381761668
31,4,6,0.0
32,4,7,0.0
33,4,8,0.0
34,4,9,0.0
35,5,6,1.1067285354322296
36,5,7,1.10672853543223
37,5,8,1.1067285354322305
38,5,9,1.1067285354322307
39,6,7,0.0
40,6,8,0.0
41,6,9,0.0
42,7,8,0.0
43,7,9,0.0
44,8,9,0.0
