,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.087988683277886
1,0,2,0,0,5.4384883973093885
2,0,3,0,0,5.438488398816472
3,0,4,0,0,5.087988677620806
4,0,5,0,0,5.08565544781945
5,1,2,0,0,2.9935367024067503
6,1,3,0,0,2.993536704058455
7,1,4,0,0,5.829435082006591e-16
8,1,5,0,0,5.085655760743012
9,2,3,0,0,2.727272415770541e-17
10,2,4,0,0,2.9935367057200932
11,2,5,0,0,3.6083478872964156
12,3,4,0,0,2.9935367073717973
13,3,5,0,0,3.6083478845198393
14,4,5,0,0,5.085655756254159
15,0,1,0,1,5.42030128849724
16,0,2,0,1,5.064763629116173
17,0,3,0,1,5.064763630960855
18,0,4,0,1,5.420301295163916
19,0,5,0,1,2.924375682122168
20,1,2,0,1,5.413898378707015
21,1,3,0,1,5.413898380272048
22,1,4,0,1,6.321101295563231
23,1,5,0,1,5.010132081010986
24,2,3,0,1,6.321101310135148
25,2,4,0,1,5.41389837842457
26,2,5,0,1,6.403900918214646
27,3,4,0,1,5.413898379989602
28,3,5,0,1,6.403900922406114
29,4,5,0,1,5.0101321039843025
30,0,1,0,2,5.085655461136103
31,0,2,0,2,5.0879886735124495
32,0,3,0,2,6.371599262662105
33,0,4,0,2,5.085655456985138
34,0,5,0,2,5.0879886717644185
35,1,2,0,2,4.2284769030648063e-16
36,1,3,0,2,4.983815352412871
37,1,4,0,2,5.085655765371953
38,1,5,0,2,6.622993146403937e-16
39,2,3,0,2,4.983815356517706
40,2,4,0,2,3.6083478699424925
41,2,5,0,2,2.993536705340873
42,3,4,0,2,3.608347867165916
43,3,5,0,2,2.993536706992579
44,4,5,0,2,2.8897496276376874e-16
45,0,1,0,3,2.9243756862356856
46,0,2,0,3,5.420301296709377
47,0,3,0,3,6.41235192895559
48,0,4,0,3,2.9243756922567385
49,0,5,0,3,5.420301303445357
50,1,2,0,3,6.321101297260293
51,1,3,0,3,2.9681669162176174
52,1,4,0,3,5.01013205372418
53,1,5,0,3,6.321101303908398
54,2,3,0,3,2.968166907656507
55,2,4,0,3,6.403900927056687
56,2,5,0,3,5.4138983877222655
57,3,4,0,3,6.403900931248157
58,3,5,0,3,5.413898389287302
59,4,5,0,3,6.32110131427536
60,0,1,0,4,9.802751644467447e-16
61,0,2,0,4,6.371599257937141
62,0,3,0,4,5.087988675340076
63,0,4,0,4,3.7465156155083035
64,0,5,0,4,3.439985916009641e-17
65,1,2,0,4,4.98381535046353
66,1,3,0,4,4.0805130759458236e-16
67,1,4,0,4,5.438488404952704
68,1,5,0,4,5.087988686526682
69,2,3,0,4,2.993536704725604
70,2,4,0,4,5.087988685265642
71,2,5,0,4,5.4384884014741335
72,3,4,0,4,5.087988687093268
73,3,5,0,4,5.438488402981219
74,4,5,0,4,5.0879886808696
75,0,1,0,5,3.746515628991133
76,0,2,0,5,6.412351925532775
77,0,3,0,5,5.420301298248873
78,0,4,0,5,6.369059416280955e-16
79,0,5,0,5,3.439985925138908e-17
80,1,2,0,5,2.9681669182633854
81,1,3,0,5,6.321101300843225
82,1,4,0,5,5.08798869503108
83,1,5,0,5,5.087988686526682
84,2,3,0,5,5.413898384901205
85,2,4,0,5,5.438488403821637
86,2,5,0,5,5.4384884014741335
87,3,4,0,5,5.43848840532872
88,3,5,0,5,5.438488402981219
89,4,5,0,5,5.0879886808696
90,0,1,0,6,6.371599252690249
91,0,2,0,6,4.632726823001438e-17
92,0,3,0,6,2.917170412572319
93,0,4,0,6,6.371599254663398
94,0,5,0,6,6.371599264555475
95,1,2,0,6,5.087988684813371
96,1,3,0,6,3.6083478795409474
97,1,4,0,6,4.983815349789681
98,1,5,0,6,4.983815353739542
99,2,3,0,6,5.085655749439222
100,2,4,0,6,4.98381535389452
101,2,5,0,6,4.98381535784438
102,3,4,0,6,4.983815357401144
103,3,5,0,6,4.983815361351005
104,4,5,0,6,4.983815350861245
105,0,1,0,7,6.412351924977734
106,0,2,0,7,3.746515596621761
107,0,3,0,7,5.0812733163322115
108,0,4,0,7,6.412351919692639
109,0,5,0,7,6.412351930462281
110,1,2,0,7,5.438488399422705
111,1,3,0,7,6.403900917559431
112,1,4,0,7,2.968166921643188
113,1,5,0,7,2.968166918157456
114,2,3,0,7,5.010132104947977
115,2,4,0,7,2.9681669130820785
116,2,5,0,7,2.968166909596346
117,3,4,0,7,2.9681669148668237
118,3,5,0,7,2.9681669113810907
119,4,5,0,7,2.9681669011792993
120,0,1,0,8,5.438488398440451
121,0,2,0,8,2.917170413024831
122,0,3,0,8,3.7465155962919936
123,0,4,0,8,5.438488401988853
124,0,5,0,8,2.9171704150125475
125,1,2,0,8,3.608347865593939
126,1,3,0,8,5.438488400929789
127,1,4,0,8,2.993536705052944
128,1,5,0,8,3.6083478687996013
129,2,3,0,8,5.087988679484868
130,2,4,0,8,2.5058060733969006e-16
131,2,5,0,8,5.085655745043188
132,3,4,0,8,2.4667340176715897e-16
133,3,5,0,8,5.085655748616513
134,4,5,0,8,3.608347901315789
135,0,1,0,9,5.064763627099133
136,0,2,0,9,5.081273310651795
137,0,3,0,9,4.579299113850404e-17
138,0,4,0,9,5.06476362536388
139,0,5,0,9,5.081273314152171
140,1,2,0,9,6.403900917738182
141,1,3,0,9,5.087988689250302
142,1,4,0,9,5.413898373795411
143,1,5,0,9,6.403900918807133
144,2,3,0,9,5.438488399798719
145,2,4,0,9,6.321101307366403
146,2,5,0,9,5.010132102713989
147,3,4,0,9,6.321101309413054
148,3,5,0,9,5.010132104674731
149,4,5,0,9,6.403900923930082
150,0,1,0,10,2.9171704103738705
151,0,2,0,10,5.085655446287857
152,0,3,0,10,5.085655450478412
153,0,4,0,10,2.917170418990775
154,0,5,0,10,5.438488401567822
155,1,2,0,10,5.085655762604262
156,1,3,0,10,5.0856557651390455
157,1,4,0,10,3.6083478514456795
158,1,5,0,10,2.9935367046737285
159,2,3,0,10,3.6083478980377617
160,2,4,0,10,5.085655749672131
161,2,5,0,10,4.3798740041695776e-17
162,3,4,0,10,5.0856557532454545
163,3,5,0,10,4.4877319456942425e-17
164,4,5,0,10,2.9935367079870705
165,0,1,0,11,5.081273321730941
166,0,2,0,11,2.9243756832916934
167,0,3,0,11,2.9243756802185814
168,0,4,0,11,5.08127331953923
169,0,5,0,11,5.064763630455193
170,1,2,0,11,5.010132072252514
171,1,3,0,11,5.010132083244976
172,1,4,0,11,6.403900927649174
173,1,5,0,11,5.41389838309311
174,2,3,0,11,6.403900916966943
175,2,4,0,11,5.010132075427179
176,2,5,0,11,6.321101315711571
177,3,4,0,11,5.010132077387922
178,3,5,0,11,6.321101317758219
179,4,5,0,11,5.413898379991146
