,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.6293890957226793
1,0,2,0,0,2.3240398737559187
2,0,3,0,0,2.3240398687206287
3,0,4,0,0,3.1967150923197627
4,0,5,0,0,2.493489647686453
5,0,6,0,0,2.6204668840916416
6,0,7,0,0,4.3410357135841083e-16
7,0,8,0,0,2.8685055484671387
8,0,9,0,0,2.0968663538776906
9,0,10,0,0,3.7714114114907247
10,0,11,0,0,1.962251613215648
11,1,2,0,0,2.862437971643186
12,1,3,0,0,2.862437974018926
13,1,4,0,0,1.968684594129018
14,1,5,0,0,2.163466102364248
15,1,6,0,0,2.6293890957226793
16,1,7,0,0,2.629389102313925
17,1,8,0,0,2.3160642397723525
18,1,9,0,0,2.3160642302880685
19,1,10,0,0,1.5793093725726122
20,1,11,0,0,1.9686845889268478
21,2,3,0,0,3.796075489738916e-16
22,2,4,0,0,2.916548314629082
23,2,5,0,0,2.8991731750923275
24,2,6,0,0,2.1049931901338303
25,2,7,0,0,2.3240398687145056
26,2,8,0,0,3.9773301707435738
27,2,9,0,0,2.8610764860194347
28,2,10,0,0,2.2295313198546887
29,2,11,0,0,2.6543348290848856
30,3,4,0,0,2.9165483088766155
31,3,5,0,0,2.89917317884265
32,3,6,0,0,2.104993183620763
33,3,7,0,0,2.3240398636792143
34,3,8,0,0,3.9773301857509415
35,3,9,0,0,2.861076477752441
36,3,10,0,0,2.229531312701567
37,3,11,0,0,2.654334817933713
38,4,5,0,0,3.9430758644034603
39,4,6,0,0,1.9622516223559638
40,4,7,0,0,3.196715100487583
41,4,8,0,0,2.6880334571817275
42,4,9,0,0,2.6566838729222266
43,4,10,0,0,2.3332641021513023
44,4,11,0,0,1.918186658626578
45,5,6,0,0,3.247331927929446
46,5,7,0,0,2.4934896344574775
47,5,8,0,0,2.693414857385988
48,5,9,0,0,2.9594611798631436
49,5,10,0,0,3.3582754514361737
50,5,11,0,0,3.3781345976410955
51,6,7,0,0,2.6204668862989347
52,6,8,0,0,2.096866365067274
53,6,9,0,0,2.8685055535190873
54,6,10,0,0,1.576320515572679
55,6,11,0,0,3.1967150830591358
56,7,8,0,0,2.8685055434464117
57,7,9,0,0,2.0968663454033067
58,7,10,0,0,3.771411401970538
59,7,11,0,0,1.9622516224082116
60,8,9,0,0,1.7653084362530203
61,8,10,0,0,2.941822271112002
62,8,11,0,0,2.656683870779576
63,9,10,0,0,2.6722339270193447
64,9,11,0,0,2.6880334555333194
65,10,11,0,0,3.348299492445803
