,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,1.542447604133697e-06
1,0,2,0,0,5.580941259731753
2,0,3,0,0,5.579916870243402
3,0,4,0,0,5.579916875419461
4,0,5,0,0,5.761614725486838
5,0,6,0,0,5.050851376135106
6,0,7,0,0,5.0508513785226725
7,0,8,0,0,5.050889502060065
8,0,9,0,0,5.0508895024623985
9,1,2,0,0,5.58196596147978
10,1,3,0,0,5.580941249374505
11,1,4,0,0,5.580941254559996
12,1,5,0,0,5.761743185991065
13,1,6,0,0,5.050874971456003
14,1,7,0,0,5.050874974611834
15,1,8,0,0,5.050911442532855
16,1,9,0,0,5.05091144293713
17,2,3,0,0,1.5424772054851316e-06
18,2,4,0,0,1.5424687280684658e-06
19,2,5,0,0,5.761743182857794
20,2,6,0,0,5.050911447429536
21,2,7,0,0,5.050911446005393
22,2,8,0,0,5.050874977683787
23,2,9,0,0,5.050874979441034
24,3,4,0,0,6.008462427845682e-17
25,3,5,0,0,5.761614726896905
26,3,6,0,0,5.05088950014196
27,3,7,0,0,5.050889500302222
28,3,8,0,0,5.05085137633284
29,3,9,0,0,5.050851378091296
30,4,5,0,0,5.76161471866566
31,4,6,0,0,5.0508895011714765
32,4,7,0,0,5.0508895013317385
33,4,8,0,0,5.050851377373234
34,4,9,0,0,5.050851377541969
35,5,6,0,0,3.9346411421534846
36,5,7,0,0,3.93464114380708
37,5,8,0,0,3.9346411426487853
38,5,9,0,0,3.9346411382216426
39,6,7,0,0,4.232121017488834e-17
40,6,8,0,0,2.247820225618145e-06
41,6,9,0,0,2.2478158198542423e-06
42,7,8,0,0,2.2478108375446927e-06
43,7,9,0,0,2.2478064317815307e-06
44,8,9,0,0,2.868680383352195e-17
45,0,1,0,1,3.239318598979136
46,0,2,0,1,5.75280786037527
47,0,3,0,1,5.753619945133666
48,0,4,0,1,5.753619940547805
49,0,5,0,1,5.760693097355595
50,0,6,0,1,3.9390066154381005
51,0,7,0,1,3.9390066207504617
52,0,8,0,1,3.9389730306191546
53,0,9,0,1,3.9389730305913795
54,1,2,0,1,5.7527649225072395
55,1,3,0,1,5.753577683891613
56,1,4,0,1,5.753577679295599
57,1,5,0,1,5.7608220782057025
58,1,6,0,1,3.940863202800544
59,1,7,0,1,3.9408632081156
60,1,8,0,1,3.9408302128527652
61,1,9,0,1,3.9408302128239456
62,2,3,0,1,3.2395428815049394
