,isite_i,isite_j,distance
0,0,1,0.0
1,0,2,0.0
2,0,3,0.0
3,0,4,0.0
4,0,5,0.0
5,0,6,3.939006615438101
6,0,7,3.9390066191211313
7,0,8,3.9389730299004455
8,0,9,3.9389730263433167
9,1,2,0.0
10,1,3,0.0
11,1,4,0.0
12,1,5,0.0
13,1,6,3.940863202800544
14,1,7,3.9408632064830544
15,1,8,3.940830212130969
16,1,9,3.940830208572857
17,2,3,0.0
18,2,4,0.0
19,2,5,0.0
20,2,6,3.9408301984304495
21,2,7,3.940830201988564
22,2,8,3.9408631963463177
23,2,9,3.9408631926638096
24,3,4,0.0
25,3,5,0.0
26,3,6,3.9389730023669376
27,3,7,3.938973005924068
28,3,8,3.939006595157592
29,3,9,3.939006591474564
30,4,5,0.0
31,4,6,3.9389730012619206
32,4,7,3.9389730048190503
33,4,8,3.939006594045028
34,4,9,3.9390065903619993
35,5,6,3.934641138221642
36,5,7,3.934641141839596
37,5,8,3.934641141839598
38,5,9,3.934641138221642
39,6,7,0.0
40,6,8,0.0
41,6,9,0.0
42,7,8,0.0
43,7,9,0.0
44,8,9,0.0
