,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.909520127012892
1,0,2,0,0,5.613111113782595
2,0,3,0,0,5.388084498457678
3,0,4,0,0,5.201786769560091
4,0,5,0,0,1.5448294123314539
5,0,6,0,0,3.629721727511491
6,0,7,0,0,3.692254597966261
7,0,8,0,0,5.722436358047741
8,0,9,0,0,5.722436373082825
9,0,10,0,0,2.778038406883288
10,0,11,0,0,2.859390840943844
11,0,12,0,0,1.1218500821704687
12,0,13,0,0,3.581276387579643
13,1,2,0,0,5.598310443801961
14,1,3,0,0,5.4112935467229235
15,1,4,0,0,1.4847438620587075
16,1,5,0,0,5.2195211703036195
17,1,6,0,0,2.743040148182475
18,1,7,0,0,3.691288254073738
19,1,8,0,0,2.507611038756936
20,1,9,0,0,2.507611038053017
21,1,10,0,0,4.1662560922100775
22,1,11,0,0,5.906849441442036
23,1,12,0,0,3.580383262535273
24,1,13,0,0,1.1256816162418986
25,2,3,0,0,1.5679277121634903
26,2,4,0,0,5.976824917369079
27,2,5,0,0,6.008799228880264
28,2,6,0,0,4.701250761043666
29,2,7,0,0,3.3550520917122237
30,2,8,0,0,3.3712534239924494
31,2,9,0,0,3.3712534266203793
32,2,10,0,0,4.318902484947779
33,2,11,0,0,3.5420492904215983
34,2,12,0,0,4.876601668484535
35,2,13,0,0,4.877592838140348
36,3,4,0,0,5.604030138331043
37,3,5,0,0,5.633188954841458
38,3,6,0,0,4.673576801281367
39,3,7,0,0,3.679112675524738
40,3,8,0,0,3.844693580631372
41,3,9,0,0,3.8446935880626394
42,3,10,0,0,3.509356672403172
43,3,11,0,0,4.281272204689191
44,3,12,0,0,4.521537273936722
45,3,13,0,0,4.524585806938464
46,4,5,0,0,5.287548596638192
47,4,6,0,0,2.7491004410248627
48,4,7,0,0,4.2862171555236515
49,4,8,0,0,2.872531965209906
50,4,9,0,0,2.872531962828223
51,4,10,0,0,4.47013154097999
52,4,11,0,0,6.442645524342548
53,4,12,0,0,4.095406832914426
54,4,13,0,0,0.9021435693575928
55,5,6,0,0,4.100437758833943
56,5,7,0,0,4.3044589689457595
57,5,8,0,0,6.459692034404383
58,5,9,0,0,6.459692050009228
59,5,10,0,0,4.23131689869691
60,5,11,0,0,3.260324779928105
61,5,12,0,0,0.9871651592577226
62,5,13,0,0,4.115447449125978
63,6,7,0,0,0.9399914623409649
64,6,8,0,0,1.803808030086058
65,6,9,0,0,1.8038080327114603
66,6,10,0,0,2.2339610670947354
67,6,11,0,0,2.410583189470022
68,6,12,0,0,2.416474792839391
69,6,13,0,0,1.3464522265121546
70,7,8,0,0,1.8052998530466353
71,7,9,0,0,1.8052998556004487
72,7,10,0,0,1.8902729018671893
73,7,11,0,0,1.544071207282957
74,7,12,0,0,2.4529065744331646
75,7,13,0,0,2.432279769665768
76,8,9,0,0,1.2121211837968674e-16
77,8,10,0,0,3.470273579992263
78,8,11,0,0,4.266489434658091
79,8,12,0,0,4.181597115685055
80,8,13,0,0,2.039450049747385
81,9,10,0,0,3.4702735839159167
82,9,11,0,0,4.266489441412757
83,9,12,0,0,4.181597125270461
84,9,13,0,0,2.039450049910932
85,10,11,0,0,2.242834075177872
86,10,12,0,0,2.4128651572824467
87,10,13,0,0,2.8981961106380014
88,11,12,0,0,2.472356060847565
89,11,13,0,0,4.3449352976297675
90,12,13,0,0,2.298233499924307
91,0,1,0,1,4.892846865011792
92,0,2,0,1,5.336747901777607
93,0,3,0,1,5.5958900264633
94,0,4,0,1,5.752943087235324
95,0,5,0,1,4.883366778265741
96,0,6,0,1,3.6962347643025186
97,0,7,0,1,3.6432044755752786
98,0,8,0,1,3.5011332886585973
99,0,9,0,1,3.501133290903146
