,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.456018276177401e-31
1,0,2,0,0,3.7917427341613705
2,0,3,0,0,6.129382934887964e-30
3,0,4,0,0,2.712164253453665
4,0,5,0,0,5.972511195807279
5,0,6,0,0,5.585848573080918
6,0,7,0,0,4.232991053864791
7,0,8,0,0,5.571221446820669
8,0,9,0,0,5.570784442754632
9,1,2,0,0,3.7917427341613705
10,1,3,0,0,6.005749904760997e-30
11,1,4,0,0,2.7121642534536656
12,1,5,0,0,5.9725111958072805
13,1,6,0,0,5.585848573080917
14,1,7,0,0,4.232991053864791
15,1,8,0,0,5.571221446820669
16,1,9,0,0,5.570784442754632
17,2,3,0,0,3.79174273416137
18,2,4,0,0,5.9802049035933456
19,2,5,0,0,2.7117606958344282
20,2,6,0,0,6.930944497512046
21,2,7,0,0,0.729265567855139
22,2,8,0,0,5.581527677162611
23,2,9,0,0,5.579985677873735
24,3,4,0,0,2.7121642534536647
25,3,5,0,0,5.9725111958072805
26,3,6,0,0,5.585848573080918
27,3,7,0,0,4.232991053864791
28,3,8,0,0,5.571221446820667
29,3,9,0,0,5.570784442754629
30,4,5,0,0,7.390371635866835
31,4,6,0,0,4.653420116285502
32,4,7,0,0,6.022587128523608
33,4,8,0,0,4.4458685756062275
34,4,9,0,0,4.446562829891079
35,5,6,0,0,7.390371635866832
36,5,7,0,0,2.002313825943348
37,5,8,0,0,4.4565537244735065
38,5,9,0,0,4.455352619984865
39,6,7,0,0,7.039154307111406
40,6,8,0,0,4.445868575606226
41,6,9,0,0,4.446562829891077
42,7,8,0,0,5.8756221854834925
43,7,9,0,0,5.874355718011136
44,8,9,0,0,1.7153773912798717e-06
45,0,1,0,1,7.098739552232598
46,0,2,0,1,7.0788752554696925
47,0,3,0,1,7.098739552232601
48,0,4,0,1,5.585848573080921
49,0,5,0,1,6.91477924715703
50,0,6,0,1,2.7121642534536656
51,0,7,0,1,7.209630226316309
52,0,8,0,1,5.571221446820668
53,0,9,0,1,5.570784442754631
54,1,2,0,1,7.078875255469693
55,1,3,0,1,7.0987395522325984
56,1,4,0,1,5.585848573080919
57,1,5,0,1,6.91477924715703
58,1,6,0,1,2.712164253453666
59,1,7,0,1,7.209630226316307
60,1,8,0,1,5.571221446820668
61,1,9,0,1,5.57078444275463
62,2,3,0,1,7.08351239251622
63,2,4,0,1,6.930944497512046
64,2,5,0,1,5.589155163138152
65,2,6,0,1,5.9802049035933456
66,2,7,0,1,7.213458664070869
67,2,8,0,1,5.581527677162611
68,2,9,0,1,5.579985677873733
69,3,4,0,1,5.585848573080918
70,3,5,0,1,6.914779247157027
71,3,6,0,1,2.7121642534536643
72,3,7,0,1,7.209630226316308
73,3,8,0,1,5.571221446820665
74,3,9,0,1,5.570784442754628
75,4,5,0,1,7.396854656500558
76,4,6,0,1,4.127874830561896e-30
77,4,7,0,1,7.055169605440615
78,4,8,0,1,4.4458685756062275
79,4,9,0,1,4.446562829891079
80,5,6,0,1,7.390371635866833
81,5,7,0,1,6.020950740165759
82,5,8,0,1,4.456553724473507
83,5,9,0,1,4.455352619984865
84,6,7,0,1,6.035688500821032
85,6,8,0,1,4.445868575606225
86,6,9,0,1,4.446562829891076
87,7,8,0,1,5.875622185483492
88,7,9,0,1,5.874355718011135
89,8,9,0,1,1.7153773912796462e-06
90,0,1,0,2,5.5387726549854
