,isite_i,isite_j,pattern_i,pattern_j,distance
0,EDI_0,EDI_4,0,0,4.362764630581119
1,EDI_0,JBW_0,0,0,4.549764048184955
2,EDI_0,JBW_4,0,0,4.650093048150235
3,EDI_0,NPO_0,0,0,6.297747225518588
4,EDI_0,ABW_0,0,0,5.3441335656081845
5,EDI_0,BCT_0,0,0,3.891952808038985
6,EDI_0,DFT_0,0,0,6.001299176475259
7,EDI_0,NAB_0,0,0,4.589497756104111
8,EDI_0,NAB_1,0,0,4.439084355894466
9,EDI_0,SBN_0,0,0,5.746669190160138
10,EDI_0,SBN_6,0,0,4.878151750962669
11,EDI_0,THO_0,0,0,6.869005243755482
12,EDI_0,THO_4,0,0,5.945785106189504
13,EDI_0,THO_8,0,0,5.795765123221069
14,EDI_0,ATT_0,0,0,4.839800101610658
15,EDI_0,ATT_1,0,0,5.664267876988943
16,EDI_0,ATT_8,0,0,4.785037964393994
17,EDI_0,BIK_0,0,0,6.166695267001991
18,EDI_0,BIK_4,0,0,2.627831359982637
19,EDI_0,CAN_0,0,0,5.993153392523721
20,EDI_0,MVY_0,0,0,4.481313522351239
21,EDI_0,MVY_4,0,0,4.24084027985571
22,EDI_0,MVY_8,0,0,4.112605268951314
23,EDI_4,JBW_0,0,0,4.040456607904008
24,EDI_4,JBW_4,0,0,4.875454429648607
25,EDI_4,NPO_0,0,0,5.615566204398054
26,EDI_4,ABW_0,0,0,6.81151315693175
27,EDI_4,BCT_0,0,0,5.38690240544238
28,EDI_4,DFT_0,0,0,6.2365820465386115
29,EDI_4,NAB_0,0,0,5.844128660653673
30,EDI_4,NAB_1,0,0,2.454640104295711
31,EDI_4,SBN_0,0,0,1.6082949060594447
32,EDI_4,SBN_6,0,0,4.802413864874273
33,EDI_4,THO_0,0,0,5.530422954901117
34,EDI_4,THO_4,0,0,5.819169026268763
35,EDI_4,THO_8,0,0,6.220940753057476
36,EDI_4,ATT_0,0,0,8.512476842566338
37,EDI_4,ATT_1,0,0,8.51727100096015
38,EDI_4,ATT_8,0,0,5.750231792635956
39,EDI_4,BIK_0,0,0,6.564581432991056
40,EDI_4,BIK_4,0,0,2.1121776658272418
41,EDI_4,CAN_0,0,0,6.878104842880741
42,EDI_4,MVY_0,0,0,3.7335873477635904
43,EDI_4,MVY_4,0,0,3.757952810754255
44,EDI_4,MVY_8,0,0,3.9073505025998423
45,JBW_0,JBW_4,0,0,2.8347234373427086
46,JBW_0,NPO_0,0,0,3.7898128001375495
47,JBW_0,ABW_0,0,0,3.0907192128081262
48,JBW_0,BCT_0,0,0,4.118617735667863
49,JBW_0,DFT_0,0,0,3.637424058470732
50,JBW_0,NAB_0,0,0,6.632181181195765
51,JBW_0,NAB_1,0,0,4.063275836674545
52,JBW_0,SBN_0,0,0,4.169077867492182
53,JBW_0,SBN_6,0,0,5.085588034400899
54,JBW_0,THO_0,0,0,2.700446906890482
55,JBW_0,THO_4,0,0,4.191358748096925
56,JBW_0,THO_8,0,0,7.605513981485074
57,JBW_0,ATT_0,0,0,6.355527688399671
58,JBW_0,ATT_1,0,0,4.696965791721831
59,JBW_0,ATT_8,0,0,4.8330795329431595
60,JBW_0,BIK_0,0,0,4.286752155770071
61,JBW_0,BIK_4,0,0,3.7484334404376076
62,JBW_0,CAN_0,0,0,4.031988722502266
63,JBW_0,MVY_0,0,0,2.10241334492695
64,JBW_0,MVY_4,0,0,5.7697673086670935
65,JBW_0,MVY_8,0,0,4.787759668672422
66,JBW_4,NPO_0,0,0,3.7754493734524472
67,JBW_4,ABW_0,0,0,2.463680631851677
68,JBW_4,BCT_0,0,0,2.8515736848416084
69,JBW_4,DFT_0,0,0,2.790404439099284
70,JBW_4,NAB_0,0,0,4.849801135058276
71,JBW_4,NAB_1,0,0,4.427259009517075
72,JBW_4,SBN_0,0,0,4.864251054522946
73,JBW_4,SBN_6,0,0,2.117414186808293
74,JBW_4,THO_0,0,0,2.1146580478446166
75,JBW_4,THO_4,0,0,4.003702262497431
76,JBW_4,THO_8,0,0,4.906197484810553
77,JBW_4,ATT_0,0,0,5.214664572461238
78,JBW_4,ATT_1,0,0,3.9220779449444882
79,JBW_4,ATT_8,0,0,2.8537862337161743
80,JBW_4,BIK_0,0,0,2.0085945768187994
81,JBW_4,BIK_4,0,0,1.478336693003907
82,JBW_4,CAN_0,0,0,3.2568884827400906
83,JBW_4,MVY_0,0,0,2.896990117204935
84,JBW_4,MVY_4,0,0,5.167814156170724
85,JBW_4,MVY_8,0,0,4.569157702859399
86,NPO_0,ABW_0,0,0,4.565491010081151
87,NPO_0,BCT_0,0,0,2.2824647433597782
88,NPO_0,DFT_0,0,0,4.089274491045012
