,isite_i,isite_j,distance
0,ABW_0,ATT_0,4.646196875026623
1,ABW_0,ATT_1,1.9471245951797524
2,ABW_0,ATT_8,3.586191990436621
3,ABW_0,BCT_0,4.238010485640328
4,ABW_0,BIK_0,3.7322227383745337
5,ABW_0,BIK_4,3.9811660955773696
6,ABW_0,CAN_0,2.985741886471813
7,ABW_0,DFT_0,3.5236911866533904
8,ABW_0,MVY_0,4.588996196918875
9,ABW_0,MVY_4,4.82473822776058
10,ABW_0,MVY_8,4.5266869815349065
11,ABW_0,NAB_0,3.5584316784544057
12,ABW_0,NAB_1,5.844241014555717
13,ABW_0,SBN_0,6.263684067856386
14,ABW_0,SBN_6,4.447054053104551
15,ABW_0,THO_0,2.142355967926576
16,ABW_0,THO_4,2.8914327739307706
17,ABW_0,THO_8,4.4111300632585575
18,ATT_0,ATT_1,2.924795680906055
19,ATT_0,ATT_8,4.595274142156907
20,ATT_0,BIK_0,3.071880919642959
21,ATT_0,BIK_4,5.391263912904717
22,ATT_0,CAN_0,3.766605832611419
23,ATT_0,MVY_0,6.328901948337412
24,ATT_0,MVY_4,4.4569418199321165
25,ATT_0,MVY_8,4.3390283317808285
26,ATT_1,ATT_8,5.809314290669711
27,ATT_1,BIK_0,3.211272862378159
28,ATT_1,BIK_4,5.941762925416574
29,ATT_1,CAN_0,4.701623747663794
30,ATT_1,MVY_0,5.704035082651242
31,ATT_1,MVY_4,5.558303587932248
32,ATT_1,MVY_8,5.740151453523387
33,ATT_8,BIK_0,4.348900917605543
34,ATT_8,BIK_4,2.8422232578446254
35,ATT_8,CAN_0,1.4052725569820137
36,ATT_8,MVY_0,4.194624416108153
37,ATT_8,MVY_4,5.0593227974626505
38,ATT_8,MVY_8,5.579880047255108
39,BCT_0,ATT_0,3.1290743892551083
40,BCT_0,ATT_1,4.78204082467123
41,BCT_0,ATT_8,1.9448332757606956
42,BCT_0,BIK_0,1.8131106628365297
43,BCT_0,BIK_4,2.94558312605669
44,BCT_0,CAN_0,2.309638760021052
45,BCT_0,DFT_0,3.723452714459202
46,BCT_0,MVY_0,3.885073121986216
47,BCT_0,MVY_4,3.8456535791324815
48,BCT_0,MVY_8,4.177815757877377
49,BCT_0,NAB_0,2.8472860682836645
50,BCT_0,NAB_1,4.426214730522573
51,BCT_0,SBN_0,5.2575566754889005
52,BCT_0,SBN_6,3.146403268748514
53,BCT_0,THO_0,4.648759185866032
