,ABW_0,ACO_0,AFY_0,AFY_12,AFY_14,AFY_6,ATN_0,ATT_0,ATT_1,ATT_8,BCT_0,BIK_0,BIK_4,BRE_0,BRE_10,BRE_12,BRE_14,BRE_2,BRE_4,BRE_6,BRE_8,CAN_0,DFT_0,EDI_0,EDI_4,JBW_0,JBW_4,MVY_0,MVY_4,MVY_8,NAB_0,NAB_1,NPO_0,NSI_0,NSI_2,NSI_4,SBN_0,SBN_6,SFE_0,SFE_10,SFE_12,SFE_2,SFE_4,SFE_6,SFE_8,SOD_0,THO_0,THO_4,THO_8
ABW_0,0.0,4.614951493222904,6.661984154674703,5.398336337500148,5.374323451637927,6.633409996115426,4.96046169897868,4.885816882850528,1.9471245951797524,3.6299337391775546,4.307079937866205,3.7322227383745337,4.04658788541445,7.29177058353808,3.733573127485091,6.506139464159317,5.260506198777677,7.331095373704966,6.085792342319515,2.9347596269717497,4.939590302356169,2.985741886471813,3.532369872674852,5.501541813977472,7.029035050794652,3.312959143881768,2.463680631851677,4.804209849704241,5.055060696508981,4.988753071665499,3.989687828227888,5.997397475878943,5.0588545477386,5.589501642000966,3.963110685739057,1.9491276165950315,6.405633533601893,4.64197458518126,2.846398138303826,3.490311812955684,1.831598057031066,5.930478842402823,5.435313345330829,3.3742345209144835,5.754464177926119,4.622313754887131,2.142355967926576,2.94771489835044,4.747216438306746
ACO_0,4.614951493222904,0.0,5.519799407900213,6.475833455502807,0.8561298467446954,8.838221842333029,4.471257877597126,5.710712285670772,6.583160902973276,0.867085519927117,2.6778844921530114,5.031689760904799,4.184948569598467,4.181937651471155,2.673335474555337,5.847586284674961,5.13772875117945,4.181301339251948,3.9500354715666615,6.446538212367958,2.673335475197591,2.495202326719014,6.043227952383281,4.772642378707307,6.529781206414143,4.822392966284411,4.298072218896299,4.215146352214786,6.238743144396263,6.8115411269700825,5.281273653495597,5.026071375435552,3.735247281586563,4.033033367664616,2.0272030145017,4.709261339541163,6.094335385094142,3.1466218042423444,5.465387551415562,6.5148091412307405,5.239397579675648,5.5114958460122505,3.4561423962963884,4.648465318031487,4.17211256513928,3.756717134668182,5.700926095247423,6.79206061755373,6.595716032304066
AFY_0,6.661984154674703,5.519799407900213,0.0,2.779025440549003,5.333976497943169,5.415593267560814,5.21242510476462,2.758462067486097,5.488054239675291,5.8887647930409255,4.7749501585118175,6.652085265685543,5.865894766877043,3.324387916041028,5.663995441677724,5.899776908538899,5.539117757002225,4.112754075947533,6.129189105576256,6.865253851981338,6.177923726574775,5.9647612267466,6.114173308958853,4.325343694220257,7.949144982623962,8.545905280242675,7.407494879160137,7.564829937865205,5.254451596208498,5.167125548192121,4.893615320315333,7.344561269936044,6.763844988221518,4.467434353983967,5.008288228419528,6.358034873458726,7.999705828083165,7.029243652407562,6.855652726915811,6.310307933473884,6.688834895667065,3.6609887719775895,7.039296786321909,6.227344269839961,4.424028062052985,5.599135020476226,8.997499778445434,6.841028108572388,6.487894179124699
AFY_12,5.398336337500148,6.475833455502807,2.779025440549003,0.0,6.3800613816505205,5.32996691602475,3.090506114031922,3.559651504921374,4.252802297388928,6.801293037372497,5.1830211088193625,5.127024553993782,3.821386043200339,5.254734888116069,6.441989421684577,5.364076613120894,3.556097791427554,4.904903632522006,6.210296045907266,4.500646704705204,6.064803885253573,7.179122019328472,5.35003445984341,2.6750828836662133,6.378476137500223,6.162372052762357,4.859917864205115,6.903160055285445,4.054334335843032,4.931408522716302,5.4279488345104285,5.370923893350118,7.178637398932801,3.988101231209387,4.775201357579289,4.744626184753771,6.229023039635861,6.455099633759743,5.820477417413853,4.446132069367045,5.260730981249802,4.071424539720788,6.617240492123571,4.213908441126201,4.2422730076345285,4.567983313615443,7.236802083895405,5.583139151726972,6.448283035922997
AFY_14,5.374323451637927,0.8561298467446954,5.333976497943169,6.3800613816505205,0.0,9.098309004981068,5.6430347908295095,6.0534989864938336,7.088148306873409,1.505999386377743,3.401674773157124,5.119574717107668,3.8244309177497775,4.66749267225619,2.613808884461544,5.778190379031468,5.307277827732023,4.795538587578697,4.492571829853721,6.923409647148625,3.657452636259689,2.764588621075377,6.011775941072291,5.502387047806113,6.3810728555762175,5.48604081520454,3.8828921363212094,4.088851192383807,6.9252247933469135,7.35397882354729,5.420366504703445,5.389971345363535,3.897741867303052,3.9767063492683214,2.691524181690917,4.746372349092949,6.24931095261943,2.395127553044941,5.817279299185904,6.540336467330261,5.252618283374716,6.148698639553515,3.7108744290328417,3.976576920361964,4.221268411339934,4.579141896833567,5.832701216657983,7.250042895232421,6.447265185584801
AFY_6,6.633409996115426,8.838221842333029,5.415593267560814,5.32996691602475,9.098309004981068,0.0,6.388080060041131,3.686134514783345,4.813728007723489,8.1659740495422,4.678975545070748,4.837412873439401,7.467844193178469,6.337503943113998,8.144684873426414,4.77835201384916,5.9332389517770965,7.75827976940261,5.383093268257388,6.057583095794074,7.2404803342164,6.273073210487698,5.967916976426753,7.385638917447417,7.30839857070335,6.460198513320823,7.381206856861826,7.53417021909835,4.1116537591764,4.162925587941429,4.884193414989951,7.179475314845445,6.319805730990279,5.637331480233904,6.822804754271308,4.901233788635184,6.936800388170722,8.206633152894273,4.666207757860887,4.398573705980331,5.060046492720911,4.5693745415759865,8.905935262513703,6.117171185102312,6.335661448913753,5.322074436200468,7.891431379484541,6.5700964661680485,6.480873793267645
ATN_0,4.96046169897868,4.471257877597126,5.21242510476462,3.090506114031922,5.6430347908295095,6.388080060041131,0.0,5.33653625302038,4.916038216427812,4.936532348010675,4.067619479915039,4.919041883949449,3.6775806979435655,4.542163974650597,5.757555565245935,3.680256404546304,2.8605199808488706,3.5564381234625726,4.442549850038758,3.743436507740462,5.220875703363433,4.854692233651621,3.315193460844178,2.784227663079782,4.880368477748964,4.493965653687384,4.474872361886811,4.567826875159534,4.92174650946668,5.305962747311104,7.480452425576446,3.745041140651908,6.513118328945443,4.196928759002443,4.123984680305048,5.1684297262085925,4.485202366264288,5.652193414247466,5.831798713352391,4.791121133309664,5.853538767445342,5.251290306323936,4.061108731255505,4.006582164218537,4.2354577543861165,2.0250479552065457,6.1203753002104575,6.006255421186284,9.055741104901651
ATT_0,4.885816882850528,5.710712285670772,2.758462067486097,3.559651504921374,6.0534989864938336,3.686134514783345,5.33653625302038,0.0,3.1648239229847235,5.046794794221809,3.323526991363884,3.3586546645311808,5.69268546540894,2.445030434780449,5.572679061054032,5.977979474078905,6.730151273120115,5.376188959941493,5.177346094779599,5.594657941847375,4.669905621430868,4.0439918642800325,4.473541286442227,5.279398574980744,8.966639147535561,6.84288571055736,5.561463956902067,6.9691457449398655,5.096363245297076,4.470070511111656,3.840858693199668,7.605944076974874,5.280924368688556,4.095228174193308,4.748971107062957,4.127428559580232,8.78763136900052,5.551675812298212,3.667418411750385,4.948148338377697,4.193134332355556,5.368501813777668,7.311465251892272,5.235357157433048,4.726015797956976,6.160149124308261,6.917746689779532,5.425752569080309,3.530223814277829
ATT_1,1.9471245951797524,6.583160902973276,5.488054239675291,4.252802297388928,7.088148306873409,4.813728007723489,4.916038216427812,3.1648239229847235,0.0,6.44851014862099,5.172482174360463,3.5851543889807527,6.131074984311351,6.0026436579707285,5.757406113172772,6.85870284399418,5.984167291187746,6.642994550285126,6.103734209462903,3.9149961373586986,5.693289861669442,4.884935948641426,2.4952471389467723,6.078855746136505,8.975020779745822,4.705870800118374,4.248541768566545,6.017111034816286,5.928022115151616,6.203488580492909,4.294368224140848,7.010338352449324,5.791004809525675,5.686138169968154,5.491729657881505,2.886837339545973,7.539643038002788,6.973326580653831,2.654326944162877,4.346064356854784,2.785042342206909,6.371376686116445,6.362008587581318,4.897647567105585,6.177097884498573,6.159773506462627,4.361059113011477,3.6580005631132657,5.693486096814181
ATT_8,3.6299337391775546,0.867085519927117,5.8887647930409255,6.801293037372497,1.505999386377743,8.1659740495422,4.936532348010675,5.046794794221809,6.44851014862099,0.0,1.9448332757606956,4.39789516912272,3.1018325877970208,4.051278456051347,3.1943582925944938,5.544615905555398,6.115200958433978,4.217764213793877,4.892272131087578,6.327882634570473,2.2935227483195413,1.487059331834924,5.714563005857721,5.328653829768508,6.126017844767864,4.862225602731954,2.988183291657337,4.436805880373911,5.353533792195225,6.046260577081648,4.380767583263855,5.485956043981843,3.967831308585811,3.020982474039491,2.166362198169831,4.417337722562411,6.65259688902805,1.724910589354976,5.028065532908189,6.287194177896995,4.555158955281143,5.466925112960187,3.8579252676244593,3.3290044696923973,3.169600813858507,4.567267986899755,4.733575768875754,6.613936576522567,5.860196756177177
