,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,7,4,1,6.45614491120083
1,0,4,4,5,6.147909095833795
2,0,3,4,0,1.664501756873061
3,0,1,4,4,7.683414341470562
4,0,1,4,5,4.948295539850025
5,0,0,4,2,6.022054581256484
6,0,2,4,3,1.6835516290658505
7,0,3,4,5,4.416814922291321
8,0,3,4,3,4.855972694945609
9,0,1,4,0,5.748534777011115
10,0,2,4,5,5.007647379767609
11,0,6,4,4,3.9821394556512635
12,0,5,4,1,6.262104582925256
13,0,0,4,1,3.9369053308975688
14,0,7,4,3,5.680040423437153
15,0,7,4,2,4.448038728564686
16,0,4,4,3,7.214222224280835
17,0,4,4,2,3.997401573491535
18,0,3,4,2,5.615890134971444
19,0,6,4,3,5.97443382011804
20,0,1,4,1,4.228041095569647
21,0,6,4,5,6.5354116323050775
22,0,2,4,0,5.207319217465488
23,0,6,4,2,4.49774531485241
24,0,5,4,5,5.523999945118581
25,0,6,4,0,6.778772514842587
26,0,4,4,4,4.960831273984555
27,0,2,4,2,3.855916931998567
28,0,5,4,4,6.520931999707119
29,0,0,4,5,4.842721114454925
30,0,0,4,0,3.492115892812624
31,0,7,4,5,7.28099628799467
32,0,2,4,1,6.6252997650892596
33,0,0,4,3,6.08192215233934
34,0,4,4,1,5.695056740963424
35,0,3,4,4,6.829890587550163
36,0,5,4,3,1.1663304950513262
37,0,1,4,3,6.623697032025376
38,0,4,4,0,6.70817501199654
39,0,7,4,0,4.2117793465448745
40,0,5,4,2,3.7328816570355667
41,0,3,4,1,6.638907198469663
42,0,5,4,0,4.263760350337561
43,0,7,4,4,6.9157251325948055
44,0,1,4,2,7.014086055774022
45,0,2,4,4,6.333817002975319
46,0,6,4,1,7.3449327137333
47,7,4,1,5,2.055546723525925
48,7,3,1,0,6.578193696268894
49,7,1,1,4,4.742254584899885
50,7,1,1,5,5.256797662157627
51,7,0,1,2,1.4933998782262665
52,7,2,1,3,6.947182661283804
53,7,3,1,5,5.1981044884138194
54,7,3,1,3,5.549529128711591
55,7,1,1,0,6.68150079507315
56,7,2,1,5,5.414466945212298
57,7,6,1,4,5.092892254115789
58,7,5,1,1,1.2103123052739193
59,7,0,1,1,5.261171247578162
60,7,7,1,3,6.047093630616391
