,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,0,4,4,0.0
1,0,7,4,1,6.45614491120083
2,0,4,4,5,6.147909095833795
3,0,3,4,0,1.664501756873061
4,0,1,4,4,7.683414341470562
5,0,1,4,5,4.948295539850025
6,0,0,4,2,6.022054581256484
7,0,2,4,3,1.6835516290658505
8,0,3,4,5,4.416814922291321
9,0,3,4,3,4.855972694945609
10,0,1,4,0,5.748534777011115
11,0,2,4,5,5.007647379767609
12,0,6,4,4,3.9821394556512635
13,0,5,4,1,6.262104582925256
14,0,0,4,1,3.9369053308975688
15,0,7,4,3,5.680040423437153
16,0,7,4,2,4.448038728564686
17,0,4,4,3,7.214222224280835
18,0,4,4,2,3.997401573491535
19,0,3,4,2,5.615890134971444
20,0,6,4,3,5.97443382011804
21,0,1,4,1,4.228041095569647
22,0,6,4,5,6.5354116323050775
23,0,2,4,0,5.207319217465488
24,0,6,4,2,4.49774531485241
25,0,5,4,5,5.523999945118581
26,0,6,4,0,6.778772514842587
27,0,4,4,4,4.960831273984555
28,0,2,4,2,3.855916931998567
29,0,5,4,4,6.520931999707119
30,0,0,4,5,4.842721114454925
31,0,0,4,0,3.492115892812624
32,0,7,4,5,7.28099628799467
33,0,2,4,1,6.6252997650892596
34,0,0,4,3,6.08192215233934
35,0,4,4,1,5.695056740963424
36,0,3,4,4,6.829890587550163
37,0,5,4,3,1.1663304950513262
38,0,1,4,3,6.623697032025376
39,0,4,4,0,6.70817501199654
40,0,7,4,0,4.2117793465448745
41,0,5,4,2,3.7328816570355667
42,0,3,4,1,6.638907198469663
43,0,5,4,0,4.263760350337561
44,0,7,4,4,6.9157251325948055
45,0,1,4,2,7.014086055774022
46,0,2,4,4,6.333817002975319
47,0,6,4,1,7.3449327137333
48,7,0,1,4,6.861745476882285
49,7,7,1,1,0.0
50,7,4,1,5,2.055546723525925
51,7,3,1,0,6.578193696268894
52,7,1,1,4,4.742254584899885
53,7,1,1,5,5.256797662157627
54,7,0,1,2,1.4933998782262665
55,7,2,1,3,6.947182661283804
56,7,3,1,5,5.1981044884138194
57,7,3,1,3,5.549529128711591
58,7,1,1,0,6.68150079507315
59,7,2,1,5,5.414466945212298
60,7,6,1,4,5.092892254115789
61,7,5,1,1,1.2103123052739193
62,7,0,1,1,5.261171247578162
63,7,7,1,3,6.047093630616391
64,7,7,1,2,4.820389261966927
65,7,4,1,3,5.127809118458923
66,7,4,1,2,5.408807593088132
67,7,3,1,2,6.531677589984356
68,7,6,1,3,6.4230666973020565
69,7,1,1,1,5.451017776831791
70,7,6,1,5,0.5249619562340773
71,7,2,1,0,6.895988192642097
72,7,6,1,2,5.1476756150288345
73,7,5,1,5,6.680215720446624
74,7,6,1,0,4.234979207115675
75,7,4,1,4,5.9420973941079325
76,7,2,1,2,5.583750997044174
77,7,5,1,4,4.260629529460632
78,7,0,1,5,6.754465476978934
79,7,0,1,0,5.614970652815183
80,7,7,1,5,3.4921158928126217
81,7,2,1,1,4.140358697221914
82,7,0,1,3,4.489716615634333
83,7,4,1,1,7.094866346247895
84,7,3,1,4,3.981031013164544
85,7,5,1,3,6.62449468969204
86,7,1,1,3,1.6849191479009467
87,7,4,1,0,4.500866107766179
88,7,7,1,0,4.8343853355288235
89,7,5,1,2,5.142878329797103
90,7,3,1,1,1.3506449402682985
91,7,5,1,0,5.291448819726726
92,7,7,1,4,3.942752557879638
93,7,1,1,2,3.900689668208213
94,7,2,1,4,1.7713306866902905
95,7,6,1,1,3.9210055729915383
96,4,0,5,4,6.792070475819096
97,4,7,5,1,1.6549375272077553
98,4,4,5,5,0.0
99,4,3,5,0,6.927440549438247
100,4,1,5,4,3.947492645565074
101,4,1,5,5,5.191277471935661
102,4,0,5,2,1.4050728590543395
103,4,2,5,3,6.351294369842027
104,4,3,5,5,5.6042717293106925
105,4,3,5,3,5.35922041977066
106,4,1,5,0,6.642880395693976
107,4,2,5,5,5.141733422482416
108,4,6,5,4,5.125122229651329
109,4,5,5,1,1.9207834468382732
110,4,0,5,1,5.639781640919903
111,4,7,5,3,7.099343667132357
112,4,7,5,2,5.607742540585745
113,4,4,5,3,3.4921158928126217
114,4,4,5,2,4.8343853355288235
115,4,3,5,2,6.8626316234102385
116,4,6,5,3,6.63866728665305
117,4,1,5,1,5.453124577872161
118,4,6,5,5,1.205993056091199
119,4,2,5,0,6.337770483926663
120,4,6,5,2,5.296424058663164
121,4,5,5,5,6.921397101102194
122,4,6,5,0,4.237704224071805
123,4,4,5,4,4.820389261966928
124,4,2,5,2,5.11121144976214
125,4,5,5,4,4.148398307258492
126,4,0,5,5,6.6121097377652704
127,4,0,5,0,5.3212140683695175
128,4,7,5,5,4.760799855866362
129,4,2,5,1,4.2467680037629245
130,4,0,5,3,4.012184366158585
131,4,4,5,1,6.047093628846921
132,4,3,5,4,4.11474160165153
133,4,5,5,3,7.0168687739942595
134,4,1,5,3,0.7699915014222466
135,4,4,5,0,3.942752557092691
136,4,7,5,0,5.634051682571303
137,4,5,5,2,5.714351203592425
138,4,3,5,1,1.7640920800746411
139,4,5,5,0,5.571662274983183
140,4,7,5,4,4.1608757860845875
141,4,1,5,2,4.091721940254771
142,4,2,5,4,0.4474529315191393
143,4,6,5,1,4.47789073095957
144,3,0,0,4,1.9372051389035778
145,3,7,0,1,6.485093367974635
146,3,4,0,5,6.558360071664094
147,3,3,0,0,0.0
148,3,1,0,4,7.184942285918492
149,3,1,0,5,4.605109245104494
150,3,0,0,2,6.571766487069746
151,3,2,0,3,1.384966803967811
152,3,3,0,5,3.9369053316107006
153,3,3,0,3,3.4921158928126212
154,3,1,0,0,5.106553887687449
155,3,2,0,5,4.443202286279918
156,3,6,0,4,4.43523831737771
157,3,5,0,1,6.663242313797052
158,3,0,0,1,4.270090184368139
159,3,7,0,3,5.341812578259869
160,3,7,0,2,4.534117182044282
161,3,4,0,3,7.37948037584196
162,3,4,0,2,4.301360283871799
163,3,3,0,2,4.842721114454927
164,3,6,0,3,5.130787598822008
165,3,1,0,1,4.480232246709856
166,3,6,0,5,6.349775525759397
167,3,2,0,0,5.417816260595212
168,3,6,0,2,4.645419408658559
169,3,5,0,5,5.30212783751227
170,3,6,0,0,6.639113100769573
171,3,4,0,4,4.622427539129928
172,3,2,0,2,4.025370575661555
173,3,5,0,4,6.678347393834654
174,3,0,0,5,5.8138674474987235
175,3,0,0,0,4.9908996242411074
176,3,7,0,5,6.877157107224876
177,3,2,0,1,6.743365588379836
178,3,0,0,3,7.153364862720436
179,3,4,0,1,5.13986578526303
180,3,3,0,4,6.081922150677202
181,3,5,0,3,0.7545696860442315
182,3,1,0,3,6.310040786868545
183,3,4,0,0,6.869972143750879
184,3,7,0,0,4.083474931110296
185,3,5,0,2,4.474661730742751
186,3,3,0,1,6.022054581256487
187,3,5,0,0,4.135894958148643
188,3,7,0,4,6.579911790468386
189,3,1,0,2,6.851369397787397
190,3,2,0,4,6.453706792389278
191,3,6,0,1,7.437211282351505
192,1,0,4,4,7.636296544157631
193,1,7,4,1,4.541299591348422
194,1,4,4,5,3.6337270311822683
195,1,3,4,0,7.194057227598083
196,1,1,4,4,0.0
197,1,1,4,5,6.022054578241354
198,1,0,4,2,5.303748578887329
199,1,2,4,3,7.053158416145059
200,1,3,4,5,4.436756828682525
201,1,3,4,3,6.265089657905867
202,1,1,4,0,6.081922158017802
203,1,2,4,5,6.607222628873382
204,1,6,4,4,3.8282040541425437
205,1,5,4,1,4.268292386831845
206,1,0,4,1,4.261058281050158
207,1,7,4,3,6.683956432565815
208,1,7,4,2,6.436912968752963
209,1,4,4,3,0.7047750348279698
210,1,4,4,2,4.441047937216234
211,1,3,4,2,6.883028597977757
212,1,6,4,3,6.635546437894758
213,1,1,4,1,3.9369053308975688
214,1,6,4,5,4.462931489661893
215,1,2,4,0,6.704890639459783
216,1,6,4,2,6.198339503869879
217,1,5,4,5,6.4506116653328975
218,1,6,4,0,5.546812042601588
219,1,4,4,4,6.467712093101279
220,1,2,4,2,4.367843886539285
