,isite_i,isite_j,pattern_i,pattern_j,distance
0,15,15,1,1,4.482630128922994e-31
1,15,15,1,3,7.576940419838063
2,15,8,1,3,1.9782821270208124
3,15,9,1,1,0.8711072285243802
4,15,8,1,4,1.9782821272436844
5,15,15,1,4,7.579573500653759
6,15,7,1,1,7.576940426462714
7,15,5,1,1,7.861567389811278
8,15,10,1,4,8.038381844247125
9,15,12,1,2,8.038381844247132
10,15,13,1,5,8.059528934473356
11,15,0,1,0,8.163051294135188
12,15,14,1,4,8.362094155602795
13,15,3,1,4,1.978282124429582
14,15,11,1,3,8.1630512766823
15,15,14,1,5,8.362168769089841
16,15,12,1,0,0.5807381535313024
17,15,2,1,3,8.359334936935424
18,15,7,1,2,7.579573500653759
19,15,0,1,5,7.861422984687381
20,15,1,1,4,2.6202031863613247
21,15,14,1,0,8.359334946421658
22,15,2,1,2,8.109867956597325
23,15,6,1,5,8.362168769089848
24,15,13,1,0,7.861567395944677
25,15,3,1,2,8.059779228286494
26,15,9,1,0,8.571329136375706
27,15,7,1,0,5.60553550354105e-30
28,15,15,1,2,7.579573500653758
29,15,1,1,0,8.840178394389081
30,15,10,1,1,8.359334929632272
31,15,6,1,2,8.038381844247134
32,15,9,1,4,8.502039260100036
33,15,12,1,4,8.362168769089841
34,15,4,1,4,8.36240259234294
35,15,10,1,2,8.362094155602795
36,15,9,1,3,0.8711072298135246
37,15,6,1,3,8.359334925229398
38,15,15,1,5,7.579573499812098
39,15,10,1,5,8.362168766788836
40,15,2,1,0,0.5807381526718722
41,15,7,1,3,2.4466381797429164e-30
42,15,11,1,0,7.861567395944661
43,15,11,1,5,1.9782821244068731
44,15,12,1,5,8.362094155602797
45,15,10,1,0,0.5807381535313029
46,15,4,1,0,8.108198658123131
47,15,14,1,3,0.5807381535313026
48,15,8,1,0,8.059978496035514
49,15,0,1,3,8.162624224551672
50,15,8,1,5,7.861422978375249
51,15,9,1,5,8.68079787361429
52,15,14,1,2,8.038381844247134
53,15,5,1,3,1.9782821267369477
54,15,6,1,1,0.5807381535313024
55,15,7,1,5,7.579573499812104
56,15,12,1,1,8.359334938557323
57,15,3,1,0,8.059982107860268
58,15,5,1,4,1.9782821273345181
59,15,0,1,1,7.861567389811278
60,15,2,1,5,8.362402592342942
61,15,3,1,3,1.9782821235841284
62,15,5,1,0,8.163051294135192
63,15,11,1,2,7.861422971178
64,15,13,1,1,8.163051288046764
65,15,11,1,1,1.9782821221203064
66,15,4,1,1,0.5807381526718725
67,15,4,1,2,8.109867956597325
68,15,15,1,0,7.576940415819699
69,15,13,1,4,7.861422984218695
70,15,12,1,3,8.359334939022697
71,15,7,1,4,7.579573500653758
72,15,4,1,3,0.5807381535313201
73,15,1,1,3,2.6202031953811726
74,15,11,1,4,8.059782836794186
75,15,1,1,1,8.6218658843625
76,15,8,1,2,7.861365206881915
77,15,2,1,4,8.259891126957504
78,15,1,1,5,2.6202031876398535
79,15,0,1,2,8.059782862546648
80,15,1,1,2,8.642355567512721
81,15,2,1,1,0.5807381535313019
82,15,13,1,2,8.059782839048875
83,15,13,1,3,1.9782821235841288
84,15,9,1,2,8.574023426121787
