,neighbor_num,isite,atom,x,y,z,front_index
0,0,1,Si1,0.0,0.0,0.0,
1,1,53,O1,-0.7587890418265291,-1.316359381413502,-0.5341892476347507,0.0
2,1,65,O1,-0.7612959842469731,1.3112148538505382,-0.5410185859222895,0.0
3,1,105,O1,5.551115123125783e-17,2.220446049250313e-16,1.6087134815617636,0.0
4,1,96,O1,1.5171374327736404,-5.551115123125783e-17,-0.5387797197318156,0.0
5,2,6,Si1,-0.6570431560103563,-2.7189338432588497,-1.3192711777660309,1.0
6,2,16,Si1,-1.1017138078037598,2.8813737205093117,-0.433410583561333,2.0
7,2,36,Si1,0.45092404750049037,0.6570438896961887,3.008950392653658,3.0
8,2,0,Si1,3.00936362663016,-0.5671320310737735,-0.32994528287833125,4.0
9,3,99,O1,0.8207974372889802,-2.881549503740838,-1.9369546760723702,5.0
10,3,70,O1,-1.7413591607361054,-2.7444197185702577,-2.508878823570903,5.0
11,3,110,O1,-0.9486257049096893,-3.9255420440352053,-0.29602373322723186,5.0
12,3,92,O1,-1.3177436780673644,3.280596499901418,1.110543851485657,6.0
13,3,121,O1,0.11496816206124416,3.7369706644155327,-1.0465487681927894,6.0
14,3,89,O1,-2.448384232192913,3.1915178739468817,-1.260467662763562,6.0
15,3,124,O1,0.272271179600396,2.2545719560405546,2.9362260671362255,7.0
16,3,130,O1,1.9941962230999908,0.30102598422665294,3.2949525964180286,7.0
17,3,136,O1,-0.4629870728586436,0.065267025256461,4.19373897859021,7.0
18,3,64,O1,4.060100092521065,0.40259479696147293,-1.0696342966794021,8.0
19,3,104,O1,3.3461130200186133,-0.6305944075527212,1.24184714571481,8.0
20,3,52,O1,3.1138289821407024,-2.0461767109214044,-0.9587813567739177,8.0
21,4,7,Si1,2.352320470619803,-3.286065874332623,-1.6492164606443631,9.0
22,4,23,Si1,-2.6570827141966973,-3.554954121367798,-3.5564221395409708,10.0
23,4,35,Si1,-1.0376402317861309,-5.502837329361542,0.020075260250710603,11.0
24,4,21,Si1,-0.6544834655944485,3.514111962931824,2.5580933148923544,12.0
25,4,33,Si1,0.8369862907636043,5.164762057161441,-1.2180222591897938,13.0
26,4,13,Si1,-3.314434191172754,4.118738728346763,-2.250102111580249,14.0
27,4,21,Si1,-0.6544834655944485,3.514111962931824,2.5580933148923544,15.0
28,4,37,Si1,3.465632902597134,0.08890451931322563,2.6784190613155068,16.0
29,4,41,Si1,-1.6259014134834513,0.22806867748343274,5.295945809677654,17.0
30,4,17,Si1,4.957102658955185,1.7395546135428424,-1.0976965127666407,18.0
31,4,37,Si1,3.465632902597134,0.08890451931322563,2.6784190613155068,19.0
32,4,7,Si1,2.352320470619803,-3.286065874332623,-1.6492164606443631,20.0
