,isite_i,isite_j,pattern_i,pattern_j,distance
0,46,11,5,2,6.999313020895126
1,46,18,5,5,5.777881899987457
2,46,8,5,3,6.656829566564728
3,46,12,5,1,6.962747189249219
4,46,45,5,2,5.851700807220661
5,46,33,5,4,6.1086143713753325
6,46,5,5,2,5.987605822302131
7,46,22,5,1,6.273659699399656
8,46,17,5,5,3.605302253335191
9,46,0,5,1,7.513523856943556
10,46,3,5,2,7.086977160010218
11,46,40,5,3,6.346556621582455
12,46,42,5,2,5.814587942317212
13,46,1,5,0,5.276480202774284
14,46,35,5,1,6.4459043149585895
15,46,8,5,4,7.8988374832712545
16,46,7,5,4,5.853336888859949
17,46,2,5,2,6.176900178776629
18,46,1,5,4,8.909668078480692
19,46,27,5,2,3.0525442565419225
20,46,4,5,3,5.817361979660102
21,46,41,5,1,4.555350834607704
22,46,10,5,5,6.188635843349638
23,46,42,5,4,5.727333737671131
24,46,22,5,4,6.042935800190144
25,46,43,5,5,5.884131165220139
26,46,9,5,0,5.554168358790351
27,46,19,5,0,3.2992484466657217
28,46,20,5,3,4.876972042102809
29,46,20,5,5,4.989260446516142
30,46,16,5,1,6.400470013481792
31,46,0,5,3,6.58229183831766
32,46,34,5,2,4.348803674554141
33,46,28,5,2,3.597406510437021
34,46,2,5,1,6.283487538284219
35,46,15,5,3,5.936156335011217
36,46,31,5,4,9.988672751865804
37,46,19,5,4,6.5059932126697335
38,46,42,5,1,5.530509873411989
39,46,43,5,0,6.376230907019513
40,46,2,5,5,3.550389531232827
41,46,41,5,5,6.035084730375348
42,46,30,5,4,1.467765763186535
43,46,26,5,3,9.414416186631767
44,46,34,5,4,5.593342473181545
45,46,3,5,0,1.432191050307317
46,46,33,5,1,5.476742595174246
47,46,35,5,5,7.15214294711854
48,46,45,5,4,2.811291052252815
49,46,41,5,2,5.750097987699097
50,46,47,5,1,5.575453121541607
51,46,13,5,4,7.722956715639768
52,46,35,5,4,6.667879595588497
53,46,43,5,4,0.4141146632599987
54,46,28,5,4,6.3644363496989165
55,46,4,5,2,6.338063210335594
56,46,2,5,4,5.6966126655871605
57,46,9,5,3,4.858850903447787
58,46,44,5,5,5.771430581869905
59,46,29,5,3,5.898818418756795
60,46,35,5,0,8.252718693476547
61,46,23,5,2,4.214605082914731
62,46,11,5,0,6.658577950650372
63,46,1,5,3,4.0473749745248035
64,46,30,5,0,7.5756139411117305
65,46,31,5,1,6.441407174009368
66,46,19,5,5,1.3995799050053528
67,46,12,5,4,4.378131758751764
68,46,22,5,3,6.0498265058039244
69,46,0,5,5,0.5771292531305768
70,46,21,5,1,7.200139673392442
71,46,15,5,1,10.388190756627619
72,46,32,5,0,6.621657653802957
73,46,32,5,1,7.975520629165313
74,46,26,5,1,5.469332502805803
75,46,30,5,1,2.88109537605721
76,46,26,5,2,5.980963477279404
77,46,28,5,1,9.394875435623247
78,46,20,5,0,5.139673080151966
79,46,47,5,3,4.5461806818889166
80,46,39,5,4,6.5029210225470395
81,46,3,5,5,2.6771650388937838
82,46,16,5,2,3.1772902640554714
83,46,39,5,0,6.078231064744734
84,46,33,5,2,10.231985158501622
85,46,32,5,5,7.087650477628563
86,46,17,5,2,5.432803685381144
87,46,41,5,4,4.271902415039843
88,46,21,5,3,1.365354694074244
89,46,7,5,1,5.727916703069532
90,46,9,5,2,5.239270518772851
91,46,20,5,2,4.91615779174398
92,46,5,5,3,8.021784414885845
93,46,29,5,0,2.7928472551020262
94,46,12,5,3,5.261700221436455
95,46,33,5,0,4.552362483144449
96,46,14,5,3,6.50867624484987
97,46,11,5,5,7.434957774622518
98,46,2,5,0,4.608711634995536
99,46,34,5,5,10.048518091644672
100,46,17,5,3,5.482497927129043
101,46,27,5,1,5.711100867421878
102,46,43,5,1,2.728252284784584
103,46,23,5,5,5.671742944018883
104,46,10,5,4,5.970703730262075
105,46,27,5,3,1.6774701808681127
106,46,16,5,4,6.503811401282507
107,46,38,5,4,6.947330153477735
108,46,29,5,5,1.3354790391117206
109,46,0,5,4,5.629517465848029
110,46,23,5,4,5.523152842658323
111,46,14,5,1,7.669957553482508
112,46,21,5,5,6.728094404118536
113,46,24,5,4,2.693739580603741
114,46,28,5,3,4.5115517983147475
115,46,22,5,5,2.8413712776277578
116,46,28,5,0,5.974426806050488
117,46,42,5,3,5.43947418533453
118,46,37,5,3,8.351607936903669
119,46,40,5,0,6.489508489159099
120,46,12,5,0,9.831113337023389
121,46,7,5,2,3.3820920515950155
122,46,45,5,1,0.7199922356468683
123,46,10,5,0,5.589465113964839
124,46,26,5,0,3.580871975471783
125,46,21,5,0,6.563680861933333
126,46,20,5,4,3.726976615826202
127,46,8,5,0,6.883055028006081
128,46,17,5,4,5.260555597120771
129,46,19,5,3,6.440861383747704
130,46,1,5,2,3.2101368239452217
131,46,0,5,2,6.649030622762015
132,46,39,5,1,4.368043555987818
133,46,37,5,2,7.040373404215498
134,46,21,5,2,3.195189027844487
135,46,3,5,3,7.442122261465037
136,46,19,5,2,6.505118709065191
137,46,31,5,5,4.127902864837796
138,46,13,5,1,6.982415199667518
139,46,29,5,1,6.792116813905182
140,46,10,5,1,10.032937448245058
141,46,34,5,0,5.976980403471533
142,46,25,5,0,6.622669036315497
143,46,46,5,3,5.825099866535401
144,46,28,5,5,5.574636170523497
145,46,9,5,5,9.598143551290985
146,46,44,5,2,4.032145714165404
147,46,18,5,2,5.913824685591492
148,46,33,5,5,7.138504016766036
149,46,39,5,3,5.3106682009036525
150,46,36,5,4,4.571541031102238
151,46,15,5,2,5.658425848036297
152,46,34,5,3,6.639939113633809
153,46,46,5,0,2.613152593093127
154,46,37,5,0,7.319557994186755
155,46,30,5,5,7.375364817453391
156,46,24,5,0,6.0123509418113334
157,46,0,5,0,2.457841400392237
158,46,40,5,2,7.075663311357226
159,46,13,5,0,7.610585933200745
160,46,18,5,4,4.335317312889453
161,46,40,5,5,7.046625676948164
162,46,38,5,0,6.762242036150164
163,46,40,5,1,2.9997705268300856
164,46,12,5,5,5.911578376062446
165,46,33,5,3,6.277267970294549
166,46,35,5,2,7.9419133043052295
167,46,32,5,3,7.040542841460937
168,46,1,5,1,5.80322378525303
169,46,36,5,5,10.23207807076242
170,46,31,5,3,6.482374609771142
171,46,15,5,0,4.83357164143735
172,46,11,5,3,6.526898447910709
173,46,11,5,1,8.241907311729243
174,46,30,5,3,8.350131517281238
175,46,47,5,2,4.080588817188966
176,46,45,5,0,5.798732354311429
177,46,22,5,0,0.7082156619788451
178,46,4,5,1,6.22727488646699
179,46,4,5,0,4.676374319842225
180,46,38,5,3,6.609146332211091
181,46,37,5,4,7.496154394085593
182,46,7,5,5,9.021004422215109
183,46,6,5,4,6.815599076787237
184,46,5,5,4,7.0217767868486805
185,46,47,5,0,5.7337146124176614
186,46,44,5,3,4.160422874167616
187,46,24,5,3,7.2981837441267245
188,46,47,5,4,5.536814212514575
189,46,13,5,3,6.144978826431415
190,46,40,5,4,0.9903905127460333
191,46,16,5,0,6.84538457846203
192,46,3,5,1,6.0291386292585285
193,46,37,5,5,8.301218428498522
194,46,41,5,0,6.034939069708198
195,46,32,5,4,6.713510838313062
196,46,39,5,2,5.718249404004043
197,46,11,5,4,6.543749937561013
198,46,12,5,2,5.67895775305958
199,46,46,5,2,5.632419328407065
200,46,14,5,4,6.994572457719932
201,46,27,5,5,6.847279908310084
202,46,10,5,2,4.343563600486977
