,neighbor_num,isite,atom,x,y,z,front_index
0,0,22,Si1,0.0,0.0,0.0,
1,1,101,O1,-0.7658578357725331,-1.3099911920829002,-0.5385684278328906,0.0
2,1,90,O1,0.0,0.0,1.6088314459702606,0.0
3,1,94,O1,-0.7557959814525449,1.3183215940719177,-0.5323890297563542,0.0
4,1,82,O1,1.5158791324037395,-2.7755575615628914e-17,-0.542147606343072,0.0
5,2,23,Si1,-0.6738152473079109,-2.8436558204259845,-1.0203070178226878,1.0
6,2,24,Si1,0.7684333043072494,-0.11043096346764114,3.0179637607944616,2.0
7,2,31,Si1,-1.320539673798261,2.1197230054502647,-1.810474858886057,3.0
8,2,34,Si1,2.5108881867564072,1.0238999557574522,-1.286643234994652,4.0
9,3,95,O1,-1.8088584785878947,-3.1258451285057505,-2.126961221949707,5.0
10,3,83,O1,0.7762022443815216,-3.1216071412195023,-1.6621838815469252,5.0
11,3,91,O1,-0.9046928669547678,-3.8180126482626005,0.23892406436085123,5.0
12,3,56,O1,0.04122482464346833,-1.2156311186978033,3.9357534501925096,6.0
13,3,102,O1,0.729949737440418,1.315151517478585,3.765563054873696,6.0
14,3,84,O1,2.297560910466813,-0.5480265570216567,2.7687802306335207,6.0
15,3,107,O1,-2.9269711135176575,2.0319511322487944,-1.8313584315809184,7.0
16,3,113,O1,-0.8683040710534946,3.662134652565469,-1.7201234782292134,7.0
17,3,87,O1,-0.7225098494653481,1.4682790111500863,-3.1560858465878465,7.0
18,3,110,O1,3.926972247268519,0.3083619677644711,-1.55398817539041,8.0
19,3,115,O1,2.7313821998792043,2.3205625138903185,-0.35833148668673886,8.0
20,3,99,O1,1.8625508735040706,1.4725169984363349,-2.6913085061850643,8.0
21,4,30,Si1,-2.4571957918402316,-2.6772280858268687,-3.5316264931401196,9.0
22,4,35,Si1,1.3742320687144363,-3.7730511355196805,-3.0077948692487144,10.0
23,4,25,Si1,-0.3671371822943751,-4.902800439566858,1.2984560153983309,11.0
24,4,13,Si1,-0.03319563332245301,-1.9251787380329723,5.379944164107254,12.0
25,4,25,Si1,1.4422485516151609,2.733224856958345,4.03827077861715,13.0
26,4,8,Si1,3.2164534972158485,-1.8469718563690747,3.0158943784400076,14.0
27,4,36,Si1,-4.444502661190632,1.9644601161087487,-2.363379491952462,15.0
28,4,30,Si1,-0.6478100579306958,4.958797210698334,-0.7918117299213003,16.0
29,4,27,Si1,0.7275076422240847,1.190327690356569,-3.797962710312083,17.0
30,4,39,Si1,5.1973417036894505,-0.6672280716008268,-1.3962258116745585,18.0
31,4,35,Si1,3.183617802623972,3.8629741610055217,-0.2679801060298953,19.0
32,4,27,Si1,0.7275076422240847,1.190327690356569,-3.797962710312083,20.0
