,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,6.333852394397131
1,0,1,0,1,5.074638778534797
2,0,1,0,2,7.744519013323899
3,0,1,0,3,5.095116641990581
4,0,1,0,4,6.332178663488796
5,0,1,0,5,5.010569911999159
6,0,10,0,0,0.0
7,0,10,0,1,6.0746856689173665
8,0,10,0,2,5.4304797028390706
9,0,10,0,3,5.056664401177229
10,0,10,0,4,5.0360276585442705
11,0,10,0,5,5.953584464200528
12,0,11,0,0,5.8925977738265
13,0,11,0,1,5.738917939672467
14,0,11,0,2,5.482495152358227
15,0,11,0,3,5.095116641990581
16,0,11,0,4,4.892884730571794
17,0,11,0,5,6.556558290209244
18,0,12,0,0,0.9515691182931374
19,0,12,0,1,5.400965590919638
20,0,12,0,2,5.314071865667312
21,0,12,0,3,5.727875474500101
22,0,12,0,4,6.517947324420505
23,0,12,0,5,5.864206586172339
24,0,13,0,0,5.9788236257488006
25,0,13,0,1,4.861807815584655
26,0,13,0,2,5.507534255319376
27,0,13,0,3,5.093779750044072
28,0,13,0,4,5.422401437317337
29,0,13,0,5,5.598295097839908
30,0,14,0,0,5.4740575605585065
31,0,14,0,1,4.90116957125355
32,0,14,0,2,5.852105235760708
33,0,14,0,3,5.6580831224633705
34,0,14,0,4,5.463869664939556
35,0,14,0,5,5.081353301985791
36,0,15,0,0,5.488466765719044
37,0,15,0,1,5.099637168311247
38,0,15,0,2,6.767745990146216
39,0,15,0,3,1.7323834334171737
40,0,15,0,4,6.152016996039737
41,0,15,0,5,6.832070297792676
42,0,16,0,0,6.190395536781924
43,0,16,0,1,3.124962737618154
44,0,16,0,2,5.146631848080243
45,0,16,0,3,5.301931249505986
46,0,16,0,4,4.890487225427851
47,0,16,0,5,5.037503719793046
48,0,17,0,0,4.931528426608222
49,0,17,0,1,4.78379985693453
50,0,17,0,2,3.161408330397279
51,0,17,0,3,4.959435518081877
52,0,17,0,4,4.669696654836112
53,0,17,0,5,5.14182848077282
54,0,18,0,0,6.3002749190288005
55,0,18,0,1,3.4610836563707603
56,0,18,0,2,5.327916069207624
57,0,18,0,3,5.573277943322775
58,0,18,0,4,5.160268123597039
59,0,18,0,5,5.274312846795356
60,0,19,0,0,5.223278300779627
61,0,19,0,1,4.369064665735472
62,0,19,0,2,4.84993553200592
63,0,19,0,3,3.1590622665157615
64,0,19,0,4,4.385697667135303
65,0,19,0,5,4.997610467921658
66,0,2,0,0,0.9515691182931374
67,0,2,0,1,1.0870170549795282
68,0,2,0,2,6.809469741570603
69,0,2,0,3,5.542845583439823
70,0,2,0,4,6.517947324420505
71,0,2,0,5,5.604035713300495
72,0,20,0,0,5.814914554989298
73,0,20,0,1,6.360620946415907
74,0,20,0,2,5.007413641208514
75,0,20,0,3,7.052362305155193
76,0,20,0,4,6.454406570920179
77,0,20,0,5,4.874828966014043
78,0,21,0,0,7.185319029142112
79,0,21,0,1,5.5514063741024815
80,0,21,0,2,7.744519013323899
81,0,21,0,3,5.20291566875028
82,0,21,0,4,6.332178663488796
83,0,21,0,5,6.244944835405579
84,0,22,0,0,6.946282105193447
85,0,22,0,1,5.9143595688505375
86,0,22,0,2,4.659762408409884
87,0,22,0,3,7.896451792710927
88,0,22,0,4,5.3312815438596886
89,0,22,0,5,6.3287748072043435
90,0,23,0,0,4.191829127358292
91,0,23,0,1,6.567942642684035
92,0,23,0,2,6.094956423044325
93,0,23,0,3,4.367588655312099
94,0,23,0,4,5.8979329535474605
95,0,23,0,5,5.5109058989446815
96,0,24,0,0,6.347477372465898
97,0,24,0,1,5.836645157987783
98,0,24,0,2,8.05903858134032
99,0,24,0,3,5.121863627600211
100,0,24,0,4,6.79564476657746
101,0,24,0,5,5.530178740443044
102,0,25,0,0,6.264853179651493
103,0,25,0,1,6.521376240625763
104,0,25,0,2,5.782718750413804
105,0,25,0,3,4.382636602140146
106,0,25,0,4,5.139516050604246
107,0,25,0,5,6.817013081070147
108,0,26,0,0,5.669833412087806
109,0,26,0,1,6.4093039944951675
110,0,26,0,2,5.04616866734056
111,0,26,0,3,6.999279304346645
112,0,26,0,4,6.393341118876014
113,0,26,0,5,4.801066888332482
114,0,27,0,0,6.114916648456447
115,0,27,0,1,4.731843624976435
116,0,27,0,2,7.159741071817164
117,0,27,0,3,6.035029085472408
118,0,27,0,4,7.284806991698391
119,0,27,0,5,5.266394761566894
120,0,28,0,0,5.7257693713523325
121,0,28,0,1,6.07726823373813
122,0,28,0,2,5.635197571221986
123,0,28,0,3,5.117178638046689
124,0,28,0,4,6.3364426683311486
125,0,28,0,5,4.875728309027537
126,0,29,0,0,0.766273606161753
127,0,29,0,1,5.589028797866885
128,0,29,0,2,4.877007539111554
129,0,29,0,3,6.211798525170574
130,0,29,0,4,5.446643377390734
131,0,29,0,5,5.794314618909012
132,0,3,0,0,5.9788236257488006
133,0,3,0,1,6.567942642684035
134,0,3,0,2,4.763860129257941
135,0,3,0,3,4.660246760292862
136,0,3,0,4,5.8979329535474605
137,0,3,0,5,5.023103270197656
138,0,30,0,0,7.040193423988915
139,0,30,0,1,6.085146575623388
140,0,30,0,2,5.443632124707463
141,0,30,0,3,5.674230670216996
142,0,30,0,4,1.8463691358596015
143,0,30,0,5,5.710409226297147
144,0,31,0,0,6.333852394397131
145,0,31,0,1,5.074638778534797
146,0,31,0,2,5.843297327890257
147,0,31,0,3,5.28606339303704
148,0,31,0,4,5.648417175717923
149,0,31,0,5,6.005316839313472
150,0,32,0,0,5.737426327891746
151,0,32,0,1,1.0870170549795282
152,0,32,0,2,6.809469741570603
153,0,32,0,3,5.542845583439823
154,0,32,0,4,6.5269794808045924
155,0,32,0,5,5.525695197145575
156,0,33,0,0,5.654821757976931
157,0,33,0,1,5.997933899247774
158,0,33,0,2,4.763860129257941
159,0,33,0,3,5.687945273492286
160,0,33,0,4,5.627660081804005
161,0,33,0,5,5.023103270197656
162,0,34,0,0,5.8148430560468185
163,0,34,0,1,5.2605991273288355
164,0,34,0,2,6.505658499502064
165,0,34,0,3,6.292848749439797
166,0,34,0,4,5.815056891604122
167,0,34,0,5,4.992047472510817
168,0,35,0,0,1.251737569860283
169,0,35,0,1,4.785016784108331
170,0,35,0,2,5.668164620568871
171,0,35,0,3,5.620784914432855
172,0,35,0,4,6.440400660662231
173,0,35,0,5,5.990600862640835
174,0,36,0,0,4.53110186550513
175,0,36,0,1,2.9495908374747604
176,0,36,0,2,5.108420241569611
177,0,36,0,3,5.104236448963672
178,0,36,0,4,4.563530089728523
179,0,36,0,5,5.7589404216188
180,0,37,0,0,4.851404946941894
181,0,37,0,1,4.723724891651609
182,0,37,0,2,2.9485471991353154
183,0,37,0,3,4.910270997689541
184,0,37,0,4,4.800774360134472
185,0,37,0,5,5.043033730450529
186,0,38,0,0,2.6741722920146676
187,0,38,0,1,5.888980660170153
188,0,38,0,2,5.209858342117019
189,0,38,0,3,5.09187447984458
190,0,38,0,4,5.378852511623008
191,0,38,0,5,4.717212331471276
192,0,39,0,0,4.73022351080391
193,0,39,0,1,4.605589412232813
194,0,39,0,2,4.767418796509342
195,0,39,0,3,4.537139779604327
196,0,39,0,4,2.939103811801594
197,0,39,0,5,5.338386172413156
198,0,4,0,0,5.671333463868009
199,0,4,0,1,6.462594498068205
200,0,4,0,2,5.852105235760708
201,0,4,0,3,5.261690547202855
