,neighbor_num,isite,atom,x,y,z,front_index
0,0,31,Si1,0.0,0.0,0.0,
1,1,94,O1,-0.7599166289859168,-1.3149657065575484,-0.5367261446901279,0.0
2,1,107,O1,-9.71445146547012e-17,1.1102230246251565e-16,1.6089630187958737,0.0
3,1,113,O1,1.5177347977067204,-1.1102230246251565e-16,-0.5368381370239078,0.0
4,1,87,O1,-0.7563958897738304,1.313211155220272,-0.5440860211983981,0.0
5,2,22,Si1,-2.0866953793350413,-1.9122489911947562,-1.2263262429326185,1.0
6,2,36,Si1,-0.01276836442488799,0.5123333189261825,3.1346939856800122,2.0
7,2,30,Si1,2.8492927067967697,-0.8525844119976482,-0.8397695759527825,3.0
8,2,27,Si1,-1.1487883552586677,1.9530364981918114,-1.9683280142047554,4.0
9,3,101,O1,-3.380032674235502,-1.4549496354935023,-0.38322065031557606,5.0
10,3,90,O1,-1.998307104178516,-3.5185148726957434,-1.247208107874948,5.0
11,3,82,O1,-2.200136111287328,-1.355893450796413,-2.732783439179108,5.0
12,3,116,O1,0.9281640747702249,1.807469307208187,3.2748917695692246,6.0
13,3,118,O1,-1.5180454547211615,0.8857737246573892,3.5579585133764557,6.0
14,3,105,O1,0.5354913683681014,-0.6580381646001168,4.093936030248233,6.0
15,3,106,O1,3.655493870742494,-1.093821313939963,0.5315824708413893,7.0
16,3,86,O1,3.774270727381228,-0.0424851986608733,-1.87940547602165,7.0
17,3,95,O1,2.4434302011406293,-2.2734925602827154,-1.4808457862938478,7.0
18,3,103,O1,-2.7093418726527654,2.349697430354796,-1.9703088352112108,8.0
19,3,99,O1,-0.8692955850467288,0.875113910825429,-3.131343128906912,8.0
20,3,89,O1,-0.2593128612186679,3.2666994453977476,-2.2356510924888244,8.0
21,4,23,Si1,-4.9405861916296,-1.058288703330517,-0.3852014713220317,9.0
22,4,24,Si1,-2.0733926561700287,-4.923896064860892,-2.0266979962849034,10.0
23,4,34,Si1,-1.2751580907028695,-0.5457942374596376,-3.7724193392479775,11.0
24,4,18,Si1,1.8690965139653386,3.1026052954901937,3.415089553458437,12.0
25,4,37,Si1,-2.9739483050011972,1.3983973770108822,4.007439989306034,13.0
26,4,29,Si1,1.1565391322529326,-1.4212122413760016,5.3669745211681485,14.0
27,4,37,Si1,4.689560857980971,-0.8947290673076989,1.7487805596320631,15.0
28,4,26,Si1,3.6608299954289416,0.5138703417374699,-3.3858626722681398,16.0
29,4,23,Si1,2.7229229713525682,-3.3514151476490976,-2.643860900996003,17.0
30,4,26,Si1,-4.002679167553226,2.8069967860560503,-1.1272032425941687,18.0
31,4,34,Si1,-1.2751580907028695,-0.5457942374596376,-3.7724193392479775,19.0
32,4,21,Si1,0.7936364599693689,4.379477703267842,-1.7443661473052687,20.0
