,isite_i,isite_j,pattern_i,pattern_j,distance
0,23,13,3,5,3.9486817380709143
1,23,30,3,2,6.714556876619368
2,23,44,3,4,5.546698899129662
3,23,26,3,0,5.978705111093585
4,23,41,3,0,1.1360014061608996
5,23,7,3,1,5.946506442660036
6,23,34,3,3,4.363389412817748
7,23,4,3,2,7.2245355653662875
8,23,39,3,1,5.156483137649374
9,23,10,3,3,4.284384172697342
10,23,6,3,2,5.307851328858528
11,23,25,3,2,5.525205770219901
12,23,26,3,3,5.329678160633384
13,23,17,3,2,6.060451622371073
14,23,27,3,2,4.593115466406549
15,23,47,3,1,5.998296669902364
16,23,34,3,4,5.895093382607677
17,23,34,3,1,4.95174339037245
18,23,37,3,3,3.754470433894348
19,23,7,3,2,4.236831644926692
20,23,35,3,3,3.808402635382567
21,23,7,3,0,7.4208908626983074
22,23,24,3,0,6.9596037740304695
23,23,35,3,2,5.210228248431035
24,23,0,3,0,3.828668866721532
25,23,7,3,3,5.725281029708394
26,23,40,3,3,3.588180365506516
27,23,46,3,1,3.895577822315358
28,23,8,3,0,4.00850107572609
29,23,21,3,5,5.525621419096184
30,23,4,3,3,7.894328993841735
31,23,18,3,4,6.189358649874359
32,23,9,3,4,5.495928632611803
33,23,21,3,0,6.3821808275994325
34,23,38,3,5,5.298530826373993
35,23,14,3,0,5.012736533401382
36,23,5,3,3,5.490341335669211
37,23,43,3,5,5.053841991143674
38,23,33,3,1,5.151932030864645
39,23,27,3,0,3.6949074757831557
40,23,25,3,1,4.255383706660456
41,23,42,3,4,5.941837842475509
42,23,45,3,2,5.24968257393508
43,23,10,3,0,6.027257834805955
44,23,38,3,1,6.145298297332948
45,23,12,3,0,4.561868164213831
46,23,18,3,1,6.179504955773405
47,23,5,3,4,4.491546797634947
48,23,31,3,0,7.306709719290113
49,23,27,3,4,5.4597279168729695
50,23,24,3,2,3.816309460573369
51,23,16,3,4,3.8710634591478312
52,23,20,3,5,5.2769681200655105
53,23,17,3,1,1.2863256595009798
54,23,6,3,0,6.070996135123454
55,23,8,3,2,5.996825204704631
56,23,2,3,0,7.515400586831573
57,23,43,3,2,4.892409827811323
58,23,40,3,0,3.741284717742867
59,23,9,3,1,6.5885167928226025
60,23,11,3,2,3.8081999456258817
61,23,3,3,1,4.532223580860516
62,23,35,3,4,5.107434622236729
63,23,28,3,2,7.843982090316468
64,23,10,3,5,4.8227506715895805
