,isite_i,isite_j,pattern_i,pattern_j,distance
0,1,24,0,4,7.271705813071271
1,1,7,0,1,8.765445598344682
2,1,28,0,1,4.251686971605962
3,1,13,0,1,4.94351583425216
4,1,31,0,5,7.296649479052372
5,1,16,0,5,9.158571386357323
6,1,0,0,0,7.457651303657898
7,1,16,0,3,1.563109634463959
8,1,1,0,3,7.839170880362135
9,1,22,0,3,5.7290501975767505
10,1,14,0,0,6.445656266140475
11,1,17,0,0,8.44125241645896
12,1,9,0,1,7.533214626300427
13,1,24,0,3,8.036594126274096
14,1,26,0,4,5.368888029358415
15,1,1,0,1,6.776675189076309
16,1,12,0,4,4.3090507102006725
17,1,21,0,2,7.849654799561218
18,1,23,0,5,9.661830536891536
19,1,8,0,1,6.198169382808686
20,1,4,0,0,7.770353771230572
21,1,18,0,4,3.542478967312132
22,1,24,0,2,6.641808461583759
23,1,11,0,3,8.20864653729233
24,1,23,0,1,7.518530074435995
25,1,20,0,0,6.69990350667386
26,1,19,0,4,10.11998186189307
27,1,15,0,4,4.619736826041837
28,1,3,0,5,3.4679461063754276
29,1,10,0,2,6.426643351931123
30,1,26,0,1,6.653233746394091
31,1,18,0,1,4.303179139194733
32,1,14,0,1,3.307584331881509
33,1,8,0,2,7.597239674299838
34,1,9,0,5,7.577627747790268
35,1,29,0,5,9.72886353254734
36,1,23,0,2,4.779702676037964
37,1,30,0,2,4.213770050580709
38,1,13,0,4,6.122925031670889
39,1,24,0,5,8.577739005173743
40,1,25,0,1,8.179378864924441
41,1,29,0,1,6.1729873339972805
42,1,18,0,2,6.122711206926322
43,1,0,0,4,8.268415561228847
44,1,10,0,3,8.30386788125318
45,1,13,0,0,9.351884929301175
46,1,21,0,3,7.352442558626045
47,1,29,0,4,4.828879633723533
48,1,10,0,5,8.291863084685106
49,1,27,0,4,8.66964067317241
50,1,19,0,0,6.19330870847487
51,1,30,0,5,8.442885296399895
52,1,16,0,1,8.062829892236971
53,1,21,0,4,6.309239745065813
54,1,17,0,2,7.57737026069127
55,1,5,0,5,6.81882358220663
56,1,9,0,2,8.424549117616841
57,1,8,0,3,5.8090925272794705
58,1,5,0,2,5.425353775444563
59,1,3,0,1,6.728974833333547
60,1,5,0,0,7.046230248539301
61,1,11,0,1,6.792428566716619
62,1,9,0,0,6.327000672303323
63,1,4,0,2,5.941333573675006
64,1,27,0,2,6.450805239966032
65,1,1,0,2,6.777531146937013
66,1,19,0,1,7.268865917468273
67,1,26,0,5,8.327398597101817
68,1,19,0,5,7.230135458621446
69,1,26,0,3,6.1295057198997585
70,1,18,0,5,6.967604178379289
71,1,2,0,2,3.632981888632468
72,1,0,0,5,6.994912641695769
73,1,1,0,4,6.597560663905016
74,1,20,0,3,5.43958505214568
75,1,23,0,3,5.711264262689395
76,1,6,0,0,6.827152291943367
77,1,17,0,1,4.7259680851664605
78,1,12,0,0,8.421494075294659
79,1,22,0,5,7.234933576805161
80,1,22,0,1,8.978183010973057
81,1,8,0,4,7.026536716013973
82,1,3,0,3,7.361800460803953
83,1,22,0,4,8.990739395577142
84,1,29,0,0,9.554060015369062
85,1,20,0,5,6.938298561586166
86,1,15,0,2,7.300219646456031
87,1,26,0,2,8.204743959015609
88,1,0,0,3,1.1883902379446103
89,1,20,0,1,7.244296606463913
90,1,6,0,2,4.458520031711498
91,1,18,0,0,9.173465972732071
92,1,11,0,4,5.4882027420689665
93,1,13,0,3,4.52107181717887
94,1,24,0,1,8.647480978183037
95,1,19,0,2,4.062856548774339
96,1,7,0,0,7.650752227453558
