,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,6.217843793026488
1,0,1,0,1,6.272600665189533
2,0,1,0,2,5.630194558135198
3,0,1,0,3,6.915476016205073
4,0,1,0,4,2.959100263534946
5,0,1,0,5,6.042083354014826
6,0,10,0,0,6.338908609149966
7,0,10,0,1,5.804289199186866
8,0,10,0,2,5.781047984980031
9,0,10,0,3,3.47495088821988
10,0,10,0,4,5.093037510600402
11,0,10,0,5,5.693959044197109
12,0,11,0,0,6.217843793026488
13,0,11,0,1,5.819994310337049
14,0,11,0,2,5.709330117068201
15,0,11,0,3,5.043987210449205
16,0,11,0,4,3.3948424044274885
17,0,11,0,5,5.845796869575486
18,0,12,0,0,5.899194366314063
19,0,12,0,1,5.477686143148443
20,0,12,0,2,4.391167584950241
21,0,12,0,3,6.382652067497528
22,0,12,0,4,5.737329544096794
23,0,12,0,5,4.132772464398123
24,0,13,0,0,5.228304267633785
25,0,13,0,1,4.324703058736489
26,0,13,0,2,6.110542105788504
27,0,13,0,3,4.304452573045014
28,0,13,0,4,6.319410056030315
29,0,13,0,5,5.7916287385145395
30,0,14,0,0,4.663939356501125
31,0,14,0,1,6.5705317745485665
32,0,14,0,2,5.659161204216309
33,0,14,0,3,5.785788460174116
34,0,14,0,4,4.63912864599433
35,0,14,0,5,4.825940945653331
36,0,15,0,0,4.606815977246916
37,0,15,0,1,4.480949837044541
38,0,15,0,2,6.095509071834346
39,0,15,0,3,5.34165223241322
40,0,15,0,4,6.223800061418894
41,0,15,0,5,4.654689082046028
42,0,16,0,0,6.087062606366733
43,0,16,0,1,5.894394984705884
44,0,16,0,2,4.2986569528381615
45,0,16,0,3,6.5395616051603795
46,0,16,0,4,5.238372967243501
47,0,16,0,5,5.172582312436583
48,0,17,0,0,5.570330807035327
49,0,17,0,1,5.36595601364487
50,0,17,0,2,6.490309399650283
51,0,17,0,3,4.458017468958841
52,0,17,0,4,5.625210976560101
53,0,17,0,5,5.8941519278217775
54,0,18,0,0,5.383930547464026
55,0,18,0,1,6.733444570266154
56,0,18,0,2,5.514234885988414
57,0,18,0,3,6.022121731886983
58,0,18,0,4,4.704471146347988
59,0,18,0,5,5.426319279496956
60,0,19,0,0,6.232720495183063
61,0,19,0,1,6.527238250075842
62,0,19,0,2,4.435192769122153
63,0,19,0,3,7.0635672409641534
64,0,19,0,4,5.9206577334724955
65,0,19,0,5,5.655021179801539
66,0,2,0,0,4.1755778215535315
67,0,2,0,1,5.477686143148443
68,0,2,0,2,5.354375086818813
69,0,2,0,3,4.79968025039718
70,0,2,0,4,5.737329544096794
71,0,2,0,5,4.220230511440357
72,0,20,0,0,7.189503691685414e-33
73,0,20,0,1,5.3958953830914
74,0,20,0,2,4.527697565425327
75,0,20,0,3,5.052498241587103
76,0,20,0,4,5.0504056784467775
77,0,20,0,5,6.212355581933023
78,0,21,0,0,2.791848593366096
79,0,21,0,1,5.1145565562601005
80,0,21,0,2,5.630194558135198
81,0,21,0,3,4.0265962535775035
82,0,21,0,4,6.6871876965215975
83,0,21,0,5,6.042083354014826
84,0,22,0,0,5.959534704405504
