,neighbor_num,isite,atom,x,y,z,front_index
0,0,18,Si1,0.0,0.0,0.0,
1,1,42,O1,1.5168065978473617,0.0,-0.537946349961252,0.0
2,1,82,O1,-0.7598144998242953,-1.3134793509270524,-0.5372182216475677,0.0
3,1,90,O1,-0.7576203364957799,1.3150194325663882,-0.5391608812276326,0.0
4,1,76,O1,1.3877787807814457e-17,-2.0816681711721685e-17,1.6091598334925996,0.0
5,2,2,Si1,2.934641035460504,-0.7633963382863271,-0.5773817600328162,1.0
6,2,26,Si1,-0.8961450187036866,-2.246476581581356,-1.8435446998125948,2.0
7,2,30,Si1,-0.8906440275378257,2.2455255841080217,-1.8475941930454447,3.0
8,2,16,Si1,0.35464061784727624,-0.8693760854047057,2.915992119604792,4.0
9,3,34,O1,2.73507413843673,-2.2374593710816626,-1.1907050805075614,5.0
10,3,50,O1,3.9646723727418802,0.06527671226631782,-1.4960586363034405,5.0
11,3,56,O1,3.52008571104036,-0.8809487070160398,0.9184031279979166,5.0
12,3,50,O1,-2.2066918880291064,-3.1715501627362044,-1.7105322760356287,6.0
13,3,94,O1,-1.0291687097457314,-1.3159704300397217,-3.1519780116304075,6.0
14,3,62,O1,0.40945974872842616,-3.1771660928046748,-1.97621960311391,6.0
15,3,54,O1,0.41990284178759496,3.1705991652628702,-1.9806066168224103,7.0
16,3,66,O1,-2.1962487949699376,3.176215095331341,-1.7149192897441294,7.0
17,3,86,O1,-1.0269745464172169,1.3125283534537184,-3.1539206712104715,7.0
18,3,80,O1,-0.352715969505367,-2.3114522532162454,2.8101031131689163,8.0
19,3,88,O1,-0.17744210694403548,-0.10724596135964523,4.231288582820245,8.0
20,3,40,O1,1.949348786311223,-1.0603462086822675,3.0185825682812633,8.0
21,4,10,Si1,1.8167997931428608,-3.555590603914284,-1.2910012655518752,9.0
22,4,26,Si1,5.275219242067301,0.990350293421167,-1.6290710600804066,10.0
23,4,0,Si1,3.287711057125994,-1.628922219592695,2.325696311212345,11.0
24,4,2,Si1,-3.2367232253104827,-4.000223213288849,-0.7918553997650042,12.0
25,4,22,Si1,-1.7867890462415121,-0.0009509974733341586,-3.6911388928580395,13.0
26,4,10,Si1,1.8167997931428617,-3.5555906039142835,-1.2910012655518752,14.0
27,4,6,Si1,1.449934179068972,3.999272215815514,-2.899283493093036,15.0
28,4,14,Si1,-3.603588839384372,3.554639606440948,-2.4001376273061648,16.0
29,4,22,Si1,-1.7867890462415121,-0.0009509974733341586,-3.6911388928580395,17.0
30,4,24,Si1,-0.2587970881349322,-3.80888940468689,3.396976124525868,18.0
31,4,28,Si1,0.04260422367940908,-0.04226569112438007,5.825933342247594,19.0
32,4,0,Si1,3.287711057125994,-1.628922219592695,2.325696311212345,20.0
