,isite_i,isite_j,pattern_i,pattern_j,distance
0,4,52,2,4,6.6275461725728535
1,4,2,2,5,5.4465008518382705
2,4,12,2,3,7.720694321673042
3,4,9,2,4,5.61587036008528
4,4,43,2,4,9.376471467200638
5,4,25,2,0,7.3655922839347925
6,4,4,2,0,6.888374034143078
7,4,29,2,3,6.828845593227339
8,4,43,2,0,7.622105869023149
9,4,49,2,3,4.704609605783001
10,4,47,2,0,8.98413244106411
11,4,44,2,1,9.04789617304319
12,4,40,2,2,7.613517400439442
13,4,2,2,1,8.67265141149931
14,4,5,2,3,6.3099557212837984
15,4,8,2,3,5.190685155388252
16,4,44,2,4,8.063834285394531
17,4,35,2,4,9.666042642433565
18,4,55,2,4,5.93075106064279
19,4,44,2,2,9.21097478375098
20,4,34,2,2,9.654246333515903
21,4,41,2,5,6.091506544374798
22,4,29,2,4,9.140064174184904
23,4,50,2,1,6.224120394664593
24,4,1,2,1,1.2910765117799397
25,4,6,2,0,7.779352282248753
26,4,9,2,2,5.0181514557813545
27,4,16,2,4,5.807351338128875
28,4,6,2,4,5.632405559583197
29,4,2,2,4,7.500888169710351
30,4,23,2,2,5.2313780643623655
31,4,7,2,2,5.746874525877757
32,4,35,2,1,8.940132269378283
33,4,30,2,4,10.066908366130754
34,4,36,2,5,9.160161051639832
35,4,25,2,2,9.10448016836259
36,4,52,2,2,7.0284592167149675
37,4,38,2,1,6.690358273686005
38,4,12,2,1,6.037887740833027
39,4,3,2,5,6.892448098335906
40,4,36,2,4,6.569518787633075
41,4,15,2,4,7.600833339056743
42,4,4,2,3,4.395700941602451
43,4,24,2,1,6.610520544228076
44,4,46,2,5,7.637192388768121
45,4,31,2,5,6.557191687078906
46,4,36,2,0,10.371470652829302
47,4,44,2,5,7.26669114480174
48,4,37,2,4,9.875802291369407
49,4,22,2,5,9.464014710600518
50,4,13,2,3,5.676254436737897
51,4,31,2,1,7.719930315812389
52,4,17,2,4,8.154936595987342
