,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,7.579569692442947
1,0,1,0,1,3.1700501131432293
2,0,1,0,10,3.7114328028041688
3,0,1,0,11,4.873045039653613
4,0,1,0,2,5.169730949299662
5,0,1,0,3,3.1680224371196983
6,0,1,0,4,3.9701378716476525
7,0,1,0,5,3.8915745308272562
8,0,1,0,6,4.097563983470046
9,0,1,0,7,5.620152032464723
10,0,1,0,8,2.337427298213154
11,0,1,0,9,0.25595293471796826
12,0,10,0,0,4.4978257093712175
13,0,10,0,1,4.1361722174322
14,0,10,0,10,7.778673376162174
15,0,10,0,11,7.631260382812504
16,0,10,0,2,3.1697018989335737
17,0,10,0,3,4.706297295333647
18,0,10,0,4,3.9908636234954584
19,0,10,0,5,3.894099107311957
20,0,10,0,6,3.8811079932976114
21,0,10,0,7,4.019692341756473
22,0,10,0,8,3.139743971930023
23,0,10,0,9,2.5083902067561965
24,0,11,0,0,4.6322907233085235
25,0,11,0,1,4.756466091794818
26,0,11,0,10,5.46967197483073
27,0,11,0,11,5.864092972507726
28,0,11,0,2,5.169730949299662
29,0,11,0,3,4.888279899895481
30,0,11,0,4,5.344075830404533
31,0,11,0,5,5.8597698450694455
32,0,11,0,6,5.250341685116368
33,0,11,0,7,5.620152032464723
34,0,11,0,8,1.2237610286108282
35,0,11,0,9,0.25595293471796826
36,0,12,0,0,3.169701898933572
37,0,12,0,1,4.706297295333643
38,0,12,0,10,3.1397439719300206
39,0,12,0,11,2.508390206756194
40,0,12,0,2,3.881107993297607
41,0,12,0,3,4.019692341756471
42,0,12,0,4,7.77867337616217
43,0,12,0,5,7.631260382812499
44,0,12,0,6,4.497825709371215
45,0,12,0,7,4.136172217432198
46,0,12,0,8,3.9908636234954593
47,0,12,0,9,3.8940991073119586
48,0,13,0,0,5.469671974830731
49,0,13,0,1,5.864092972507724
50,0,13,0,10,4.63229072330852
51,0,13,0,11,4.756466091794816
52,0,13,0,2,5.250341685116369
53,0,13,0,3,5.620152032464723
54,0,13,0,4,5.169730949299661
55,0,13,0,5,4.888279899895482
56,0,13,0,6,1.2237610286108276
57,0,13,0,7,0.2559529347179688
58,0,13,0,8,5.344075830404531
59,0,13,0,9,5.859769845069442
60,0,14,0,0,1.2237610286108274
61,0,14,0,1,0.25595293471796804
62,0,14,0,10,5.169730949299661
63,0,14,0,11,4.888279899895478
64,0,14,0,2,5.469671974830728
65,0,14,0,3,5.8640929725077235
66,0,14,0,4,5.344075830404534
67,0,14,0,5,5.859769845069443
68,0,14,0,6,5.250341685116368
69,0,14,0,7,5.6201520324647225
70,0,14,0,8,4.632290723308523
71,0,14,0,9,4.756466091794819
72,0,15,0,0,3.9908636234954593
73,0,15,0,1,3.894099107311955
74,0,15,0,10,3.8811079932976114
75,0,15,0,11,4.019692341756474
76,0,15,0,2,3.169701898933573
77,0,15,0,3,4.706297295333645
78,0,15,0,4,4.497825709371217
79,0,15,0,5,4.136172217432201
80,0,15,0,6,7.778673376162172
81,0,15,0,7,7.631260382812504
82,0,15,0,8,3.1397439719300224
83,0,15,0,9,2.5083902067561956
84,0,16,0,0,1.2207837772099617
85,0,16,0,1,0.2352267244934206
86,0,16,0,10,4.908465508099478
87,0,16,0,11,5.14902968302795
88,0,16,0,2,5.921796521945614
89,0,16,0,3,5.281693258186009
90,0,16,0,4,5.87375708227656
91,0,16,0,5,5.208783490285608
92,0,16,0,6,5.4849483377862525
93,0,16,0,7,5.07504147389416
94,0,16,0,8,4.503153090057232
95,0,16,0,9,4.8730450396536185
96,0,17,0,0,3.8899547126851615
97,0,17,0,1,3.8701505951827873
98,0,17,0,10,4.127740538376587
99,0,17,0,11,3.9820568533671827
100,0,17,0,2,7.509974008845661
101,0,17,0,3,7.797473669228683
102,0,17,0,4,3.1248437510245006
103,0,17,0,5,2.515148466418466
104,0,17,0,6,4.6496905851514505
105,0,17,0,7,3.1700501131432284
106,0,17,0,8,4.372672099565183
107,0,17,0,9,3.89157453082726
108,0,18,0,0,4.372672099565185
109,0,18,0,1,3.8915745308272616
110,0,18,0,10,7.509974008845661
111,0,18,0,11,7.797473669228685
112,0,18,0,2,3.8899547126851606
113,0,18,0,3,3.870150595182787
114,0,18,0,4,4.649690585151452
115,0,18,0,5,3.1700501131432297
116,0,18,0,6,3.124843751024502
117,0,18,0,7,2.5151484664184656
118,0,18,0,8,4.127740538376586
119,0,18,0,9,3.9820568533671827
120,0,19,0,0,5.87375708227656
121,0,19,0,1,5.208783490285608
122,0,19,0,10,5.484948337786246
123,0,19,0,11,5.075041473894154
124,0,19,0,2,4.908465508099476
125,0,19,0,3,5.149029683027949
126,0,19,0,4,4.503153090057231
127,0,19,0,5,4.873045039653613
128,0,19,0,6,5.921796521945613
129,0,19,0,7,5.2816932581860065
130,0,19,0,8,1.2207837772099626
131,0,19,0,9,0.2352267244934215
132,0,2,0,0,5.250341685116378
133,0,2,0,1,4.706297295333643
134,0,2,0,10,3.1397439719300206
135,0,2,0,11,4.320257248100493
136,0,2,0,2,7.50997400884566
137,0,2,0,3,0.2352267244934207
138,0,2,0,4,3.124843751024502
139,0,2,0,5,3.168022437119703
140,0,2,0,6,2.3374272982131536
141,0,2,0,7,4.136172217432198
142,0,2,0,8,4.9084655080994715
143,0,2,0,9,3.8915745308272607
144,0,20,0,0,3.124843751024501
145,0,20,0,1,2.5151484664184665
146,0,20,0,10,4.649690585151452
147,0,20,0,11,3.1700501131432293
148,0,20,0,2,3.8899547126851632
149,0,20,0,3,3.87015059518279
150,0,20,0,4,7.509974008845663
151,0,20,0,5,7.797473669228685
152,0,20,0,6,4.372672099565182
153,0,20,0,7,3.8915745308272616
154,0,20,0,8,4.127740538376587
155,0,20,0,9,3.9820568533671827
156,0,21,0,0,5.921796521945611
157,0,21,0,1,5.281693258186003
158,0,21,0,10,4.503153090057231
159,0,21,0,11,4.873045039653613
160,0,21,0,2,1.2207837772099586
161,0,21,0,3,0.23522672449342052
162,0,21,0,4,5.873757082276558
163,0,21,0,5,5.208783490285612
164,0,21,0,6,5.484948337786249
165,0,21,0,7,5.07504147389416
166,0,21,0,8,4.908465508099474
167,0,21,0,9,5.149029683027941
168,0,22,0,0,5.484948337786252
169,0,22,0,1,5.075041473894161
170,0,22,0,10,5.8737570822765575
171,0,22,0,11,5.208783490285606
172,0,22,0,2,1.2207837772099601
173,0,22,0,3,0.2352267244934207
174,0,22,0,4,4.5031530900572285
175,0,22,0,5,4.873045039653614
176,0,22,0,6,5.921796521945613
177,0,22,0,7,5.2816932581860065
178,0,22,0,8,4.9084655080994715
179,0,22,0,9,5.149029683027945
180,0,23,0,0,4.649690585151452
181,0,23,0,1,3.1700501131432293
182,0,23,0,10,3.1248437510245015
183,0,23,0,11,2.5151484664184665
184,0,23,0,2,7.509974008845663
185,0,23,0,3,7.797473669228685
186,0,23,0,4,4.127740538376586
187,0,23,0,5,3.98205685336718
188,0,23,0,6,3.8899547126851624
189,0,23,0,7,3.870150595182788
190,0,23,0,8,4.372672099565183
191,0,23,0,9,3.8915745308272607
192,0,24,0,0,5.670422198646032
193,0,24,0,1,5.291176777864557
194,0,24,0,10,5.0131131278224785
195,0,24,0,11,4.840710769391364
196,0,24,0,2,5.285786551445215
197,0,24,0,3,5.026967348075685
198,0,24,0,4,4.943260401919715
199,0,24,0,5,4.824098729115045
200,0,24,0,6,4.576030339153245e-30
201,0,24,0,7,0.9935711826046713
202,0,24,0,8,5.670901777859062
203,0,24,0,9,4.838524106218887
204,0,25,0,0,4.492023996960827
205,0,25,0,1,3.1680224371197023
206,0,25,0,10,2.3374272982131554
207,0,25,0,11,3.1670184667644583
208,0,25,0,2,7.5795696924429485
209,0,25,0,3,7.56960571808472
210,0,25,0,4,3.9701378716476543
211,0,25,0,5,4.320257248100489
212,0,25,0,6,4.097563983470046
213,0,25,0,7,3.9805785475953335
214,0,25,0,8,3.711432802804166
215,0,25,0,9,4.1698143539191035
216,0,26,0,0,3.9701378716476525
217,0,26,0,1,4.320257248100488
218,0,26,0,10,4.097563983470045
219,0,26,0,11,3.9805785475953335
220,0,26,0,2,7.579569692442945
221,0,26,0,3,7.569605718084721
222,0,26,0,4,4.4920239969608255
223,0,26,0,5,3.168022437119701
224,0,26,0,6,2.337427298213154
225,0,26,0,7,3.167018466764454
226,0,26,0,8,3.7114328028041705
227,0,26,0,9,4.169814353919107
228,0,27,0,0,3.6281664085690265e-30
229,0,27,0,1,0.993571182604671
230,0,27,0,10,4.943260401919718
231,0,27,0,11,4.824098729115048
232,0,27,0,2,5.670422198646034
233,0,27,0,3,5.291176777864559
234,0,27,0,4,5.670901777859064
235,0,27,0,5,4.8385241062188875
236,0,27,0,6,5.285786551445218
237,0,27,0,7,5.0269673480756865
238,0,27,0,8,5.013113127822479
239,0,27,0,9,4.840710769391363
240,0,28,0,0,3.7114328028041643
241,0,28,0,1,4.169814353919103
242,0,28,0,10,7.579569692442949
243,0,28,0,11,7.569605718084718
244,0,28,0,2,2.337427298213153
245,0,28,0,3,3.167018466764455
246,0,28,0,4,3.9701378716476508
247,0,28,0,5,4.320257248100487
248,0,28,0,6,4.097563983470045
249,0,28,0,7,3.9805785475953352
250,0,28,0,8,4.492023996960824
251,0,28,0,9,3.168022437119701
252,0,29,0,0,5.670901777859063
253,0,29,0,1,4.8385241062188875
254,0,29,0,10,5.285786551445219
255,0,29,0,11,5.026967348075687
256,0,29,0,2,4.943260401919714
257,0,29,0,3,4.824098729115044
258,0,29,0,4,5.013113127822477
259,0,29,0,5,4.8407107693913645
260,0,29,0,6,5.670422198646032
261,0,29,0,7,5.291176777864557
262,0,29,0,8,1.6009555654288954e-29
263,0,29,0,9,0.99357118260467
264,0,3,0,0,1.2207837772099615
265,0,3,0,1,3.8940991073119613
266,0,3,0,10,4.908465508099474
267,0,3,0,11,4.019692341756468
268,0,3,0,2,5.670422198646029
269,0,3,0,3,5.291176777864552
270,0,3,0,4,3.1697018989335644
271,0,3,0,5,5.2816932581860065
272,0,3,0,6,1.8575139093809854e-29
273,0,3,0,7,2.508390206756199
274,0,3,0,8,5.0131131278224785
275,0,3,0,9,4.840710769391358
276,0,30,0,0,1.5538169345262353e-31
277,0,30,0,1,0.9935711826046724
278,0,30,0,10,4.943260401919718
279,0,30,0,11,4.824098729115047
280,0,30,0,2,5.670901777859062
281,0,30,0,3,4.838524106218887
282,0,30,0,4,5.670422198646036
283,0,30,0,5,5.291176777864558
284,0,30,0,6,5.013113127822479
285,0,30,0,7,4.840710769391363
286,0,30,0,8,5.285786551445215
287,0,30,0,9,5.0269673480756865
288,0,31,0,0,4.097563983470042
289,0,31,0,1,3.9805785475953326
290,0,31,0,10,3.9701378716476543
291,0,31,0,11,4.320257248100489
292,0,31,0,2,4.492023996960824
293,0,31,0,3,3.1680224371197006
294,0,31,0,4,3.711432802804166
295,0,31,0,5,4.169814353919104
296,0,31,0,6,7.579569692442945
297,0,31,0,7,7.569605718084719
298,0,31,0,8,2.337427298213153
299,0,31,0,9,3.1670184667644548
300,0,32,0,0,5.250341685116378
301,0,32,0,1,5.620152032464729
302,0,32,0,10,5.344075830404531
303,0,32,0,11,5.859769845069441
304,0,32,0,2,5.469671974830727
305,0,32,0,3,5.864092972507718
306,0,32,0,4,5.169730949299666
307,0,32,0,5,4.888279899895484
308,0,32,0,6,1.2237610286108271
309,0,32,0,7,0.25595293471797004
310,0,32,0,8,4.632290723308523
311,0,32,0,9,4.756466091794824
312,0,33,0,0,3.9908636234954566
313,0,33,0,1,3.8940991073119613
314,0,33,0,10,3.8811079932976114
315,0,33,0,11,4.019692341756468
316,0,33,0,2,4.497825709371214
317,0,33,0,3,4.1361722174321995
318,0,33,0,4,3.1697018989335644
319,0,33,0,5,4.706297295333636
320,0,33,0,6,3.1397439719300215
321,0,33,0,7,2.508390206756199
322,0,33,0,8,7.778673376162165
323,0,33,0,9,7.6312603828125
324,0,34,0,0,3.139743971930021
325,0,34,0,1,2.5083902067561947
326,0,34,0,10,3.1697018989335737
327,0,34,0,11,4.706297295333647
328,0,34,0,2,7.778673376162174
329,0,34,0,3,7.6312603828125
330,0,34,0,4,3.9908636234954584
331,0,34,0,5,3.8940991073119533
332,0,34,0,6,3.881107993297617
333,0,34,0,7,4.019692341756478
334,0,34,0,8,4.497825709371216
335,0,34,0,9,4.136172217432202
336,0,35,0,0,5.1697309492996615
337,0,35,0,1,4.888279899895482
338,0,35,0,10,1.2237610286108291
339,0,35,0,11,0.25595293471796915
340,0,35,0,2,5.250341685116368
341,0,35,0,3,5.620152032464725
342,0,35,0,4,5.46967197483073
343,0,35,0,5,5.864092972507725
344,0,35,0,6,4.632290723308522
345,0,35,0,7,4.756466091794817
346,0,35,0,8,5.344075830404534
347,0,35,0,9,5.859769845069445
348,0,36,0,0,3.1397439719300206
349,0,36,0,1,2.5083902067561947
350,0,36,0,10,3.1697018989335706
351,0,36,0,11,4.706297295333642
352,0,36,0,2,3.8811079932976105
353,0,36,0,3,4.019692341756471
354,0,36,0,4,4.497825709371213
355,0,36,0,5,4.136172217432198
356,0,36,0,6,7.7786733761621685
357,0,36,0,7,7.631260382812499
358,0,36,0,8,3.9908636234954593
359,0,36,0,9,3.894099107311956
360,0,37,0,0,4.632290723308523
361,0,37,0,1,4.756466091794818
362,0,37,0,10,5.469671974830728
363,0,37,0,11,5.86409297250772
364,0,37,0,2,5.250341685116369
365,0,37,0,3,5.620152032464724
366,0,37,0,4,1.2237610286108305
367,0,37,0,5,0.25595293471797054
368,0,37,0,6,5.169730949299659
369,0,37,0,7,4.888279899895482
370,0,37,0,8,5.344075830404529
371,0,37,0,9,5.859769845069442
372,0,38,0,0,4.632290723308521
373,0,38,0,1,4.756466091794816
374,0,38,0,10,5.469671974830728
375,0,38,0,11,5.864092972507724
376,0,38,0,2,5.169730949299661
377,0,38,0,3,4.88827989989548
378,0,38,0,4,5.344075830404529
379,0,38,0,5,5.859769845069444
380,0,38,0,6,5.250341685116368
381,0,38,0,7,5.620152032464725
382,0,38,0,8,1.2237610286108276
383,0,38,0,9,0.25595293471796926
384,0,39,0,0,3.1397439719300206
385,0,39,0,1,2.508390206756195
386,0,39,0,10,3.169701898933572
387,0,39,0,11,4.706297295333644
388,0,39,0,2,3.9908636234954584
389,0,39,0,3,3.894099107311955
390,0,39,0,4,7.77867337616217
391,0,39,0,5,7.6312603828125
392,0,39,0,6,4.497825709371215
393,0,39,0,7,4.136172217432203
394,0,39,0,8,3.8811079932976145
395,0,39,0,9,4.019692341756476
396,0,4,0,0,3.139743971930021
397,0,4,0,1,0.25595293471796804
398,0,4,0,10,5.0131131278224785
399,0,4,0,11,4.706297295333647
400,0,4,0,2,7.778673376162174
