,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.755471000621511
1,0,1,0,1,4.477913994396284
2,0,1,0,10,4.010883164699609
3,0,1,0,11,1.4852865708160328
4,0,1,0,2,4.010883164699609
5,0,1,0,3,2.2699951650645733
6,0,1,0,4,5.834612671994587
7,0,1,0,5,1.485286570816035
8,0,1,0,6,3.1667285378295063
9,0,1,0,7,5.377151893657454
10,0,1,0,8,3.166728537829506
11,0,1,0,9,3.9441711822201344
12,0,10,0,0,0.0
13,0,10,0,1,3.5248251560634234
14,0,10,0,10,4.430843095165882
15,0,10,0,11,4.474715336868112
16,0,10,0,2,5.055140995819946
17,0,10,0,3,4.614443445579699
18,0,10,0,4,3.6692254882401545
19,0,10,0,5,4.605079448847463
20,0,10,0,6,4.0266133029068545
21,0,10,0,7,5.0572187964753805
22,0,10,0,8,4.01803521602332
23,0,10,0,9,3.667290216217046
24,0,11,0,0,4.473164873014382
25,0,11,0,1,3.6714610368327163
26,0,11,0,10,4.755471000621508
27,0,11,0,11,4.477913994396283
28,0,11,0,2,4.1690704593724455
29,0,11,0,3,2.2699951650645733
30,0,11,0,4,4.239757603793759
31,0,11,0,5,3.1271060617765767
32,0,11,0,6,3.614809539970214
33,0,11,0,7,3.635861707725994
34,0,11,0,8,3.474440039034337
35,0,11,0,9,4.167385692703027
36,0,12,0,0,1.1318816125177197e-29
37,0,12,0,1,3.5248251560634243
38,0,12,0,10,4.430843095165879
39,0,12,0,11,4.47471533686811
40,0,12,0,2,4.018035216023318
41,0,12,0,3,3.667290216217045
42,0,12,0,4,4.026613302906853
43,0,12,0,5,5.057218796475379
44,0,12,0,6,3.669225488240155
45,0,12,0,7,4.605079448847463
46,0,12,0,8,5.055140995819944
47,0,12,0,9,4.614443445579699
48,0,13,0,0,4.75547100062151
49,0,13,0,1,4.477913994396282
50,0,13,0,10,4.473164873014379
51,0,13,0,11,3.6714610368327167
52,0,13,0,2,3.474440039034335
53,0,13,0,3,4.167385692703027
54,0,13,0,4,4.239757603793761
55,0,13,0,5,3.127106061776577
56,0,13,0,6,3.614809539970214
57,0,13,0,7,3.6358617077259927
58,0,13,0,8,4.1690704593724455
59,0,13,0,9,2.269995165064571
60,0,14,0,0,4.169070459372447
61,0,14,0,1,2.269995165064573
