,isite_i,isite_j,distance
0,0,1,2.2427816846715025
1,0,2,2.242781684671502
2,0,3,0.0
3,0,4,2.2427816846714994
4,0,5,0.0
5,0,6,0.0
6,0,7,2.242781684671501
7,0,8,1.5104809689861711
8,0,9,2.9340043723478075
9,0,10,2.934004372347808
10,0,11,1.510480968986173
11,0,12,2.9340043723478093
12,0,13,1.5104809689861711
13,0,14,1.5104809689861722
14,0,15,2.934004372347808
15,0,16,1.9660906585016007
16,0,17,1.9660906585016016
17,0,18,1.966090658501598
18,0,19,1.9660906585015985
19,0,20,0.0
20,0,21,2.242781684671504
21,0,22,2.242781684671501
22,0,23,0.0
23,0,24,2.242781684671501
24,0,25,0.0
25,0,26,0.0
26,0,27,2.242781684671498
27,0,28,1.5104809689861731
28,0,29,2.9340043723478084
29,0,30,2.934004372347809
30,0,31,1.5104809689861731
31,0,32,2.9340043723478075
32,0,33,1.5104809689861716
33,0,34,1.5104809689861716
34,0,35,2.93400437234781
35,0,36,1.9660906585016007
36,0,37,1.966090658501598
37,0,38,1.9660906585016016
38,0,39,1.9660906585016
39,1,2,0.0
40,1,3,2.2487541111352547
41,1,4,0.0
42,1,5,2.248754111135256
43,1,6,2.248754111135257
44,1,7,0.0
45,1,8,2.926401694755011
46,1,9,1.4823388988337003
47,1,10,1.4823388988337027
48,1,11,2.926401694755011
49,1,12,1.4823388988337052
50,1,13,2.9264016947550098
51,1,14,2.926401694755012
52,1,15,1.4823388988337038
53,1,16,1.9872447114514613
54,1,17,1.98724471145146
55,1,18,1.9872447114514613
56,1,19,1.98724471145146
57,1,20,2.2487541111352543
58,1,21,0.0
59,1,22,0.0
60,1,23,2.2487541111352547
61,1,24,0.0
62,1,25,2.2487541111352565
63,1,26,2.2487541111352565
64,1,27,0.0
65,1,28,2.9264016947550098
66,1,29,1.4823388988337056
67,1,30,1.4823388988337036
68,1,31,2.9264016947550098
69,1,32,1.4823388988337014
70,1,33,2.926401694755009
71,1,34,2.9264016947550098
72,1,35,1.4823388988337
73,1,36,1.987244711451464
74,1,37,1.987244711451467
75,1,38,1.9872447114514644
76,1,39,1.9872447114514584
77,2,3,2.248754111135256
78,2,4,0.0
79,2,5,2.248754111135256
