,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.8661837823461
1,0,1,0,1,3.4422366913911233
2,0,1,0,2,3.1545881722136637
3,0,1,0,3,4.9240388960887875
4,0,1,0,4,4.923960855241137
5,0,1,0,5,3.7401863676973974
6,0,1,0,6,3.148057100301647
7,0,1,0,7,4.120248174347743
8,0,1,0,8,3.7435444117752175
9,0,1,0,9,4.124629025714569
10,0,1,0,10,9.83730182144654e-16
11,0,1,0,11,3.9095917747169953
12,0,2,0,0,4.866183785552936
13,0,2,0,1,3.4422366905493633
14,0,2,0,2,3.1480571006048685
15,0,2,0,3,4.1202481808107985
16,0,2,0,4,3.743544409649415
17,0,2,0,5,4.124629025974724
18,0,2,0,6,3.1545881856248257
19,0,2,0,7,4.9240389004133815
20,0,2,0,8,4.92396085867986
21,0,2,0,9,3.7401863592689475
22,0,2,0,10,6.586704030492132e-17
23,0,2,0,11,3.9095917708205317
24,0,3,0,0,3.7435444015309383
25,0,3,0,1,4.124629013893506
26,0,3,0,2,4.923960853234601
27,0,3,0,3,3.74018636390462
28,0,3,0,4,1.8181820019888344e-17
29,0,3,0,5,3.909591767387899
30,0,3,0,6,4.866183779556125
31,0,3,0,7,3.4422366872775956
32,0,3,0,8,3.148057096519638
33,0,3,0,9,4.120248174710785
34,0,3,0,10,3.1545881796602444
35,0,3,0,11,4.924038896989913
36,0,4,0,0,3.154588181218162
37,0,4,0,1,4.924038900861027
38,0,4,0,2,7.345432358254558e-17
39,0,4,0,3,3.9095917666577167
40,0,4,0,4,3.14805709791014
41,0,4,0,5,4.1202481801503374
42,0,4,0,6,4.923960855004552
43,0,4,0,7,3.7401863676167135
44,0,4,0,8,4.866183788506586
45,0,4,0,9,3.4422366904999655
46,0,4,0,10,3.7435444048818467
47,0,4,0,11,4.124629022418676
48,0,5,0,0,4.9239608575837375
49,0,5,0,1,3.740186357555954
50,0,5,0,2,3.154588184254675
51,0,5,0,3,4.924038899651497
52,0,5,0,4,4.86618378414948
53,0,5,0,5,3.4422366901202484
54,0,5,0,6,6.605572732540711e-17
55,0,5,0,7,3.9095917700695377
56,0,5,0,8,3.7435444100755215
57,0,5,0,9,4.1246290242900505
58,0,5,0,10,3.1480571011097496
59,0,5,0,11,4.120248180483528
60,0,6,0,0,4.427160351195468
61,0,6,0,1,3.399817584388794
62,0,6,0,2,1.409916211225253
63,0,6,0,3,3.566044238720101
64,0,6,0,4,2.7546538810473566
65,0,6,0,5,5.0829346104343855
66,0,6,0,6,4.071851585821332
67,0,6,0,7,5.074965772107888
68,0,6,0,8,4.117679566048201
69,0,6,0,9,4.129618202753792
70,0,6,0,10,1.7969349229763845
71,0,6,0,11,4.415598416490399
72,0,7,0,0,1.409916209703687
73,0,7,0,1,3.5660442344840972
74,0,7,0,2,4.071851570157583
75,0,7,0,3,5.074965775542033
76,0,7,0,4,1.7969349138051005
77,0,7,0,5,4.415598404829132
78,0,7,0,6,4.427160344558712
79,0,7,0,7,3.399817593560236
80,0,7,0,8,2.7546538787667485
81,0,7,0,9,5.082934604262053
82,0,7,0,10,4.117679559960677
83,0,7,0,11,4.129618202036753
84,0,8,0,0,2.754653877689256
85,0,8,0,1,5.0829346226601455
86,0,8,0,2,4.11767955834592
87,0,8,0,3,4.129618200726367
88,0,8,0,4,1.7969349251161035
89,0,8,0,5,4.415598410160321
90,0,8,0,6,4.427160343261251
91,0,8,0,7,3.399817583247543
92,0,8,0,8,1.4099162117837614
93,0,8,0,9,3.5660442334187197
94,0,8,0,10,4.071851574306649
95,0,8,0,11,5.074965782380316
96,0,9,0,0,4.427160350360813
97,0,9,0,1,3.3998175836003903
98,0,9,0,2,4.117679565848013
99,0,9,0,3,4.129618202556966
100,0,9,0,4,4.0718515856406645
101,0,9,0,5,5.074965770176213
102,0,9,0,6,2.754653881724656
103,0,9,0,7,5.0829346091085075
104,0,9,0,8,1.4099162104190526
105,0,9,0,9,3.566044237493508
106,0,9,0,10,1.7969349233171965
107,0,9,0,11,4.415598416509777
108,0,10,0,0,1.7969349164622443
109,0,10,0,1,4.415598408078613
110,0,10,0,2,4.071851575006182
111,0,10,0,3,5.074965773352365
112,0,10,0,4,1.4099162097598692
113,0,10,0,5,3.5660442338689418
114,0,10,0,6,4.1176795578635685
115,0,10,0,7,4.129618198447188
116,0,10,0,8,2.7546538761692516
117,0,10,0,9,5.0829346033428715
118,0,10,0,10,4.427160342338667
119,0,10,0,11,3.399817587597604
120,0,11,0,0,1.7969349228729004
121,0,11,0,1,4.415598415403126
122,0,11,0,2,2.7546538820929714
123,0,11,0,3,5.0829345940520385
124,0,11,0,4,4.117679567923176
125,0,11,0,5,4.12961820024155
126,0,11,0,6,1.4099162100220222
127,0,11,0,7,3.5660442341590906
128,0,11,0,8,4.071851573262643
129,0,11,0,9,5.074965773631338
130,0,11,0,10,4.427160347367236
131,0,11,0,11,3.3998175936524015
132,0,12,0,0,1.4099162097598688
133,0,12,0,1,3.566044233868941
134,0,12,0,2,4.4271603423386665
135,0,12,0,3,3.3998175875976018
136,0,12,0,4,2.754653876169251
137,0,12,0,5,5.082934603342869
138,0,12,0,6,4.071851575006177
139,0,12,0,7,5.074965773352363
140,0,12,0,8,1.796934916462243
141,0,12,0,9,4.41559840807861
142,0,12,0,10,4.117679557863563
143,0,12,0,11,4.1296181984471865
144,0,13,0,0,1.7969349228729004
145,0,13,0,1,4.415598415403125
146,0,13,0,2,4.117679567923175
147,0,13,0,3,4.129618200241551
148,0,13,0,4,2.754653882092972
149,0,13,0,5,5.082934594052038
150,0,13,0,6,4.071851573262643
151,0,13,0,7,5.074965773631339
152,0,13,0,8,1.4099162100220226
153,0,13,0,9,3.566044234159089
154,0,13,0,10,4.427160347367237
155,0,13,0,11,3.3998175936524015
156,0,14,0,0,4.117679565848014
157,0,14,0,1,4.129618202556962
158,0,14,0,2,4.427160350360813
159,0,14,0,3,3.39981758360039
160,0,14,0,4,4.071851585640666
161,0,14,0,5,5.0749657701762105
162,0,14,0,6,2.7546538817246566
163,0,14,0,7,5.082934609108507
164,0,14,0,8,1.796934923317197
165,0,14,0,9,4.415598416509777
166,0,14,0,10,1.4099162104190535
167,0,14,0,11,3.5660442374935077
168,0,15,0,0,1.4099162097036873
169,0,15,0,1,3.5660442344840977
170,0,15,0,2,4.071851570157585
171,0,15,0,3,5.074965775542034
172,0,15,0,4,1.7969349138051005
173,0,15,0,5,4.415598404829133
174,0,15,0,6,4.427160344558711
175,0,15,0,7,3.3998175935602353
176,0,15,0,8,2.754653878766749
177,0,15,0,9,5.082934604262053
178,0,15,0,10,4.117679559960678
179,0,15,0,11,4.129618202036754
180,0,16,0,0,1.409916211783761
181,0,16,0,1,3.5660442334187166
182,0,16,0,2,1.7969349251161
183,0,16,0,3,4.415598410160318
184,0,16,0,4,4.071851574306643
185,0,16,0,5,5.074965782380312
186,0,16,0,6,2.7546538776892566
187,0,16,0,7,5.082934622660144
188,0,16,0,8,4.427160343261248
189,0,16,0,9,3.3998175832475432
190,0,16,0,10,4.117679558345916
191,0,16,0,11,4.129618200726365
192,0,17,0,0,1.7969349229763878
193,0,17,0,1,4.415598416490402
194,0,17,0,2,1.4099162112252532
195,0,17,0,3,3.5660442387201026
196,0,17,0,4,4.071851585821335
197,0,17,0,5,5.074965772107888
198,0,17,0,6,2.754653881047358
199,0,17,0,7,5.082934610434383
200,0,17,0,8,4.117679566048206
201,0,17,0,9,4.129618202753792
202,0,17,0,10,4.427160351195472
203,0,17,0,11,3.3998175843887943
204,0,18,0,0,4.923960857583737
205,0,18,0,1,3.740186357555951
206,0,18,0,2,3.1545881842546737
207,0,18,0,3,4.924038899651495
208,0,18,0,4,4.866183784149477
209,0,18,0,5,3.4422366901202466
210,0,18,0,6,6.605572286880791e-17
211,0,18,0,7,3.909591770069535
212,0,18,0,8,3.743544410075522
213,0,18,0,9,4.124629024290049
214,0,18,0,10,3.1480571011097473
215,0,18,0,11,4.120248180483526
216,0,19,0,0,3.74354440153094
217,0,19,0,1,4.124629013893504
218,0,19,0,2,1.818182195301341e-17
219,0,19,0,3,3.909591767387899
220,0,19,0,4,4.923960853234601
221,0,19,0,5,3.740186363904618
222,0,19,0,6,3.1480570965196377
223,0,19,0,7,4.120248174710789
224,0,19,0,8,4.866183779556122
225,0,19,0,9,3.4422366872775947
226,0,19,0,10,3.154588179660243
227,0,19,0,11,4.924038896989915
228,0,20,0,0,3.743544404881847
229,0,20,0,1,4.124629022418675
230,0,20,0,2,7.345432633847349e-17
231,0,20,0,3,3.9095917666577167
232,0,20,0,4,4.923960855004553
233,0,20,0,5,3.7401863676167117
234,0,20,0,6,3.14805709791014
235,0,20,0,7,4.120248180150336
236,0,20,0,8,4.866183788506584
237,0,20,0,9,3.4422366904999646
238,0,20,0,10,3.1545881812181626
239,0,20,0,11,4.924038900861028
240,0,21,0,0,3.1480571006048663
241,0,21,0,1,4.1202481808107985
242,0,21,0,2,4.866183785552932
243,0,21,0,3,3.442236690549361
244,0,21,0,4,3.743544409649419
245,0,21,0,5,4.12462902597472
246,0,21,0,6,3.154588185624823
247,0,21,0,7,4.924038900413379
248,0,21,0,8,6.58670921420129e-17
249,0,21,0,9,3.9095917708205308
250,0,21,0,10,4.9239608586798544
251,0,21,0,11,3.7401863592689435
252,0,22,0,0,3.148057093952169
253,0,22,0,1,4.1202481739874885
254,0,22,0,2,4.866183786115578
255,0,22,0,3,3.4422366916547067
256,0,22,0,4,3.7435444047661997
257,0,22,0,5,4.124629015511271
258,0,22,0,6,3.154588178369895
259,0,22,0,7,4.924038898205594
260,0,22,0,8,3.62904336635978e-30
261,0,22,0,9,3.909591766492131
262,0,22,0,10,4.923960852790804
263,0,22,0,11,3.7401863716641564
264,0,23,0,0,3.1545881722136655
265,0,23,0,1,4.9240388960887875
266,0,23,0,2,9.83730040035785e-16
267,0,23,0,3,3.9095917747169953
268,0,23,0,4,3.1480571003016484
269,0,23,0,5,4.120248174347749
270,0,23,0,6,4.923960855241134
271,0,23,0,7,3.7401863676973917
272,0,23,0,8,4.8661837823460985
273,0,23,0,9,3.4422366913911215
274,0,23,0,10,3.7435444117752192
275,0,23,0,11,4.124629025714567
276,1,2,0,0,7.131638673000052e-17
277,1,2,0,1,3.9022914030464784
278,1,2,0,2,3.7205407065626726
279,1,2,0,3,4.916336254930827
280,1,2,0,4,4.916106226192724
281,1,2,0,5,3.1562045354691266
282,1,2,0,6,4.125144496229938
283,1,2,0,7,3.7292952231842444
284,1,2,0,8,4.122434624361986
285,1,2,0,9,3.1613032852572
286,1,2,0,10,4.866183790563267
287,1,2,0,11,3.445700643948482
288,1,3,0,0,4.916106219540049
289,1,3,0,1,3.156204532368877
290,1,3,0,2,4.122434615821554
291,1,3,0,3,3.161303281585782
292,1,3,0,4,4.866183784762417
293,1,3,0,5,3.4457006424531484
294,1,3,0,6,6.455800740115825e-17
295,1,3,0,7,3.902291401427755
296,1,3,0,8,3.720540701863727
297,1,3,0,9,4.916336246342959
298,1,3,0,10,4.125144494971089
299,1,3,0,11,3.7292952228662752
300,1,4,0,0,4.1251444924023755
301,1,4,0,1,3.7292952250389537
302,1,4,0,2,4.866183778187749
303,1,4,0,3,3.4457006439589235
304,1,4,0,4,3.7205407154855266
305,1,4,0,5,4.916336252420374
306,1,4,0,6,4.1224346105961605
307,1,4,0,7,3.1613032829848615
308,1,4,0,8,1.6837665082172884e-16
309,1,4,0,9,3.9022914021334025
310,1,4,0,10,4.916106222898867
311,1,4,0,11,3.1562045322131045
312,1,5,0,0,4.12243462403876
313,1,5,0,1,3.161303285790934
314,1,5,0,2,4.125144494548628
315,1,5,0,3,3.7292952236153947
316,1,5,0,4,7.246993921853119e-17
317,1,5,0,5,3.90229140228388
318,1,5,0,6,4.866183789170215
319,1,5,0,7,3.445700643501034
320,1,5,0,8,4.916106225446376
321,1,5,0,9,3.156204534108403
322,1,5,0,10,3.7205407048402868
323,1,5,0,11,4.91633625382049
324,1,6,0,0,1.7995667376519604
325,1,6,0,1,4.430339953067016
326,1,6,0,2,4.117679560691703
327,1,6,0,3,4.132461422097145
328,1,6,0,4,4.103739273008926
329,1,6,0,5,5.06394877607704
330,1,6,0,6,2.7547073611611004
331,1,6,0,7,5.068277718677461
332,1,6,0,8,3.566021969145281
333,1,6,0,9,1.4048822092868718
334,1,6,0,10,4.417778984779535
335,1,6,0,11,3.39045247120244
336,1,7,0,0,4.117679558345916
337,1,7,0,1,4.132461414346527
338,1,7,0,2,2.754707358833237
339,1,7,0,3,5.068277726805016
340,1,7,0,4,4.417778982080182
341,1,7,0,5,3.3904524710724058
342,1,7,0,6,1.7995667316199213
343,1,7,0,7,4.430339952047615
344,1,7,0,8,4.103739272938857
345,1,7,0,9,5.0639487663948
346,1,7,0,10,3.5660219730446236
347,1,7,0,11,1.404882211477813
348,1,8,0,0,4.103739269834607
349,1,8,0,1,5.063948771456929
350,1,8,0,2,3.56602196873246
351,1,8,0,3,1.4048822089919313
352,1,8,0,4,4.4177789659543505
353,1,8,0,5,3.3904524624438808
354,1,8,0,6,1.7995667531059436
355,1,8,0,7,4.430339954999916
356,1,8,0,8,4.117679557330165
357,1,8,0,9,4.132461430423376
358,1,8,0,10,2.7547073701561273
359,1,8,0,11,5.068277713319324
360,1,9,0,0,1.799566737995818
361,1,9,0,1,4.4303399531129894
362,1,9,0,2,3.5660219679152103
363,1,9,0,3,1.4048822084599568
364,1,9,0,4,2.7547073618502904
365,1,9,0,5,5.068277717358775
366,1,9,0,6,4.103739272801424
367,1,9,0,7,5.063948774133948
368,1,9,0,8,4.117679560502084
369,1,9,0,9,4.132461421908156
370,1,9,0,10,4.417778983940191
371,1,9,0,11,3.3904524704264274
372,1,10,0,0,4.41777898215777
373,1,10,0,1,3.3904524716065545
374,1,10,0,2,2.7547073561190927
375,1,10,0,3,5.068277717003889
376,1,10,0,4,4.117679558164824
377,1,10,0,5,4.132461413272124
378,1,10,0,6,3.566021966625037
379,1,10,0,7,1.4048822093526274
380,1,10,0,8,4.103739273290988
381,1,10,0,9,5.063948767275591
382,1,10,0,10,1.7995667359521477
383,1,10,0,11,4.430339953084755
384,1,11,0,0,4.417778987674719
385,1,11,0,1,3.3904524758244263
386,1,11,0,2,4.1037392650751
387,1,11,0,3,5.063948777158308
388,1,11,0,4,3.5660219688435526
389,1,11,0,5,1.40488221194511
390,1,11,0,6,4.1176795571756415
391,1,11,0,7,4.132461414055054
392,1,11,0,8,2.75470735675609
393,1,11,0,9,5.068277723657134
394,1,11,0,10,1.7995667300739069
395,1,11,0,11,4.430339953486411
396,1,12,0,0,4.117679558164824
397,1,12,0,1,4.1324614132721225
398,1,12,0,2,1.7995667359521468
399,1,12,0,3,4.430339953084754
400,1,12,0,4,4.103739273290986
401,1,12,0,5,5.0639487672755905
402,1,12,0,6,2.754707356119092
403,1,12,0,7,5.068277717003886
404,1,12,0,8,4.417778982157767
405,1,12,0,9,3.3904524716065523
406,1,12,0,10,3.5660219666250357
407,1,12,0,11,1.4048822093526263
408,1,13,0,0,4.417778987674719
409,1,13,0,1,3.3904524758244263
410,1,13,0,2,3.566021968843552
411,1,13,0,3,1.4048822119451103
412,1,13,0,4,4.103739265075101
413,1,13,0,5,5.063948777158308
414,1,13,0,6,2.7547073567560907
415,1,13,0,7,5.068277723657135
416,1,13,0,8,4.117679557175642
417,1,13,0,9,4.132461414055054
418,1,13,0,10,1.7995667300739062
419,1,13,0,11,4.430339953486411
420,1,14,0,0,3.5660219679152085
421,1,14,0,1,1.4048822084599573
422,1,14,0,2,1.7995667379958182
423,1,14,0,3,4.4303399531129894
424,1,14,0,4,2.7547073618502886
425,1,14,0,5,5.068277717358774
426,1,14,0,6,4.103739272801428
427,1,14,0,7,5.063948774133947
428,1,14,0,8,4.417778983940194
429,1,14,0,9,3.39045247042643
430,1,14,0,10,4.117679560502084
