,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,5.635766488979625
1,0,1,0,1,5.912497341647686
2,0,1,0,2,5.000547643190468
3,0,1,0,3,3.6029787039282795
4,0,1,0,4,6.475263684263502
5,0,1,0,5,5.7154139315064
6,0,1,0,6,5.948920531670469
7,0,1,0,7,5.602618792522301
8,0,1,0,8,5.492950115969998e-17
9,0,1,0,9,2.65535896106508
10,0,1,0,10,5.581062903177863
11,0,1,0,11,6.459699082542696
12,0,2,0,0,5.549557056439152
13,0,2,0,1,5.399026649554226
14,0,2,0,2,2.4282775087522186
15,0,2,0,3,3.172860354899746
16,0,2,0,4,5.202988151179964
17,0,2,0,5,4.777370132152661
18,0,2,0,6,5.16663046318013
19,0,2,0,7,4.117295821112787
20,0,2,0,8,4.070060134374985
21,0,2,0,9,3.195564974817572
22,0,2,0,10,7.796072265243978
23,0,2,0,11,7.822061718792719
24,0,3,0,0,5.166630457765056
25,0,3,0,1,4.117295806864143
26,0,3,0,2,7.796072261761977
27,0,3,0,3,7.82206171488311
28,0,3,0,4,2.428277496813298
29,0,3,0,5,3.172860361117762
30,0,3,0,6,4.070060132859803
31,0,3,0,7,3.19556496526204
32,0,3,0,8,5.549557059602408
33,0,3,0,9,5.399026652551117
34,0,3,0,10,5.202988147872065
35,0,3,0,11,4.777370129145536
36,0,4,0,0,5.292136042683803
37,0,4,0,1,5.326933227747515
38,0,4,0,2,4.094354901006975
39,0,4,0,3,3.5588392639576383
40,0,4,0,4,5.997639275639567
41,0,4,0,5,5.001340065828245
42,0,4,0,6,5.285333208380744
43,0,4,0,7,4.756160016882435
44,0,4,0,8,7.424793225992813
45,0,4,0,9,7.761364981657752
46,0,4,0,10,5.345289488188272
47,0,4,0,11,4.783455844896981
48,0,5,0,0,4.094354924418363
49,0,5,0,1,3.5588392458277416
50,0,5,0,2,5.2921360394902015
51,0,5,0,3,5.3269332468163375
52,0,5,0,4,5.997639225653974
53,0,5,0,5,5.001340044367991
