,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,1.689689731103666
1,0,1,0,1,3.414079597719618
2,0,1,0,2,4.718509463580077
3,0,1,0,3,4.260157667540554
4,0,1,0,4,3.6459259651455134
5,0,1,0,5,4.2783621353195604
6,0,1,0,6,5.255060071180764
7,0,1,0,7,4.281451534441428
8,0,1,0,8,2.608393776006274
9,0,1,0,9,4.2858895355268745
10,0,1,0,10,4.79939618637424
11,0,1,0,11,4.7861679179966305
12,0,2,0,0,2.608393776006275
13,0,2,0,1,4.285889535526881
14,0,2,0,2,1.6896897311036634
15,0,2,0,3,3.4140795977196188
16,0,2,0,4,5.255060071180762
17,0,2,0,5,4.2814515344414295
18,0,2,0,6,3.6459259651455125
19,0,2,0,7,4.2783621353195604
20,0,2,0,8,4.799396186374238
21,0,2,0,9,4.786167917996629
22,0,2,0,10,4.718509463580072
23,0,2,0,11,4.260157667540556
24,0,3,0,0,4.592433956952757
25,0,3,0,1,4.17015908902537
26,0,3,0,2,5.193359196353413
27,0,3,0,3,4.047549981726383
28,0,3,0,4,4.458534328307558
29,0,3,0,5,4.180945394322754
30,0,3,0,6,4.584862335826454
31,0,3,0,7,3.4421108351891623
32,0,3,0,8,7.385102967667724e-30
33,0,3,0,9,4.432899290298908
34,0,3,0,10,4.459686224739854
35,0,3,0,11,3.4317630350149164
36,0,4,0,0,5.255060071180764
37,0,4,0,1,4.281451534441429
38,0,4,0,2,4.718509463580072
39,0,4,0,3,4.260157667540555
40,0,4,0,4,4.79939618637424
41,0,4,0,5,4.7861679179966305
42,0,4,0,6,1.6896897311036652
43,0,4,0,7,3.4140795977196197
44,0,4,0,8,2.6083937760062765
45,0,4,0,9,4.285889535526881
46,0,4,0,10,3.6459259651455147
47,0,4,0,11,4.278362135319562
48,0,5,0,0,2.6366276824837778e-30
49,0,5,0,1,4.432899290298907
50,0,5,0,2,4.459686224739855
51,0,5,0,3,3.431763035014914
52,0,5,0,4,4.458534328307559
53,0,5,0,5,4.180945394322754
54,0,5,0,6,4.584862335826451
55,0,5,0,7,3.4421108351891627
56,0,5,0,8,4.592433956952757
57,0,5,0,9,4.1701590890253675
58,0,5,0,10,5.193359196353412
59,0,5,0,11,4.047549981726382
60,0,6,0,0,4.459686224739852
61,0,6,0,1,3.4317630350149093
62,0,6,0,2,2.0467858456004985e-30
63,0,6,0,3,4.432899290298907
64,0,6,0,4,4.45853432830756
65,0,6,0,5,4.180945394322753
66,0,6,0,6,4.584862335826454
67,0,6,0,7,3.4421108351891614
68,0,6,0,8,5.1933591963534145
69,0,6,0,9,4.047549981726384
70,0,6,0,10,4.5924339569527595
71,0,6,0,11,4.17015908902537
72,0,7,0,0,4.799396186374238
73,0,7,0,1,4.786167917996628
74,0,7,0,2,5.255060071180759
75,0,7,0,3,4.281451534441428
76,0,7,0,4,4.718509463580075
77,0,7,0,5,4.260157667540553
78,0,7,0,6,2.6083937760062716
79,0,7,0,7,4.285889535526875
80,0,7,0,8,3.645925965145511
81,0,7,0,9,4.278362135319559
82,0,7,0,10,1.6896897311036652
83,0,7,0,11,3.4140795977196166
84,0,8,0,0,0.9888649441688923
85,0,8,0,1,3.9856117644859945
86,0,8,0,2,3.5102486820068393
87,0,8,0,3,4.305853830347993
88,0,8,0,4,4.653835514139148
89,0,8,0,5,4.528225883914782
90,0,8,0,6,2.7404188934254567
91,0,8,0,7,3.2350788924500424
92,0,8,0,8,4.951476073789629
93,0,8,0,9,4.576011131395769
94,0,8,0,10,4.172932363543731
95,0,8,0,11,4.758770490849583
96,0,9,0,0,4.653835514139146
97,0,9,0,1,4.528225883914778
98,0,9,0,2,4.172932363543733
99,0,9,0,3,4.758770490849583
100,0,9,0,4,4.951476073789631
101,0,9,0,5,4.576011131395769
102,0,9,0,6,4.305853830347997
103,0,9,0,7,3.51024868200684
104,0,9,0,8,0.9888649441688931
105,0,9,0,9,3.9856117644859963
106,0,9,0,10,2.740418893425457
107,0,9,0,11,3.2350788924500433
108,0,10,0,0,4.653835514139147
109,0,10,0,1,4.528225883914775
110,0,10,0,2,4.951476073789629
111,0,10,0,3,4.576011131395768
112,0,10,0,4,4.172932363543733
113,0,10,0,5,4.7587704908495825
114,0,10,0,6,0.9888649441688931
115,0,10,0,7,3.985611764485997
116,0,10,0,8,3.5102486820068397
117,0,10,0,9,4.305853830347996
118,0,10,0,10,2.7404188934254576
119,0,10,0,11,3.235078892450045
120,0,11,0,0,4.653835514139146
121,0,11,0,1,4.5282258839147795
122,0,11,0,2,4.172932363543733
123,0,11,0,3,4.758770490849585
124,0,11,0,4,4.95147607378963
125,0,11,0,5,4.57601113139577
126,0,11,0,6,4.305853830347991
127,0,11,0,7,4.30585383034799
128,0,11,0,8,0.9888649441688916
129,0,11,0,9,3.985611764485992
130,0,11,0,10,2.740418893425458
131,0,11,0,11,3.2350788924500407
132,0,12,0,0,4.06521594396074
133,0,12,0,1,4.267478103718619
134,0,12,0,2,2.8572158575405946
135,0,12,0,3,3.7579205613689983
136,0,12,0,4,4.561859699847736
137,0,12,0,5,3.0691945873456845
138,0,12,0,6,3.5627641247535573
139,0,12,0,7,3.1294214914845044
140,0,12,0,8,4.606717928034076
141,0,12,0,9,3.937256025495081
142,0,12,0,10,3.3978084545649794
143,0,12,0,11,5.604141654983234
144,0,13,0,0,2.8572158575405937
145,0,13,0,1,3.7579205613689983
146,0,13,0,2,3.3978084545649785
147,0,13,0,3,5.604141654983235
148,0,13,0,4,3.562764124753556
149,0,13,0,5,3.1294214914845044
150,0,13,0,6,4.5618596998477345
151,0,13,0,7,3.0691945873456845
152,0,13,0,8,4.065215943960742
153,0,13,0,9,4.2674781037186165
154,0,13,0,10,4.606717928034073
155,0,13,0,11,3.93725602549508
156,0,14,0,0,3.39780845456498
157,0,14,0,1,5.604141654983236
158,0,14,0,2,3.5627641247535546
159,0,14,0,3,3.1294214914845044
160,0,14,0,4,2.8572158575405946
161,0,14,0,5,3.757920561368998
162,0,14,0,6,4.6067179280340715
163,0,14,0,7,3.937256025495081
164,0,14,0,8,4.561859699847733
165,0,14,0,9,3.069194587345684
166,0,14,0,10,4.065215943960743
167,0,14,0,11,4.2674781037186165
168,0,15,0,0,3.397808454564978
169,0,15,0,1,5.604141654983231
170,0,15,0,2,4.561859699847733
171,0,15,0,3,3.0691945873456836
172,0,15,0,4,4.606717928034075
173,0,15,0,5,3.9372560254950812
174,0,15,0,6,2.8572158575405933
175,0,15,0,7,3.7579205613689983
176,0,15,0,8,3.562764124753556
177,0,15,0,9,3.129421491484502
178,0,15,0,10,4.065215943960743
179,0,15,0,11,4.065215943960743
180,0,16,0,0,4.31007440604632
181,0,16,0,1,3.817210817448895
182,0,16,0,2,2.9791778461256264
183,0,16,0,3,4.499136151003116
184,0,16,0,4,4.595130870977286
185,0,16,0,5,4.039741774213585
186,0,16,0,6,3.901688551350415
187,0,16,0,7,4.7101402633429315
188,0,16,0,8,5.053891525838946
189,0,16,0,9,3.2476776415187962
190,0,16,0,10,3.2541758957574287
191,0,16,0,11,3.3402515053295
192,0,17,0,0,5.053891525838946
193,0,17,0,1,3.247677641518794
194,0,17,0,2,4.310074406046321
195,0,17,0,3,3.8172108174488946
196,0,17,0,4,3.9016885513504143
197,0,17,0,5,4.710140263342932
198,0,17,0,6,4.595130870977286
199,0,17,0,7,4.039741774213586
200,0,17,0,8,3.2541758957574283
201,0,17,0,9,3.3402515053295003
202,0,17,0,10,2.9791778461256286
203,0,17,0,11,4.499136151003118
204,0,18,0,0,3.8172108174488937
205,0,18,0,1,4.310074406046321
206,0,18,0,2,3.901688551350415
207,0,18,0,3,4.710140263342932
208,0,18,0,4,5.053891525838946
209,0,18,0,5,3.2476776415187953
210,0,18,0,6,2.979177846125627
211,0,18,0,7,4.499136151003118
212,0,18,0,8,4.595130870977286
213,0,18,0,9,4.039741774213586
214,0,18,0,10,3.254175895757431
215,0,18,0,11,3.3402515053295003
216,0,19,0,0,2.9791778461256264
217,0,19,0,1,4.499136151003117
218,0,19,0,2,3.8172108174488937
219,0,19,0,3,3.817210817448893
220,0,19,0,4,4.595130870977287
221,0,19,0,5,4.039741774213587
222,0,19,0,6,3.901688551350416
223,0,19,0,7,4.710140263342935
224,0,19,0,8,3.2541758957574327
225,0,19,0,9,3.340251505329502
226,0,19,0,10,5.053891525838948
227,0,19,0,11,3.247677641518797
228,0,20,0,0,4.458534328307561
229,0,20,0,1,4.180945394322757
230,0,20,0,2,4.592433956952755
231,0,20,0,3,4.170159089025369
232,0,20,0,4,5.193359196353411
233,0,20,0,5,4.047549981726384
234,0,20,0,6,2.8011358333589066e-29
235,0,20,0,7,4.432899290298904
236,0,20,0,8,4.459686224739859
237,0,20,0,9,3.431763035014913
238,0,20,0,10,4.584862335826451
239,0,20,0,11,3.442110835189163
240,0,21,0,0,2.608393776006285
241,0,21,0,1,4.285889535526881
242,0,21,0,2,4.799396186374239
243,0,21,0,3,4.786167917996631
244,0,21,0,4,3.6459259651455125
245,0,21,0,5,4.27836213531956
246,0,21,0,6,5.255060071180767
247,0,21,0,7,4.281451534441431
248,0,21,0,8,1.6896897311036627
249,0,21,0,9,3.4140795977196183
250,0,21,0,10,4.718509463580071
251,0,21,0,11,4.260157667540556
252,0,22,0,0,3.6459259651455116
253,0,22,0,1,4.278362135319559
254,0,22,0,2,2.6083937760062663
255,0,22,0,3,4.285889535526876
256,0,22,0,4,4.799396186374238
257,0,22,0,5,4.786167917996627
258,0,22,0,6,1.6896897311036667
259,0,22,0,7,3.4140795977196174
260,0,22,0,8,4.7185094635800775
261,0,22,0,9,4.260157667540553
262,0,22,0,10,5.25506007118076
263,0,22,0,11,4.2814515344414295
264,0,23,0,0,4.459686224739845
265,0,23,0,1,3.4317630350149098
266,0,23,0,2,4.584862335826453
267,0,23,0,3,3.4421108351891596
268,0,23,0,4,5.193359196353409
269,0,23,0,5,4.04754998172638
270,0,23,0,6,1.4646031760833778e-29
271,0,23,0,7,4.4328992902989075
272,0,23,0,8,4.458534328307555
273,0,23,0,9,4.18094539432275
274,0,23,0,10,4.5924339569527595
275,0,23,0,11,4.170159089025367
276,0,24,0,0,5.25506007118076
