,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,4.833445265033662
1,0,1,0,1,4.432262206634596
2,0,1,0,10,7.175716586549792
3,0,1,0,11,6.609788779570282
4,0,1,0,2,5.574551572330425
5,0,1,0,3,3.0621906667360372
6,0,1,0,4,8.050099439382189
7,0,1,0,5,4.28956212600771
8,0,1,0,6,4.44324050161251
9,0,1,0,7,6.033289793256956
10,0,1,0,8,4.373399843683666
11,0,1,0,9,3.0540188320852013
12,0,10,0,0,5.362748952797117
13,0,10,0,1,4.628237805600578
14,0,10,0,10,6.026304200397758
15,0,10,0,11,3.3652876633740627
16,0,10,0,2,6.2964820454530015
17,0,10,0,3,5.658526569457065
18,0,10,0,4,1.9927083864190187
19,0,10,0,5,7.085812508098315
20,0,10,0,6,1.193489321889433
21,0,10,0,7,6.986111467727698
22,0,10,0,8,5.85043588845227
23,0,10,0,9,5.527102529804052
24,0,11,0,0,7.517783720909737
25,0,11,0,1,3.552071823496814
26,0,11,0,10,3.1125922489429065
27,0,11,0,11,6.998254918891992
28,0,11,0,2,5.574551572330425
29,0,11,0,3,3.5919911303634393
30,0,11,0,4,4.844671858512073
31,0,11,0,5,5.134207800825195
32,0,11,0,6,4.44324050161251
33,0,11,0,7,6.508422329213004
34,0,11,0,8,5.60238982530349
35,0,11,0,9,3.0540188320852013
36,0,12,0,0,5.8504358884522665
37,0,12,0,1,5.527102529804054
38,0,12,0,10,6.296482045452997
39,0,12,0,11,5.658526569457062
40,0,12,0,2,6.0263042003977585
41,0,12,0,3,3.365287663374063
42,0,12,0,4,1.9927083864190174
43,0,12,0,5,7.085812508098311
44,0,12,0,6,1.1934893218894365
45,0,12,0,7,6.986111467727687
46,0,12,0,8,5.362748952797114
47,0,12,0,9,4.62823780560057
48,0,13,0,0,4.844671858512067
49,0,13,0,1,5.134207800825196
50,0,13,0,10,4.4432405016125065
51,0,13,0,11,6.508422329213001
52,0,13,0,2,3.112592248942904
53,0,13,0,3,6.998254918891989
54,0,13,0,4,5.60238982530349
55,0,13,0,5,3.0540188320851995
56,0,13,0,6,5.57455157233042
57,0,13,0,7,3.591991130363436
58,0,13,0,8,7.51778372090973
59,0,13,0,9,3.552071823496811
60,0,14,0,0,7.51778372090973
61,0,14,0,1,3.55207182349681
62,0,14,0,10,3.112592248942905
63,0,14,0,11,6.998254918891991
64,0,14,0,2,5.574551572330419
65,0,14,0,3,3.5919911303634344
66,0,14,0,4,4.844671858512071
67,0,14,0,5,5.1342078008251955
68,0,14,0,6,4.443240501612504
69,0,14,0,7,6.508422329213008
70,0,14,0,8,5.602389825303489
71,0,14,0,9,3.054018832085201
72,0,15,0,0,1.9927083864190178
73,0,15,0,1,7.085812508098316
74,0,15,0,10,1.1934893218894338
75,0,15,0,11,6.9861114677277
76,0,15,0,2,6.296482045453004
77,0,15,0,3,5.658526569457066
78,0,15,0,4,5.3627489527971175
79,0,15,0,5,4.628237805600577
80,0,15,0,6,6.026304200397765
81,0,15,0,7,3.3652876633740645
82,0,15,0,8,5.850435888452273
83,0,15,0,9,5.527102529804055
84,0,16,0,0,2.4202225150256576
85,0,16,0,1,6.991906334673769
86,0,16,0,10,6.987700751930303
87,0,16,0,11,2.297896697079795
88,0,16,0,2,3.9044572527827732
89,0,16,0,3,4.76809430830586
90,0,16,0,4,4.833445265033663
91,0,16,0,5,4.8350163789105345
92,0,16,0,6,3.6783683999258745
93,0,16,0,7,6.349510148076785
94,0,16,0,8,4.59888231503083
95,0,16,0,9,4.759660816029059
96,0,17,0,0,4.5381326277984675
97,0,17,0,1,5.935200820959347
98,0,17,0,10,5.6405383433965675
99,0,17,0,11,4.742710829403715
100,0,17,0,2,4.752616431943696
101,0,17,0,3,5.943358238337477
102,0,17,0,4,7.186597835240905
103,0,17,0,5,1.1324429898062838
104,0,17,0,6,3.610491207022132e-29
105,0,17,0,7,7.424633250342976
106,0,17,0,8,4.55289990714468
107,0,17,0,9,5.649426166132147
108,0,18,0,0,4.752616431943693
109,0,18,0,1,5.943358238337476
110,0,18,0,10,4.552899907144677
111,0,18,0,11,5.649426166132144
112,0,18,0,2,3.841499352286235e-30
113,0,18,0,3,7.42463325034297
114,0,18,0,4,5.640538343396563
115,0,18,0,5,4.742710829403707
116,0,18,0,6,4.538132627798471
117,0,18,0,7,5.935200820959344
118,0,18,0,8,7.1865978352408995
119,0,18,0,9,1.1324429898062827
120,0,19,0,0,3.6783683999258754
121,0,19,0,1,6.349510148076781
122,0,19,0,10,4.833445265033665
123,0,19,0,11,4.835016378910534
124,0,19,0,2,3.9044572527827732
125,0,19,0,3,4.768094308305857
126,0,19,0,4,6.987700751930302
127,0,19,0,5,2.2978966970797945
128,0,19,0,6,2.4202225150256598
129,0,19,0,7,6.991906334673771
130,0,19,0,8,4.59888231503083
131,0,19,0,9,4.759660816029059
132,0,2,0,0,2.4202225150256584
133,0,2,0,1,6.609788779570285
134,0,2,0,10,6.9877007519303
135,0,2,0,11,5.658526569457062
136,0,2,0,2,5.714833802588813
137,0,2,0,3,3.365287663374063
138,0,2,0,4,1.9927083864190174
139,0,2,0,5,4.8350163789105345
140,0,2,0,6,1.1934893218894365
141,0,2,0,7,2.6693979767851768
142,0,2,0,8,4.598882315030827
143,0,2,0,9,4.759660816029058
144,0,20,0,0,4.3514344440458274e-32
145,0,20,0,1,7.424633250342969
146,0,20,0,10,7.186597835240896
147,0,20,0,11,1.1324429898062838
148,0,20,0,2,4.538132627798472
149,0,20,0,3,5.9352008209593485
150,0,20,0,4,4.552899907144676
151,0,20,0,5,5.649426166132143
152,0,20,0,6,4.75261643194369
153,0,20,0,7,5.943358238337475
154,0,20,0,8,5.6405383433965595
155,0,20,0,9,4.7427108294037055
156,0,21,0,0,4.833445265033662
157,0,21,0,1,4.835016378910535
158,0,21,0,10,3.678368399925874
159,0,21,0,11,6.349510148076781
160,0,21,0,2,4.598882315030828
161,0,21,0,3,4.7596608160290605
162,0,21,0,4,6.9877007519303
163,0,21,0,5,2.2978966970797963
164,0,21,0,6,2.4202225150256584
165,0,21,0,7,6.991906334673767
166,0,21,0,8,3.904457252782774
167,0,21,0,9,4.768094308305856
168,0,22,0,0,2.4202225150256584
169,0,22,0,1,6.991906334673768
170,0,22,0,10,6.9877007519303
171,0,22,0,11,2.297896697079795
172,0,22,0,2,3.904457252782774
173,0,22,0,3,4.768094308305856
174,0,22,0,4,4.833445265033662
175,0,22,0,5,4.8350163789105345
176,0,22,0,6,3.6783683999258745
177,0,22,0,7,6.349510148076783
178,0,22,0,8,4.598882315030827
179,0,22,0,9,4.759660816029058
