,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,6.472071639307621
1,0,1,0,1,4.068834453272982
2,0,1,0,2,3.111755886133
3,0,1,0,3,6.579569510606411
4,0,1,0,4,5.4222877233215225
5,0,1,0,5,4.070610857269338
6,0,1,0,6,6.46804695174257
7,0,1,0,7,6.860157502665275
8,0,1,0,8,4.456605455924603e-16
9,0,1,0,9,5.308456914446826
10,0,1,0,10,5.422504779968742
11,0,1,0,11,6.852993906341121
12,0,2,0,0,6.472071649753032
13,0,2,0,1,4.0688344381576105
14,0,2,0,2,5.422287715403629
15,0,2,0,3,4.070610854703011
16,0,2,0,4,3.111755875534839
17,0,2,0,5,6.57956953234936
18,0,2,0,6,2.5638841266758813e-16
19,0,2,0,7,5.308456893860653
20,0,2,0,8,6.468046939433918
21,0,2,0,9,6.860157527932646
22,0,2,0,10,5.422504777079482
23,0,2,0,11,6.8529939184927
24,0,3,0,0,5.422287722409861
25,0,3,0,1,4.070610854231772
26,0,3,0,2,5.422504774884105
27,0,3,0,3,6.8529939111211355
28,0,3,0,4,1.1266437003215326e-15
29,0,3,0,5,5.30845692371736
30,0,3,0,6,3.1117558786646162
31,0,3,0,7,6.579569520134172
32,0,3,0,8,6.472071654894436
33,0,3,0,9,4.0688344613219805
34,0,3,0,10,6.468046948681815
35,0,3,0,11,6.860157513221623
36,0,4,0,0,6.468046937173134
37,0,4,0,1,6.860157545081287
38,0,4,0,2,5.422504779688933
39,0,4,0,3,6.852993925332321
40,0,4,0,4,3.1117558796799187
41,0,4,0,5,6.579569539031676
42,0,4,0,6,1.5716642970338906e-16
43,0,4,0,7,5.308456893299123
44,0,4,0,8,6.4720716583458495
45,0,4,0,9,4.068834437008904
46,0,4,0,10,5.422287716749523
47,0,4,0,11,4.070610869336882
48,0,5,0,0,2.80798744713894e-16
49,0,5,0,1,5.30845690498155
50,0,5,0,2,6.468046948426164
51,0,5,0,3,6.860157539841467
52,0,5,0,4,6.472071653423177
53,0,5,0,5,4.068834439050718
54,0,5,0,6,5.422504779436259
55,0,5,0,7,6.852993923403506
56,0,5,0,8,5.422287718652858
57,0,5,0,9,4.070610855529642
58,0,5,0,10,3.111755877423298
59,0,5,0,11,6.579569544033046
60,0,6,0,0,4.973103002862084
61,0,6,0,1,3.1999674674768235
62,0,6,0,2,4.25957863551543
63,0,6,0,3,6.946407751290787
64,0,6,0,4,6.853937172973202
65,0,6,0,5,4.310267934782756
66,0,6,0,6,1.8624234949301472
67,0,6,0,7,4.312339356349518
68,0,6,0,8,5.283218633566833
