,isite_i,isite_j,pattern_i,pattern_j,distance
0,0,1,0,0,2.7127935977368756
1,0,2,0,0,2.712793597736876
2,0,3,0,0,2.727553453905372
3,0,4,0,0,4.86807133050622
4,0,5,0,0,1.7112587894042185e-30
5,0,6,0,0,4.8680713305062175
6,0,7,0,0,3.7605731794590915
7,1,2,0,0,3.6464008975915655e-30
8,1,3,0,0,3.759315663497706
9,1,4,0,0,2.7242228480562556
10,1,5,0,0,2.7127935977368756
11,1,6,0,0,2.7242228480562547
12,1,7,0,0,2.7347926885153173
13,2,3,0,0,3.759315663497706
14,2,4,0,0,2.724222848056254
15,2,5,0,0,2.712793597736876
16,2,6,0,0,2.7242228480562534
17,2,7,0,0,2.7347926885153178
18,3,4,0,0,4.874569475529164
19,3,5,0,0,2.7275534539053723
20,3,6,0,0,4.874569475529163
21,3,7,0,0,2.715859689474944
22,4,5,0,0,4.868071330506218
23,4,6,0,0,5.0934843088344545e-30
24,4,7,0,0,2.7347926885153178
25,5,6,0,0,4.8680713305062175
26,5,7,0,0,3.760573179459092
27,6,7,0,0,2.734792688515317
28,0,1,0,1,5.592502911474865
29,0,2,0,1,5.592502911474865
30,0,3,0,1,4.866555220594244
31,0,4,0,1,4.869408126525525
32,0,5,0,1,2.725222299080313
33,0,6,0,1,4.869408126525523
34,0,7,0,1,4.869289785083549
35,1,2,0,1,2.7104571867312077
36,1,3,0,1,4.874569475529164
37,1,4,0,1,3.759776459254011
38,1,5,0,1,5.61784017536095
39,1,6,0,1,3.7597764592540126
40,1,7,0,1,4.867597706067529
41,2,3,0,1,4.874569475529164
42,2,4,0,1,3.759776459254012
43,2,5,0,1,5.617840175360949
44,2,6,0,1,3.7597764592540126
45,2,7,0,1,4.867597706067529
46,3,4,0,1,3.7595933473297674
47,3,5,0,1,4.86367016031103
48,3,6,0,1,3.7595933473297674
49,3,7,0,1,2.715937082889912
50,4,5,0,1,4.869641130981446
51,4,6,0,1,2.710457186731207
52,4,7,0,1,4.867597706067529
53,5,6,0,1,4.8694081265255225
54,5,7,0,1,4.869289785083547
55,6,7,0,1,4.867597706067528
56,0,1,0,2,3.7605731794590915
57,0,2,0,2,4.86807133050622
58,0,3,0,2,3.766675859857779
59,0,4,0,2,2.7127935977368756
60,0,5,0,2,3.766675859857778
61,0,6,0,2,4.866555220594242
62,0,7,0,2,3.766675859857778
63,1,2,0,2,2.7242228480562556
64,1,3,0,2,4.868071330506222
65,1,4,0,2,2.554069747401923e-30
66,1,5,0,2,4.8680713305062175
67,1,6,0,2,4.874569475529163
68,1,7,0,2,4.868071330506221
69,2,3,0,2,4.86807133050622
70,2,4,0,2,5.015345574023903e-30
71,2,5,0,2,4.868071330506218
72,2,6,0,2,4.874569475529162
73,2,7,0,2,4.868071330506218
74,3,4,0,2,3.759315663497706
75,3,5,0,2,4.866555220594244
76,3,6,0,2,5.589734169873451
77,3,7,0,2,4.866555220594245
78,4,5,0,2,2.712793597736876
79,4,6,0,2,3.7593156634977043
80,4,7,0,2,2.7127935977368764
81,5,6,0,2,4.866555220594243
82,5,7,0,2,3.766675859857777
83,6,7,0,2,2.712793597736876
84,0,1,0,3,4.869289785083549
85,0,2,0,3,4.869408126525524
86,0,3,0,3,2.73403893783774
87,0,4,0,3,5.592502911474862
88,0,5,0,3,2.734038937837739
89,0,6,0,3,2.7275534539053714
90,0,7,0,3,2.73403893783774
91,1,2,0,3,3.7597764592540126
92,1,3,0,3,4.869641130981444
93,1,4,0,3,2.710457186731207
94,1,5,0,3,4.869641130981442
95,1,6,0,3,3.7593156634977047
96,1,7,0,3,4.869641130981445
97,2,3,0,3,4.869641130981444
98,2,4,0,3,2.7104571867312073
99,2,5,0,3,4.869641130981443
100,2,6,0,3,3.759315663497705
101,2,7,0,3,4.869641130981445
102,3,4,0,3,4.871768515211905
103,3,5,0,3,2.7328422912734815
104,3,6,0,3,3.477648610361073e-30
105,3,7,0,3,2.7328422912734833
106,4,5,0,3,5.617840175360948
107,4,6,0,3,4.874569475529162
108,4,7,0,3,5.61784017536095
109,5,6,0,3,2.7275534539053714
110,5,7,0,3,2.7340389378377394
111,6,7,0,3,5.617840175360953
112,0,1,0,4,4.868071330506221
113,0,2,0,4,3.7605731794590915
114,0,3,0,4,2.712793597736876
115,0,4,0,4,3.7605731794590906
116,0,5,0,4,3.76057317945909
117,0,6,0,4,4.20777757864858e-30
118,0,7,0,4,5.2991875925230616e-30
119,1,2,0,4,2.734792688515317
120,1,3,0,4,2.8511453867712278e-30
121,1,4,0,4,2.7347926885153173
122,1,5,0,4,2.734792688515317
123,1,6,0,4,2.7127935977368764
124,1,7,0,4,2.712793597736876
125,2,3,0,4,1.8638053161122153e-30
126,2,4,0,4,2.7347926885153173
127,2,5,0,4,2.734792688515317
128,2,6,0,4,2.712793597736878
129,2,7,0,4,2.7127935977368756
130,3,4,0,4,2.715859689474944
131,3,5,0,4,2.7158596894749425
132,3,6,0,4,2.727553453905372
133,3,7,0,4,2.7275534539053714
134,4,5,0,4,2.7347926885153173
135,4,6,0,4,4.868071330506218
136,4,7,0,4,4.86807133050622
137,5,6,0,4,5.955559003179996e-30
138,5,7,0,4,8.214719477978854e-30
139,6,7,0,4,4.868071330506219
140,0,1,0,5,4.869408126525525
141,0,2,0,5,4.869289785083548
142,0,3,0,5,5.592502911474867
143,0,4,0,5,4.869289785083548
144,0,5,0,5,4.869289785083547
145,0,6,0,5,2.7252222990803134
146,0,7,0,5,2.725222299080314
147,1,2,0,5,4.8675977060675315
148,1,3,0,5,2.7104571867312077
149,1,4,0,5,4.867597706067529
150,1,5,0,5,4.867597706067528
151,1,6,0,5,5.617840175360954
152,1,7,0,5,5.617840175360952
153,2,3,0,5,2.710457186731208
154,2,4,0,5,4.867597706067529
155,2,5,0,5,4.867597706067529
156,2,6,0,5,5.617840175360953
157,2,7,0,5,5.617840175360951
158,3,4,0,5,2.7159370828899125
159,3,5,0,5,2.715937082889913
160,3,6,0,5,4.863670160311029
161,3,7,0,5,4.863670160311031
162,4,5,0,5,4.867597706067529
163,4,6,0,5,4.869641130981445
164,4,7,0,5,4.869641130981446
165,5,6,0,5,2.725222299080313
166,5,7,0,5,2.725222299080314
167,6,7,0,5,4.869641130981443
168,0,1,0,6,3.7666758598577794
169,0,2,0,6,4.866555220594244
170,0,3,0,6,2.4214250298672987e-30
171,0,4,0,6,4.866555220594244
172,0,5,0,6,2.7275534539053714
173,0,6,0,6,2.7127935977368764
174,0,7,0,6,2.712793597736877
