,neighbor_num,isite,atom,x,y,z,front_index
0,0,10,Si1,0.0,0.0,0.0,
1,1,48,O1,-0.7683264165014604,1.3140000000000005,-0.5218090158996082,0.0
2,1,54,O1,1.5166545662908753,1.232595164407831e-32,-0.5355999835281157,0.0
3,1,56,O1,0.0,-6.162975822039155e-33,1.6099630023203138,0.0
4,1,47,O1,-0.7683264165014604,-1.3140000000000005,-0.5218090158996084,0.0
5,2,5,Si1,-1.5662686864237045,2.6280000000000006,-0.9938570827281028,1.0
6,2,6,Si1,2.8583233657034035,3.316640317587422e-16,-1.4215940941251253,2.0
7,2,8,Si1,0.8582431270260127,5.007172677245972e-17,2.971210015896259,3.0
8,2,5,Si1,-1.5662686864237045,-2.628000000000001,-0.993857082728104,4.0
9,3,47,O1,-0.7683264165014605,3.942000000000001,-0.5218090158996079,5.0
10,3,45,O1,-3.0485465657118933,2.6280000000000006,-0.37096659556216505,5.0
11,3,51,O1,-1.6621067408896093,2.628000000000001,-2.6032416559425826,5.0
12,3,34,O1,3.7271664240508673,1.3134744000000007,-1.087054124562984,6.0
13,3,52,O1,2.4874671804075676,2.276423980001131e-17,-2.9870281093927327,6.0
14,3,37,O1,3.727166424050868,-1.3134744,-1.087054124562985,6.0
15,3,43,O1,1.7856599780221192,1.314000000000001,3.031236100938836,7.0
16,3,44,O1,-0.1342399691035343,1.542887713513069e-16,4.237171180283122,7.0
17,3,40,O1,1.7856599780221192,-1.314000000000001,3.031236100938835,7.0
18,3,48,O1,-0.7683264165014602,-3.942000000000002,-0.5218090158996092,8.0
19,3,45,O1,-3.0485465657118938,-2.628000000000001,-0.3709665955621648,8.0
20,3,51,O1,-1.6621067408896106,-2.628000000000001,-2.6032416559425844,8.0
21,4,10,Si1,2.7170115027678964e-16,5.256000000000003,1.0135146797218014e-15,9.0
22,4,9,Si1,-4.041029661841443,2.6280000000000006,0.8949945688246961,10.0
23,4,15,Si1,-0.5917872114666767,2.6280000000000014,-3.805507412284024,11.0
24,4,0,Si1,3.9158590135029105,2.628,-0.17675558574314665,12.0
25,4,12,Si1,1.2066612127471676,3.4480840075593993e-16,-3.9636502026948417,13.0
26,4,0,Si1,3.9158590135029105,-2.6280000000000014,-0.17675558574314687,14.0
27,4,2,Si1,2.6060585755513714,2.628000000000001,2.594627846021652,15.0
28,4,4,Si1,-1.6165178483917217,-7.329777541384156e-16,4.86006166744906,16.0
29,4,2,Si1,2.6060585755513705,-2.628000000000001,2.594627846021652,17.0
30,4,10,Si1,-2.7170115027678964e-16,-5.256000000000003,-1.0135146797218014e-15,18.0
31,4,9,Si1,-4.041029661841444,-2.628000000000001,0.8949945688246965,19.0
32,4,15,Si1,-0.5917872114666761,-2.628000000000001,-3.8055074122840247,20.0
